Year,Entidad federativa,Sexo,GeoCode,Value
2022,Estados Unidos Mexicanos,Total,0,56.17133453000015
2021,Estados Unidos Mexicanos,Total,0,58.64802209000007
2020,Estados Unidos Mexicanos,Total,0,57.57514091000009
2019,Estados Unidos Mexicanos,Total,0,57.93692542999998
2018,Estados Unidos Mexicanos,Total,0,54.28046162000008
2017,Estados Unidos Mexicanos,Total,0,56.360490770000055
2016,Estados Unidos Mexicanos,Total,0,55.50389378999992
2022,Estados Unidos Mexicanos,Hombres,0,55.06978660999995
2021,Estados Unidos Mexicanos,Hombres,0,57.9865568300001
2020,Estados Unidos Mexicanos,Hombres,0,57.37531208000012
2019,Estados Unidos Mexicanos,Hombres,0,56.68890006000012
2018,Estados Unidos Mexicanos,Hombres,0,53.63511766000008
2017,Estados Unidos Mexicanos,Hombres,0,55.739136510000144
2016,Estados Unidos Mexicanos,Hombres,0,55.87624665000015
2022,Estados Unidos Mexicanos,Mujeres,0,57.34215829000004
2021,Estados Unidos Mexicanos,Mujeres,0,59.364001459999855
2020,Estados Unidos Mexicanos,Mujeres,0,57.76926385000005
2019,Estados Unidos Mexicanos,Mujeres,0,59.29733470999988
2018,Estados Unidos Mexicanos,Mujeres,0,54.98950134999996
2017,Estados Unidos Mexicanos,Mujeres,0,57.03884907999989
2016,Estados Unidos Mexicanos,Mujeres,0,55.10696612999988
2022,Aguascalientes,Total,1,64.94318979000013
2021,Aguascalientes,Total,1,68.71443079999992
2020,Aguascalientes,Total,1,67.1226504799999
2019,Aguascalientes,Total,1,65.96889279999982
2018,Aguascalientes,Total,1,65.26133163000013
2017,Aguascalientes,Total,1,62.56165571000014
2016,Aguascalientes,Total,1,65.49285171999985
2022,Aguascalientes,Hombres,1,61.06446110999988
2021,Aguascalientes,Hombres,1,68.27714918000015
2020,Aguascalientes,Hombres,1,64.7494110799999
2019,Aguascalientes,Hombres,1,66.76379616000013
2018,Aguascalientes,Hombres,1,65.64307214000013
2017,Aguascalientes,Hombres,1,61.673950540000064
2016,Aguascalientes,Hombres,1,64.26994053
2022,Aguascalientes,Mujeres,1,68.59897397999995
2021,Aguascalientes,Mujeres,1,69.15529146999985
2020,Aguascalientes,Mujeres,1,69.26045806999996
2019,Aguascalientes,Mujeres,1,65.20290638999997
2018,Aguascalientes,Mujeres,1,64.85309976999999
2017,Aguascalientes,Mujeres,1,63.51314630999988
2016,Aguascalientes,Mujeres,1,66.67244933999991
2022,Baja California,Total,2,46.62711053000013
2021,Baja California,Total,2,49.3664703000001
2020,Baja California,Total,2,48.06908415999993
2019,Baja California,Total,2,53.359606549999896
2018,Baja California,Total,2,51.695321950000086
2017,Baja California,Total,2,50.90994816999985
2016,Baja California,Total,2,48.06279676000005
2022,Baja California,Hombres,2,45.79674616000009
2021,Baja California,Hombres,2,49.19837275000007
2020,Baja California,Hombres,2,47.65740001999991
2019,Baja California,Hombres,2,54.3353653699999
2018,Baja California,Hombres,2,50.685391750000015
2017,Baja California,Hombres,2,49.16268981000005
2016,Baja California,Hombres,2,45.96027273999998
2022,Baja California,Mujeres,2,47.548462619999874
2021,Baja California,Mujeres,2,49.56262315999994
2020,Baja California,Mujeres,2,48.46093546999994
2019,Baja California,Mujeres,2,52.32529797999997
2018,Baja California,Mujeres,2,52.78437850000016
2017,Baja California,Mujeres,2,52.97560519000008
2016,Baja California,Mujeres,2,50.24757744999994
2022,Baja California Sur,Total,3,60.302853850000055
2021,Baja California Sur,Total,3,65.14234545
2020,Baja California Sur,Total,3,65.03903757999984
2019,Baja California Sur,Total,3,57.65621009999996
2018,Baja California Sur,Total,3,59.62739494000011
2017,Baja California Sur,Total,3,58.52058761999985
2016,Baja California Sur,Total,3,61.85426459999986
2022,Baja California Sur,Hombres,3,59.12040800999987
2021,Baja California Sur,Hombres,3,66.18382870000003
2020,Baja California Sur,Hombres,3,62.331895600000095
2019,Baja California Sur,Hombres,3,55.74319740000008
2018,Baja California Sur,Hombres,3,60.998824850000105
