Year,Suscripciones de banda ancha fija,Value
2019/1,Entre 256 Kbps y menor a 2 Mbps,0.2451353049999999
2018/4,Entre 256 Kbps y menor a 2 Mbps,
2018/3,Entre 256 Kbps y menor a 2 Mbps,
2018/2,Entre 256 Kbps y menor a 2 Mbps,
2018/1,Entre 256 Kbps y menor a 2 Mbps,0.294145015
2017/4,Entre 256 Kbps y menor a 2 Mbps,
2017/3,Entre 256 Kbps y menor a 2 Mbps,
2017/2,Entre 256 Kbps y menor a 2 Mbps,
2017/1,Entre 256 Kbps y menor a 2 Mbps,0.4352449029999999
2016/4,Entre 256 Kbps y menor a 2 Mbps,
2016/3,Entre 256 Kbps y menor a 2 Mbps,
2016/2,Entre 256 Kbps y menor a 2 Mbps,
2016/1,Entre 256 Kbps y menor a 2 Mbps,0.648317206
2015/4,Entre 256 Kbps y menor a 2 Mbps,
2015/3,Entre 256 Kbps y menor a 2 Mbps,
2015/2,Entre 256 Kbps y menor a 2 Mbps,
2015/1,Entre 256 Kbps y menor a 2 Mbps,0.457035379
2014/4,Entre 256 Kbps y menor a 2 Mbps,
2014/3,Entre 256 Kbps y menor a 2 Mbps,
2014/2,Entre 256 Kbps y menor a 2 Mbps,
2014/1,Entre 256 Kbps y menor a 2 Mbps,0.544690747
2019/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,0.990346121
2018/4,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2018/3,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2018/2,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2018/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,1.859202205
2017/4,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2017/3,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2017/2,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2017/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,2.428067916
2016/4,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2016/3,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2016/2,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2016/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,2.553641238
2015/4,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2015/3,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2015/2,Igual o mayor a 2 Mbps y menor a 10 Mbps,
2015/1,Igual o mayor a 2 Mbps y menor a 10 Mbps,9.387948719
