Year,Entidad federativa,Municipio,GeoCode,Value
2018,Estados Unidos Mexicanos,,0,20.4118067242961
2016,Estados Unidos Mexicanos,,0,20.0544463470289
2015,Estados Unidos Mexicanos,,0,
2014,Estados Unidos Mexicanos,,0,23.3507375499039
2012,Estados Unidos Mexicanos,,0,23.3169486568526
2010,Estados Unidos Mexicanos,,0,24.8296966229216
2008,Estados Unidos Mexicanos,,0,21.7433435351095
2018,Aguascalientes,,1,12.9879106530899
2016,Aguascalientes,,1,17.1949646164299
2015,Aguascalientes,,1,
2014,Aguascalientes,,1,21.5508721192667
2012,Aguascalientes,,1,21.5081576930562
2010,Aguascalientes,,1,20.2144095432613
2008,Aguascalientes,,1,20.1114401193075
2018,Aguascalientes,Aguascalientes,1001,
2016,Aguascalientes,Aguascalientes,1001,
2015,Aguascalientes,Aguascalientes,1001,17.953285719
2014,Aguascalientes,Aguascalientes,1001,
2012,Aguascalientes,Aguascalientes,1001,
2010,Aguascalientes,Aguascalientes,1001,15.5781015371
2008,Aguascalientes,Aguascalientes,1001,
2018,Aguascalientes,Asientos,1002,
2016,Aguascalientes,Asientos,1002,
2015,Aguascalientes,Asientos,1002,24.6517937762
2014,Aguascalientes,Asientos,1002,
2012,Aguascalientes,Asientos,1002,
2010,Aguascalientes,Asientos,1002,31.5327893398
2008,Aguascalientes,Asientos,1002,
2018,Aguascalientes,Calvillo,1003,
2016,Aguascalientes,Calvillo,1003,
2015,Aguascalientes,Calvillo,1003,17.3352799264
2014,Aguascalientes,Calvillo,1003,
2012,Aguascalientes,Calvillo,1003,
2010,Aguascalientes,Calvillo,1003,19.3202800353
2008,Aguascalientes,Calvillo,1003,
2018,Aguascalientes,Cosío,1004,
2016,Aguascalientes,Cosío,1004,
2015,Aguascalientes,Cosío,1004,20.7207955377
2014,Aguascalientes,Cosío,1004,
2012,Aguascalientes,Cosío,1004,
2010,Aguascalientes,Cosío,1004,30.5002218168
2008,Aguascalientes,Cosío,1004,
2018,Aguascalientes,Jesús María,1005,
2016,Aguascalientes,Jesús María,1005,
2015,Aguascalientes,Jesús María,1005,18.7374132007
2014,Aguascalientes,Jesús María,1005,
2012,Aguascalientes,Jesús María,1005,
2010,Aguascalientes,Jesús María,1005,27.4172906395
