Year,Entidad federativa,GeoCode,Value
2021,Estados Unidos Mexicanos,0,12.40187
2020,Estados Unidos Mexicanos,0,10.32848
2019,Estados Unidos Mexicanos,0,14.07515
2018,Estados Unidos Mexicanos,0,14.00966
2017,Estados Unidos Mexicanos,0,13.78649
2016,Estados Unidos Mexicanos,0,13.78232
2015,Estados Unidos Mexicanos,0,13.56596
2014,Estados Unidos Mexicanos,0,13.53801
2013,Estados Unidos Mexicanos,0,13.5749
2012,Estados Unidos Mexicanos,0,13.5613
2011,Estados Unidos Mexicanos,0,13.39806
2010,Estados Unidos Mexicanos,0,13.52455
2009,Estados Unidos Mexicanos,0,13.253
2008,Estados Unidos Mexicanos,0,13.61799
2007,Estados Unidos Mexicanos,0,13.37994
2006,Estados Unidos Mexicanos,0,12.89063
2005,Estados Unidos Mexicanos,0,14.02488
2004,Estados Unidos Mexicanos,0,13.85121
2003,Estados Unidos Mexicanos,0,14.63206
2002,Estados Unidos Mexicanos,0,15.20484
2001,Estados Unidos Mexicanos,0,16.30583
2000,Estados Unidos Mexicanos,0,15.84143
1999,Estados Unidos Mexicanos,0,17.31694
1998,Estados Unidos Mexicanos,0,18.76048
1997,Estados Unidos Mexicanos,0,20.66817
1996,Estados Unidos Mexicanos,0,18.21645
1995,Estados Unidos Mexicanos,0,18.68061
1994,Estados Unidos Mexicanos,0,14.88557
1993,Estados Unidos Mexicanos,0,13.92221
1992,Estados Unidos Mexicanos,0,13.57769
1991,Estados Unidos Mexicanos,0,14.64045
1990,Estados Unidos Mexicanos,0,14.54445
2021,Aguascalientes,1,3.44009
2020,Aguascalientes,1,1.32438
2019,Aguascalientes,1,2.75536
2018,Aguascalientes,1,2.2926
2017,Aguascalientes,1,2.32595
2016,Aguascalientes,1,2.58241
2015,Aguascalientes,1,3.07848
2014,Aguascalientes,1,2.29837
2013,Aguascalientes,1,3.05116
2012,Aguascalientes,1,2.71791
2011,Aguascalientes,1,3.75994
2010,Aguascalientes,1,5.17309
2009,Aguascalientes,1,3.40087
2008,Aguascalientes,1,3.20772
2007,Aguascalientes,1,3.88945
2006,Aguascalientes,1,5.76571
2005,Aguascalientes,1,4.41664
2004,Aguascalientes,1,5.74625
2003,Aguascalientes,1,6.46271
2002,Aguascalientes,1,4.74332
2001,Aguascalientes,1,7.18973
2000,Aguascalientes,1,9.6472
1999,Aguascalientes,1,13.46737
1998,Aguascalientes,1,11.90837
1997,Aguascalientes,1,12.27535
1996,Aguascalientes,1,6.44333
1995,Aguascalientes,1,6.02324
1994,Aguascalientes,1,7.37795
1993,Aguascalientes,1,6.362
1992,Aguascalientes,1,17.37184
1991,Aguascalientes,1,11.66574
1990,Aguascalientes,1,11.21889
2021,Baja California,2,43.38565
2020,Baja California,2,38.62589
2019,Baja California,2,52.06003
2018,Baja California,2,47.08566
2017,Baja California,2,46.03116
2016,Baja California,2,46.63073
2015,Baja California,2,46.5782
2014,Baja California,2,45.51716
2013,Baja California,2,43.48927
2012,Baja California,2,46.24989
2011,Baja California,2,44.2499
2010,Baja California,2,41.99578
2009,Baja California,2,38.14177
2008,Baja California,2,40.68611
2007,Baja California,2,38.22145
2006,Baja California,2,39.3925
2005,Baja California,2,43.79138
2004,Baja California,2,42.64365
2003,Baja California,2,42.70025
2002,Baja California,2,45.66916
2001,Baja California,2,51.48285
2000,Baja California,2,35.28928
1999,Baja California,2,32.5459
1998,Baja California,2,35.297
1997,Baja California,2,38.63844
1996,Baja California,2,39.13995
1995,Baja California,2,35.9592
1994,Baja California,2,31.25736
1993,Baja California,2,34.64526
1992,Baja California,2,41.95971
1991,Baja California,2,39.71094
1990,Baja California,2,44.40331
2021,Baja California Sur,3,19.60882
2020,Baja California Sur,3,21.99556
2019,Baja California Sur,3,27.28014
2018,Baja California Sur,3,25.41184
2017,Baja California Sur,3,22.53835
2016,Baja California Sur,3,22.5239
2015,Baja California Sur,3,21.6713
2014,Baja California Sur,3,20.0591
2013,Baja California Sur,3,22.01859
2012,Baja California Sur,3,20.33995
2011,Baja California Sur,3,21.95208
2010,Baja California Sur,3,18.54806
2009,Baja California Sur,3,23.20969
2008,Baja California Sur,3,21.38177
2007,Baja California Sur,3,25.21696
2006,Baja California Sur,3,24.35845
2005,Baja California Sur,3,21.48082
2004,Baja California Sur,3,20.21136
2003,Baja California Sur,3,20.70462
2002,Baja California Sur,3,22.29874
2001,Baja California Sur,3,20.88462
2000,Baja California Sur,3,19.34067
1999,Baja California Sur,3,14.73416
1998,Baja California Sur,3,15.88772
1997,Baja California Sur,3,24.90679
1996,Baja California Sur,3,17.10496
1995,Baja California Sur,3,21.30918
1994,Baja California Sur,3,28.13093
1993,Baja California Sur,3,31.94548
1992,Baja California Sur,3,34.52403
1991,Baja California Sur,3,25.41957
1990,Baja California Sur,3,30.38396
2021,Campeche,4,14.7491
2020,Campeche,4,12.69217
2019,Campeche,4,15.85292
2018,Campeche,4,15.09326
2017,Campeche,4,13.88804
