Year,Sexo (t-h-m-na),Residencia habitual fuera de México o no especificada,Value
2020,Total,Estados Unidos de Norteamérica,7
2019,Total,Estados Unidos de Norteamérica,11
2018,Total,Estados Unidos de Norteamérica,7
2017,Total,Estados Unidos de Norteamérica,8
2016,Total,Estados Unidos de Norteamérica,18
2015,Total,Estados Unidos de Norteamérica,7
2014,Total,Estados Unidos de Norteamérica,12
2013,Total,Estados Unidos de Norteamérica,14
2012,Total,Estados Unidos de Norteamérica,9
2011,Total,Estados Unidos de Norteamérica,2
2010,Total,Estados Unidos de Norteamérica,3
2009,Total,Estados Unidos de Norteamérica,3
2008,Total,Estados Unidos de Norteamérica,10
2007,Total,Estados Unidos de Norteamérica,5
2006,Total,Estados Unidos de Norteamérica,8
2005,Total,Estados Unidos de Norteamérica,6
2004,Total,Estados Unidos de Norteamérica,14
2003,Total,Estados Unidos de Norteamérica,11
2002,Total,Estados Unidos de Norteamérica,22
2001,Total,Estados Unidos de Norteamérica,21
2000,Total,Estados Unidos de Norteamérica,15
1999,Total,Estados Unidos de Norteamérica,24
1998,Total,Estados Unidos de Norteamérica,27
1997,Total,Estados Unidos de Norteamérica,21
1996,Total,Estados Unidos de Norteamérica,27
1995,Total,Estados Unidos de Norteamérica,26
1994,Total,Estados Unidos de Norteamérica,27
1993,Total,Estados Unidos de Norteamérica,26
1992,Total,Estados Unidos de Norteamérica,12
1991,Total,Estados Unidos de Norteamérica,12
1990,Total,Estados Unidos de Norteamérica,9
2020,Total,Países latinoamericanos,5
2019,Total,Países latinoamericanos,8
2018,Total,Países latinoamericanos,6
2017,Total,Países latinoamericanos,8
2016,Total,Países latinoamericanos,14
2015,Total,Países latinoamericanos,6
2014,Total,Países latinoamericanos,11
2013,Total,Países latinoamericanos,9
2012,Total,Países latinoamericanos,9
2011,Total,Países latinoamericanos,1
2010,Total,Países latinoamericanos,2
2009,Total,Países latinoamericanos,2
2008,Total,Países latinoamericanos,8
2007,Total,Países latinoamericanos,5
2006,Total,Países latinoamericanos,8
2005,Total,Países latinoamericanos,5
2004,Total,Países latinoamericanos,14
2003,Total,Países latinoamericanos,11
2002,Total,Países latinoamericanos,19
2001,Total,Países latinoamericanos,19
2000,Total,Países latinoamericanos,13
1999,Total,Países latinoamericanos,23
1998,Total,Países latinoamericanos,26
1997,Total,Países latinoamericanos,17
1996,Total,Países latinoamericanos,26
1995,Total,Países latinoamericanos,26
1994,Total,Países latinoamericanos,26
1993,Total,Países latinoamericanos,23
1992,Total,Países latinoamericanos,12
1991,Total,Países latinoamericanos,10
1990,Total,Países latinoamericanos,9
2020,Total,Otros países,2
2019,Total,Otros países,3
2018,Total,Otros países,1
2017,Total,Otros países,0
2016,Total,Otros países,4
2015,Total,Otros países,1
2014,Total,Otros países,1
2013,Total,Otros países,5
2012,Total,Otros países,0
2011,Total,Otros países,1
2010,Total,Otros países,1
