Year,Entidad federativa,GeoCode,Value
2021,Estados Unidos Mexicanos,0,25.24258936
2020,Estados Unidos Mexicanos,0,25.04236697
2019,Estados Unidos Mexicanos,0,24.94601652
2018,Estados Unidos Mexicanos,0,24.63199865
2017,Estados Unidos Mexicanos,0,24.37425912
2016,Estados Unidos Mexicanos,0,20.53746571
2021,Aguascalientes,1,26.18718303
2020,Aguascalientes,1,25.38843807
2019,Aguascalientes,1,25.27114288
2018,Aguascalientes,1,24.54028021
2017,Aguascalientes,1,24.06910317
2016,Aguascalientes,1,22.12713138
2021,Baja California,2,34.05962631
2020,Baja California,2,33.6742491
2019,Baja California,2,33.44291165
2018,Baja California,2,34.35132576
2017,Baja California,2,34.17913849
2016,Baja California,2,31.6978517
2021,Baja California Sur,3,25.68820225
2020,Baja California Sur,3,25.14784568
2019,Baja California Sur,3,24.95412844
2018,Baja California Sur,3,25.27943368
2017,Baja California Sur,3,24.74701012
2016,Baja California Sur,3,21.72183035
2021,Campeche,4,18.42461427
2020,Campeche,4,18.24527142
2019,Campeche,4,18.0959447
2018,Campeche,4,18.10180599
2017,Campeche,4,17.8623014
2016,Campeche,4,12.38232193
2021,Coahuila de Zaragoza,5,25.26355238
2020,Coahuila de Zaragoza,5,25.01590097
2019,Coahuila de Zaragoza,5,24.93638262
2018,Coahuila de Zaragoza,5,23.73032942
2017,Coahuila de Zaragoza,5,23.77215926
2016,Coahuila de Zaragoza,5,19.49448288
2021,Colima,6,26.35974454
2020,Colima,6,25.98776884
2019,Colima,6,25.94553707
2018,Colima,6,25.76650943
2017,Colima,6,25.79952267
2016,Colima,6,23.10859496
2021,Chiapas,7,19.83943941
2020,Chiapas,7,19.72166154
2019,Chiapas,7,19.64946991
2018,Chiapas,7,19.50209551
2017,Chiapas,7,19.36140739
2016,Chiapas,7,15.24712409
2021,Chihuahua,8,26.67776881
2020,Chihuahua,8,26.15789928
2019,Chihuahua,8,26.00136776
2018,Chihuahua,8,25.24620825
2017,Chihuahua,8,24.63843503
2016,Chihuahua,8,19.98808751
2021,Ciudad de México,9,34.20967568
2020,Ciudad de México,9,34.13186576
2019,Ciudad de México,9,34.07887628
2018,Ciudad de México,9,33.77393333
2017,Ciudad de México,9,33.67526377
2016,Ciudad de México,9,22.90446374
2021,Durango,10,28.39491058
2020,Durango,10,28.02760988
2019,Durango,10,27.96822821
2018,Durango,10,26.823641
2017,Durango,10,26.61171697
2016,Durango,10,24.93996653
2021,Guanajuato,11,27.23710489
2020,Guanajuato,11,27.075522
2019,Guanajuato,11,26.99309372
2018,Guanajuato,11,26.66366611
2017,Guanajuato,11,26.38336211
2016,Guanajuato,11,24.31397694
2021,Guerrero,12,26.95224523
2020,Guerrero,12,26.93503165
2019,Guerrero,12,26.75544563
2018,Guerrero,12,26.8943509
2017,Guerrero,12,26.63782321
2016,Guerrero,12,20.86360889
2021,Hidalgo,13,21.37238204
2020,Hidalgo,13,21.20975666
2019,Hidalgo,13,21.1715984
2018,Hidalgo,13,20.94706317
2017,Hidalgo,13,20.34068396
2016,Hidalgo,13,16.75177439
2021,Jalisco,14,24.82238488
2020,Jalisco,14,24.61226097
2019,Jalisco,14,24.50931792
2018,Jalisco,14,23.81650174
2017,Jalisco,14,23.35654015
2016,Jalisco,14,20.13561731
2021,México,15,27.1639148
2020,México,15,26.98059214
2019,México,15,26.88928329
2018,México,15,27.07882297
2017,México,15,26.7715782
2016,México,15,22.08124833
2021,Michoacán de Ocampo,16,28.22751234
2020,Michoacán de Ocampo,16,28.11454147
2019,Michoacán de Ocampo,16,28.01865398
2018,Michoacán de Ocampo,16,28.0178055
2017,Michoacán de Ocampo,16,27.74871136
