Year,Sexo,Value
2021,Total,14.209097789999989
2020,Total,15.724528598197129
2019,Total,16.252416761726185
2018,Total,15.397187627552729
2017,Total,13.639814673547038
2016,Total,13.589237182058698
2015,Total,14.80374141143217
2021,Hombres,13.854084950000011
2020,Hombres,15.977620316947196
2019,Hombres,16.884175538427325
2018,Hombres,15.521904571343828
2017,Hombres,13.842670717645609
2016,Hombres,13.728303681807365
2015,Hombres,13.698659051777426
2021,Mujeres,14.411684160000034
2020,Mujeres,15.572456794358002
2019,Mujeres,15.85726277283907
2018,Mujeres,15.308819478241062
2017,Mujeres,13.497762997148124
2016,Mujeres,13.4931231475025
2015,Mujeres,15.647821593189352
