Year,Entidad federativa,Sexo,GeoCode,Value
2021,Estados Unidos Mexicanos,Total,0,71.25527004000004
2019,Estados Unidos Mexicanos,Total,0,68.17105598000012
2017,Estados Unidos Mexicanos,Total,0,66.74826646000014
2015,Estados Unidos Mexicanos,Total,0,61.01191073999986
2013,Estados Unidos Mexicanos,Total,0,62.00299885000003
2021,Estados Unidos Mexicanos,Hombres,0,71.39652942999986
2019,Estados Unidos Mexicanos,Hombres,0,68.28294711000012
2017,Estados Unidos Mexicanos,Hombres,0,66.40743621
2015,Estados Unidos Mexicanos,Hombres,0,60.3324811100001
2013,Estados Unidos Mexicanos,Hombres,0,62.61441471000011
2021,Estados Unidos Mexicanos,Mujeres,0,71.14969734999983
2019,Estados Unidos Mexicanos,Mujeres,0,68.08518449999993
2017,Estados Unidos Mexicanos,Mujeres,0,67.00311651999988
2015,Estados Unidos Mexicanos,Mujeres,0,61.18979111000019
2013,Estados Unidos Mexicanos,Mujeres,0,61.55190410999987
2021,Aguascalientes,Total,1,74.07643534000007
2019,Aguascalientes,Total,1,75.63671390000006
2017,Aguascalientes,Total,1,68.01632125000009
2015,Aguascalientes,Total,1,67.85773161999992
2013,Aguascalientes,Total,1,68.41669378999998
2021,Aguascalientes,Hombres,1,71.28009015000016
2019,Aguascalientes,Hombres,1,74.5541855
2017,Aguascalientes,Hombres,1,68.26324081999992
2015,Aguascalientes,Hombres,1,73.45345894999993
2013,Aguascalientes,Hombres,1,70.69371526000013
2021,Aguascalientes,Mujeres,1,76.06407907999997
2019,Aguascalientes,Mujeres,1,76.49806512000015
2017,Aguascalientes,Mujeres,1,67.84432906999992
2015,Aguascalientes,Mujeres,1,66.71997917000022
2013,Aguascalientes,Mujeres,1,66.72035085999983
2021,Baja California,Total,2,56.265232650000094
2019,Baja California,Total,2,70.34005375000011
2017,Baja California,Total,2,76.8844868300001
2015,Baja California,Total,2,67.77768471000013
2013,Baja California,Total,2,73.25129371000001
2021,Baja California,Hombres,2,55.21143616999988
2019,Baja California,Hombres,2,68.27026451999993
2017,Baja California,Hombres,2,75.39276864000016
2015,Baja California,Hombres,2,74.28596634000013
2013,Baja California,Hombres,2,70.37756377999999
2021,Baja California,Mujeres,2,57.33790552000008
2019,Baja California,Mujeres,2,71.89723091000003
2017,Baja California,Mujeres,2,78.1084249699999
2015,Baja California,Mujeres,2,66.55424174000012
2013,Baja California,Mujeres,2,75.6364499
2021,Baja California Sur,Total,3,73.39198580999988
2019,Baja California Sur,Total,3,84.22444572000005
2017,Baja California Sur,Total,3,78.56848250000003
2015,Baja California Sur,Total,3,72.42041391000015
2013,Baja California Sur,Total,3,74.62453904999997
2021,Baja California Sur,Hombres,3,72.17626202999983
2019,Baja California Sur,Hombres,3,84.8456718500001
2017,Baja California Sur,Hombres,3,80.01580715000013
2015,Baja California Sur,Hombres,3,75.61566638000008
2013,Baja California Sur,Hombres,3,70.54220850999992
2021,Baja California Sur,Mujeres,3,74.33907668000012
2019,Baja California Sur,Mujeres,3,83.73001214000018
2017,Baja California Sur,Mujeres,3,77.59785863999986
2015,Baja California Sur,Mujeres,3,71.29726838999987
2013,Baja California Sur,Mujeres,3,78.05043468000002
2021,Campeche,Total,4,72.29944093000002
2019,Campeche,Total,4,77.8279800500002
2017,Campeche,Total,4,79.46594394000017
2015,Campeche,Total,4,67.89305093999992
2013,Campeche,Total,4,66.22904781000013
2021,Campeche,Hombres,4,68.8785681400002
2019,Campeche,Hombres,4,83.10480568999994
2017,Campeche,Hombres,4,77.17457703999999
2015,Campeche,Hombres,4,71.4888996099999
2013,Campeche,Hombres,4,71.01213801
2021,Campeche,Mujeres,4,74.72575281999994
2019,Campeche,Mujeres,4,74.09862390000006
2017,Campeche,Mujeres,4,81.03564345999989
2015,Campeche,Mujeres,4,66.68646000999985
2013,Campeche,Mujeres,4,62.89195991999991
2021,Coahuila de Zaragoza,Total,5,72.87798382999989
2019,Coahuila de Zaragoza,Total,5,73.84819254
2017,Coahuila de Zaragoza,Total,5,71.91689570999999
2015,Coahuila de Zaragoza,Total,5,70.61814897000012
2013,Coahuila de Zaragoza,Total,5,77.32886709000009
2021,Coahuila de Zaragoza,Hombres,5,72.70768138000011
2019,Coahuila de Zaragoza,Hombres,5,75.04089422000003
2017,Coahuila de Zaragoza,Hombres,5,70.97243056000003
2015,Coahuila de Zaragoza,Hombres,5,58.32220813000003
2013,Coahuila de Zaragoza,Hombres,5,83.04115749000013
2021,Coahuila de Zaragoza,Mujeres,5,73.02663821999988
2019,Coahuila de Zaragoza,Mujeres,5,73.02115205999989
2017,Coahuila de Zaragoza,Mujeres,5,72.69299381000013
2015,Coahuila de Zaragoza,Mujeres,5,72.23443320000001
2013,Coahuila de Zaragoza,Mujeres,5,73.73919171000007
2021,Colima,Total,6,79.18822882000008
2019,Colima,Total,6,80.57000705999981
2017,Colima,Total,6,78.66859191000002
2015,Colima,Total,6,72.80643634999984
2013,Colima,Total,6,71.9841846199999
2021,Colima,Hombres,6,79.36614657000001
2019,Colima,Hombres,6,77.90754397999991
2017,Colima,Hombres,6,79.47129981999996
2015,Colima,Hombres,6,72.92839122999993
2013,Colima,Hombres,6,72.57149670000015
2021,Colima,Mujeres,6,79.05305432000017
2019,Colima,Mujeres,6,82.4727257799999
2017,Colima,Mujeres,6,78.10325515000004
2015,Colima,Mujeres,6,72.78275939999996
