Year,Entidad federativa,Sexo,GeoCode,Value
2021,Estados Unidos Mexicanos,Total,0,40.82207695176081
2019,Estados Unidos Mexicanos,Total,0,39.71289560635623
2017,Estados Unidos Mexicanos,Total,0,37.95120866341072
2015,Estados Unidos Mexicanos,Total,0,37.9733712261863
2013,Estados Unidos Mexicanos,Total,0,40.10596605272105
2021,Estados Unidos Mexicanos,Hombres,0,43.19545184317453
2019,Estados Unidos Mexicanos,Hombres,0,42.23711182481302
2017,Estados Unidos Mexicanos,Hombres,0,40.047425706858114
2015,Estados Unidos Mexicanos,Hombres,0,39.87114956982903
2013,Estados Unidos Mexicanos,Hombres,0,40.052027115275095
2021,Estados Unidos Mexicanos,Mujeres,0,38.74808791030412
2019,Estados Unidos Mexicanos,Mujeres,0,37.50708722185755
2017,Estados Unidos Mexicanos,Mujeres,0,36.09082130300428
2015,Estados Unidos Mexicanos,Mujeres,0,37.0965359679667
2013,Estados Unidos Mexicanos,Mujeres,0,40.150207115577366
2021,Aguascalientes,Total,1,54.283558763313735
2019,Aguascalientes,Total,1,58.356283360852366
2017,Aguascalientes,Total,1,58.29108640768779
2015,Aguascalientes,Total,1,66.27495630990852
2013,Aguascalientes,Total,1,72.42870484797619
2021,Aguascalientes,Hombres,1,55.55721347848087
2019,Aguascalientes,Hombres,1,60.0125819708564
2017,Aguascalientes,Hombres,1,59.53599466610012
2015,Aguascalientes,Hombres,1,67.01896617280278
2013,Aguascalientes,Hombres,1,77.88324859816365
2021,Aguascalientes,Mujeres,1,53.2420510399233
2019,Aguascalientes,Mujeres,1,56.96292823511495
2017,Aguascalientes,Mujeres,1,57.21712528561622
2015,Aguascalientes,Mujeres,1,65.9942769480622
2013,Aguascalientes,Mujeres,1,68.26818503823073
2021,Baja California,Total,2,37.25515791664108
2019,Baja California,Total,2,43.19311292153724
2017,Baja California,Total,2,41.81723389525271
2015,Baja California,Total,2,46.20748320162412
2013,Baja California,Total,2,50.72430901513778
2021,Baja California,Hombres,2,41.54689479000472
2019,Baja California,Hombres,2,44.62076995590632
2017,Baja California,Hombres,2,44.57137658556868
2015,Baja California,Hombres,2,51.22490930275671
2013,Baja California,Hombres,2,54.33786113797878
2021,Baja California,Mujeres,2,32.63612260960965
2019,Baja California,Mujeres,2,41.87349247113737
2017,Baja California,Mujeres,2,39.1688953318836
2015,Baja California,Mujeres,2,43.66188431328744
2013,Baja California,Mujeres,2,47.68028374026191
2021,Baja California Sur,Total,3,46.50433662876672
2019,Baja California Sur,Total,3,53.37918848993491
2017,Baja California Sur,Total,3,46.75331748861149
2015,Baja California Sur,Total,3,37.266764243508405
2013,Baja California Sur,Total,3,50.85410033381351
2021,Baja California Sur,Hombres,3,48.65536658349355
2019,Baja California Sur,Hombres,3,55.85832946498247
2017,Baja California Sur,Hombres,3,49.11054504115693
2015,Baja California Sur,Hombres,3,39.695446242381976
2013,Baja California Sur,Hombres,3,49.84112297447002
2021,Baja California Sur,Mujeres,3,44.45396223664074
2019,Baja California Sur,Mujeres,3,51.29799600361486
2017,Baja California Sur,Mujeres,3,44.65958600572197
2015,Baja California Sur,Mujeres,3,36.04139989723436
2013,Baja California Sur,Mujeres,3,51.81580711528232
2021,Campeche,Total,4,43.30498205918859
2019,Campeche,Total,4,46.30270540934604
2017,Campeche,Total,4,44.293230509203575
2015,Campeche,Total,4,31.34070512616936
2013,Campeche,Total,4,33.73707623039683
2021,Campeche,Hombres,4,47.328361651418426
2019,Campeche,Hombres,4,51.50411762849848
2017,Campeche,Hombres,4,46.97227372206815
2015,Campeche,Hombres,4,34.33888867701453
2013,Campeche,Hombres,4,35.50692114243381
2021,Campeche,Mujeres,4,39.90603975990334
2019,Campeche,Mujeres,4,41.7498895271764
2017,Campeche,Mujeres,4,42.23411493070615
2015,Campeche,Mujeres,4,29.84334079329564
2013,Campeche,Mujeres,4,32.141480834446604
2021,Coahuila de Zaragoza,Total,5,60.4123567346433
2019,Coahuila de Zaragoza,Total,5,55.19467220173765
2017,Coahuila de Zaragoza,Total,5,55.433057067458336
2015,Coahuila de Zaragoza,Total,5,51.38916331743229
2013,Coahuila de Zaragoza,Total,5,47.445111021899066
2021,Coahuila de Zaragoza,Hombres,5,61.50408288699606
2019,Coahuila de Zaragoza,Hombres,5,56.718549361425225
2017,Coahuila de Zaragoza,Hombres,5,60.1622331069195
2015,Coahuila de Zaragoza,Hombres,5,48.127944688641286
2013,Coahuila de Zaragoza,Hombres,5,50.258829327804285
2021,Coahuila de Zaragoza,Mujeres,5,59.37019169172235
2019,Coahuila de Zaragoza,Mujeres,5,53.79647867025386
2017,Coahuila de Zaragoza,Mujeres,5,51.13434546679974
2015,Coahuila de Zaragoza,Mujeres,5,52.3834753766414
2013,Coahuila de Zaragoza,Mujeres,5,45.003188232451954
2021,Colima,Total,6,44.55722334523248
2019,Colima,Total,6,49.69366340043846
2017,Colima,Total,6,55.52333228739761
2015,Colima,Total,6,52.95620208517364
2013,Colima,Total,6,66.80036376469324
2021,Colima,Hombres,6,46.75860607144504
2019,Colima,Hombres,6,51.97999325472323
2017,Colima,Hombres,6,58.93412477352012
2015,Colima,Hombres,6,58.1613612635228
2013,Colima,Hombres,6,67.85355751342631
2021,Colima,Mujeres,6,42.65318399266655
2019,Colima,Mujeres,6,47.75626853599351
2017,Colima,Mujeres,6,52.51296310661081
2015,Colima,Mujeres,6,50.74766134923078
2013,Colima,Mujeres,6,65.81500285712424
2021,Chiapas,Total,7,39.8431182968533
2019,Chiapas,Total,7,28.37915048143484
2017,Chiapas,Total,7,28.12970683896888
2015,Chiapas,Total,7,25.89424712203887
2013,Chiapas,Total,7,36.47579964544549
2021,Chiapas,Hombres,7,41.6963619170856
2019,Chiapas,Hombres,7,33.640296018344884
2017,Chiapas,Hombres,7,29.061342966252727
2015,Chiapas,Hombres,7,29.681777488402435
2013,Chiapas,Hombres,7,38.15013266699307
2021,Chiapas,Mujeres,7,38.04051322888344
2019,Chiapas,Mujeres,7,23.31373921508115
2017,Chiapas,Mujeres,7,27.306600197864565
2015,Chiapas,Mujeres,7,24.47880924998343
2013,Chiapas,Mujeres,7,35.03655090138589
2021,Chihuahua,Total,8,40.428861070843695
2019,Chihuahua,Total,8,42.23649826884684
2017,Chihuahua,Total,8,40.678312736923175
2015,Chihuahua,Total,8,42.81366409440216
2013,Chihuahua,Total,8,43.529823346278775
2021,Chihuahua,Hombres,8,41.56485641470263
2019,Chihuahua,Hombres,8,44.27280843107648
2017,Chihuahua,Hombres,8,42.97209845280178
2015,Chihuahua,Hombres,8,45.584350983202974
2013,Chihuahua,Hombres,8,42.84942559063439
2021,Chihuahua,Mujeres,8,39.34279412489287
2019,Chihuahua,Mujeres,8,40.5697031532215
2017,Chihuahua,Mujeres,8,38.38603359809569
2015,Chihuahua,Mujeres,8,41.62927881061896
2013,Chihuahua,Mujeres,8,44.13559457897795
2021,Ciudad de México,Total,9,37.81219310314698
2019,Ciudad de México,Total,9,32.88750100323435
2017,Ciudad de México,Total,9,26.77238611547896
2015,Ciudad de México,Total,9,35.01902575289022
2013,Ciudad de México,Total,9,34.01285909526494
2021,Ciudad de México,Hombres,9,40.5198551023087
2019,Ciudad de México,Hombres,9,34.59302605110954
2017,Ciudad de México,Hombres,9,28.52653574641896
2015,Ciudad de México,Hombres,9,37.18868574360344
2013,Ciudad de México,Hombres,9,32.51429657755591
2021,Ciudad de México,Mujeres,9,35.519211841489216
2019,Ciudad de México,Mujeres,9,31.40793359234352
2017,Ciudad de México,Mujeres,9,25.25423280337567
2015,Ciudad de México,Mujeres,9,33.93131190728306
2013,Ciudad de México,Mujeres,9,35.197996467541515
2021,Durango,Total,10,54.10407276378897
2019,Durango,Total,10,57.05153761930818
2017,Durango,Total,10,48.84451281636485
2015,Durango,Total,10,50.21746219889247
2013,Durango,Total,10,55.6376198488081
2021,Durango,Hombres,10,60.86791039549845
2019,Durango,Hombres,10,59.59687056836466
2017,Durango,Hombres,10,51.3592888450242
2015,Durango,Hombres,10,57.0357413204035
2013,Durango,Hombres,10,58.624482351006975
2021,Durango,Mujeres,10,48.01259217212222
2019,Durango,Mujeres,10,54.82306724365478
2017,Durango,Mujeres,10,46.754319503705766
2015,Durango,Mujeres,10,47.20345650876335
2013,Durango,Mujeres,10,53.11598489179393
2021,Guanajuato,Total,11,47.89482817580026
2019,Guanajuato,Total,11,45.43933453146838
2017,Guanajuato,Total,11,34.127348014843854
2015,Guanajuato,Total,11,40.9173530427879
2013,Guanajuato,Total,11,41.23721804488287
2021,Guanajuato,Hombres,11,53.11730941307474
2019,Guanajuato,Hombres,11,47.802203887258415
2017,Guanajuato,Hombres,11,34.107874981279075
2015,Guanajuato,Hombres,11,36.627570214071945
2013,Guanajuato,Hombres,11,45.26004728132381
2021,Guanajuato,Mujeres,11,43.814070712700406
2019,Guanajuato,Mujeres,11,43.17875756641445
2017,Guanajuato,Mujeres,11,34.14468489377704
2015,Guanajuato,Mujeres,11,42.6250358007971
2013,Guanajuato,Mujeres,11,37.87566040467785
2021,Guerrero,Total,12,31.663658022968665
2019,Guerrero,Total,12,33.12703595759367
2017,Guerrero,Total,12,33.291739556622844
2015,Guerrero,Total,12,30.00709993544248
2013,Guerrero,Total,12,45.81778349906712
2021,Guerrero,Hombres,12,34.96148876743439
2019,Guerrero,Hombres,12,36.405288065556334
2017,Guerrero,Hombres,12,33.33412329294654
2015,Guerrero,Hombres,12,34.4388798697804
2013,Guerrero,Hombres,12,42.840305076334495
2021,Guerrero,Mujeres,12,28.943663339418112
2019,Guerrero,Mujeres,12,30.27323812208945
2017,Guerrero,Mujeres,12,33.25651083024933
2015,Guerrero,Mujeres,12,27.87132575726128
2013,Guerrero,Mujeres,12,48.27516518102555
2021,Hidalgo,Total,13,43.43026648511959
2019,Hidalgo,Total,13,44.13641744654523
