Year,Entidad federativa,GeoCode,Value
2021,Estados Unidos Mexicanos,0,0.19074
2020,Estados Unidos Mexicanos,0,0.27858
2019,Estados Unidos Mexicanos,0,0.48113
2018,Estados Unidos Mexicanos,0,0.64072
2017,Estados Unidos Mexicanos,0,0.59335
2016,Estados Unidos Mexicanos,0,0.44901
2015,Estados Unidos Mexicanos,0,0.42605
2014,Estados Unidos Mexicanos,0,0.54696
2013,Estados Unidos Mexicanos,0,0.41788
2012,Estados Unidos Mexicanos,0,0.71236
2011,Estados Unidos Mexicanos,0,0.97428
2010,Estados Unidos Mexicanos,0,1.07781
2009,Estados Unidos Mexicanos,0,2.35157
2008,Estados Unidos Mexicanos,0,2.13486
2007,Estados Unidos Mexicanos,0,2.17114
2006,Estados Unidos Mexicanos,0,2.34613
2005,Estados Unidos Mexicanos,0,2.80781
2004,Estados Unidos Mexicanos,0,3.26644
2003,Estados Unidos Mexicanos,0,3.71171
2002,Estados Unidos Mexicanos,0,4.55593
2001,Estados Unidos Mexicanos,0,4.99074
2000,Estados Unidos Mexicanos,0,7.48087
1999,Estados Unidos Mexicanos,0,13.79734
1998,Estados Unidos Mexicanos,0,26.03391
1997,Estados Unidos Mexicanos,0,5.07598
1996,Estados Unidos Mexicanos,0,6.74529
1995,Estados Unidos Mexicanos,0,8.08219
1994,Estados Unidos Mexicanos,0,14.23596
1993,Estados Unidos Mexicanos,0,17.77473
1992,Estados Unidos Mexicanos,0,18.51972
1991,Estados Unidos Mexicanos,0,30.98005
1990,Estados Unidos Mexicanos,0,52.88491
2021,Aguascalientes,1,0.0
2020,Aguascalientes,1,0.0
2019,Aguascalientes,1,0.0
2018,Aguascalientes,1,0.0
2017,Aguascalientes,1,0.0
2016,Aguascalientes,1,0.0
2015,Aguascalientes,1,0.0
2014,Aguascalientes,1,0.0
2013,Aguascalientes,1,0.0
2012,Aguascalientes,1,0.0
2011,Aguascalientes,1,0.0
2010,Aguascalientes,1,0.0
2009,Aguascalientes,1,0.0
2008,Aguascalientes,1,0.0
2007,Aguascalientes,1,0.0
2006,Aguascalientes,1,0.0
2005,Aguascalientes,1,0.0
2004,Aguascalientes,1,0.0
2003,Aguascalientes,1,0.0
2002,Aguascalientes,1,0.0
2001,Aguascalientes,1,0.0
2000,Aguascalientes,1,0.0
1999,Aguascalientes,1,0.0
1998,Aguascalientes,1,0.0
1997,Aguascalientes,1,0.0
1996,Aguascalientes,1,0.11304
1995,Aguascalientes,1,0.0
1994,Aguascalientes,1,0.0
1993,Aguascalientes,1,0.0
1992,Aguascalientes,1,0.0
1991,Aguascalientes,1,0.0
1990,Aguascalientes,1,0.53423
2021,Baja California,2,0.0
2020,Baja California,2,0.0
2019,Baja California,2,0.0
2018,Baja California,2,0.0
2017,Baja California,2,0.0
2016,Baja California,2,0.0
2015,Baja California,2,0.0
2014,Baja California,2,0.0
2013,Baja California,2,0.0
2012,Baja California,2,0.0
2011,Baja California,2,0.0
2010,Baja California,2,0.0
2009,Baja California,2,0.0
2008,Baja California,2,0.0
2007,Baja California,2,0.0
2006,Baja California,2,0.0
2005,Baja California,2,0.0
2004,Baja California,2,0.0
2003,Baja California,2,0.0
2002,Baja California,2,0.0
2001,Baja California,2,0.0
2000,Baja California,2,0.0
1999,Baja California,2,0.0
1998,Baja California,2,0.0
1997,Baja California,2,0.0
1996,Baja California,2,0.0
1995,Baja California,2,0.0
1994,Baja California,2,0.0
1993,Baja California,2,0.0
1992,Baja California,2,0.0
1991,Baja California,2,0.0
1990,Baja California,2,0.11533
2021,Baja California Sur,3,0.0
2020,Baja California Sur,3,0.0
2019,Baja California Sur,3,0.0
2018,Baja California Sur,3,0.0
2017,Baja California Sur,3,0.0
2016,Baja California Sur,3,0.0
2015,Baja California Sur,3,0.0
2014,Baja California Sur,3,0.0
2013,Baja California Sur,3,0.0
2012,Baja California Sur,3,0.0
2011,Baja California Sur,3,0.0
2010,Baja California Sur,3,0.0
2009,Baja California Sur,3,0.0
2008,Baja California Sur,3,0.0
2007,Baja California Sur,3,0.0
2006,Baja California Sur,3,0.0
2005,Baja California Sur,3,0.0
2004,Baja California Sur,3,0.0
2003,Baja California Sur,3,0.0
2002,Baja California Sur,3,0.0
2001,Baja California Sur,3,0.0
2000,Baja California Sur,3,0.0
1999,Baja California Sur,3,0.0
1998,Baja California Sur,3,0.0
1997,Baja California Sur,3,0.0
1996,Baja California Sur,3,0.51833
1995,Baja California Sur,3,0.79909
1994,Baja California Sur,3,0.27312
1993,Baja California Sur,3,2.52201
1992,Baja California Sur,3,16.11121
1991,Baja California Sur,3,0.88673
1990,Baja California Sur,3,5.77295
2021,Campeche,4,4.12975
2020,Campeche,4,0.89945
2019,Campeche,4,0.20324
2018,Campeche,4,0.41351
2017,Campeche,4,0.73649
2016,Campeche,4,9.21327
2015,Campeche,4,19.30561
2014,Campeche,4,24.87261
2013,Campeche,4,0.0
2012,Campeche,4,0.0
2011,Campeche,4,0.0
2010,Campeche,4,0.23982
2009,Campeche,4,0.0
2008,Campeche,4,0.0
2007,Campeche,4,0.0
2006,Campeche,4,0.0
2005,Campeche,4,0.1292
2004,Campeche,4,0.52657
2003,Campeche,4,2.81679
2002,Campeche,4,7.38265
2001,Campeche,4,7.94337
2000,Campeche,4,5.253
1999,Campeche,4,9.10004
1998,Campeche,4,7.49153
1997,Campeche,4,10.91098
1996,Campeche,4,13.54292
1995,Campeche,4,11.66838
1994,Campeche,4,41.86059
1993,Campeche,4,90.64203
1992,Campeche,4,93.56227
1991,Campeche,4,139.76435
1990,Campeche,4,289.71753
2021,Coahuila de Zaragoza,5,0.0
2020,Coahuila de Zaragoza,5,0.0
2019,Coahuila de Zaragoza,5,0.0
2018,Coahuila de Zaragoza,5,0.0
2017,Coahuila de Zaragoza,5,0.0
2016,Coahuila de Zaragoza,5,0.0
2015,Coahuila de Zaragoza,5,0.0
2014,Coahuila de Zaragoza,5,0.0
2013,Coahuila de Zaragoza,5,0.0
2012,Coahuila de Zaragoza,5,0.0
2011,Coahuila de Zaragoza,5,0.0
2010,Coahuila de Zaragoza,5,0.0
2009,Coahuila de Zaragoza,5,0.0
2008,Coahuila de Zaragoza,5,0.0
2007,Coahuila de Zaragoza,5,0.0
2006,Coahuila de Zaragoza,5,0.0
2005,Coahuila de Zaragoza,5,0.0
2004,Coahuila de Zaragoza,5,0.0
2003,Coahuila de Zaragoza,5,0.0
2002,Coahuila de Zaragoza,5,0.0
2001,Coahuila de Zaragoza,5,0.0
2000,Coahuila de Zaragoza,5,0.0
1999,Coahuila de Zaragoza,5,0.0
1998,Coahuila de Zaragoza,5,0.0
1997,Coahuila de Zaragoza,5,0.0
1996,Coahuila de Zaragoza,5,0.0
1995,Coahuila de Zaragoza,5,0.04573
1994,Coahuila de Zaragoza,5,0.0
1993,Coahuila de Zaragoza,5,0.04698
1992,Coahuila de Zaragoza,5,0.0
1991,Coahuila de Zaragoza,5,0.0
1990,Coahuila de Zaragoza,5,0.0
2021,Colima,6,0.0
2020,Colima,6,0.0
2019,Colima,6,0.0
2018,Colima,6,0.0
2017,Colima,6,0.0
2016,Colima,6,0.0
2015,Colima,6,0.0
2014,Colima,6,0.0
2013,Colima,6,0.0
2012,Colima,6,0.0
2011,Colima,6,0.0
2010,Colima,6,0.0
2009,Colima,6,0.0
2008,Colima,6,0.0
2007,Colima,6,0.0
2006,Colima,6,0.0
2005,Colima,6,0.0
2004,Colima,6,0.0
2003,Colima,6,0.0
2002,Colima,6,0.0
2001,Colima,6,0.18145
2000,Colima,6,0.0
1999,Colima,6,0.37366
1998,Colima,6,0.0
1997,Colima,6,0.19508
1996,Colima,6,0.39897
1995,Colima,6,2.24075
1994,Colima,6,1.24632
1993,Colima,6,2.96712
1992,Colima,6,5.19285
1991,Colima,6,18.78727
1990,Colima,6,95.5537
2021,Chiapas,7,2.33984
2020,Chiapas,7,3.99625
2019,Chiapas,7,7.25981
2018,Chiapas,7,7.90817
2017,Chiapas,7,8.46815
2016,Chiapas,7,6.26629
2015,Chiapas,7,3.57962
2014,Chiapas,7,3.35209
2013,Chiapas,7,3.02115
2012,Chiapas,7,5.06074
2011,Chiapas,7,10.39447
2010,Chiapas,7,13.97722
2009,Chiapas,7,22.54579
2008,Chiapas,7,24.34205
2007,Chiapas,7,33.89048
2006,Chiapas,7,30.69981
2005,Chiapas,7,19.43544
2004,Chiapas,7,28.13202
2003,Chiapas,7,44.8623
2002,Chiapas,7,59.74286
2001,Chiapas,7,64.06737
2000,Chiapas,7,91.30715
1999,Chiapas,7,111.09982
1998,Chiapas,7,136.28144
1997,Chiapas,7,51.43519
1996,Chiapas,7,41.75228
1995,Chiapas,7,66.58205
1994,Chiapas,7,77.04866
1993,Chiapas,7,115.96184
1992,Chiapas,7,112.65544
1991,Chiapas,7,170.38567
1990,Chiapas,7,219.30107
2021,Chihuahua,8,1.04262
2020,Chihuahua,8,2.8936
2019,Chihuahua,8,3.69158
2018,Chihuahua,8,8.42278
2017,Chihuahua,8,5.39383
2016,Chihuahua,8,1.6715
2015,Chihuahua,8,0.63598
2014,Chihuahua,8,0.47349
2013,Chihuahua,8,0.92652
2012,Chihuahua,8,4.44557
2011,Chihuahua,8,8.4868
2010,Chihuahua,8,4.59288
2009,Chihuahua,8,12.78116
2008,Chihuahua,8,5.4444
