Year,Entidad federativa,Municipio,Sexo,GeoCode,Value
2021,Estados Unidos Mexicanos,,Total,0,39.92999999999999
2020,Estados Unidos Mexicanos,,Total,0,37.52000000000003
2019,Estados Unidos Mexicanos,,Total,0,34.69000000000003
2018,Estados Unidos Mexicanos,,Total,0,33.0
2017,Estados Unidos Mexicanos,,Total,0,31.36999999999992
2016,Estados Unidos Mexicanos,,Total,0,30.03662288297836
2021,Estados Unidos Mexicanos,,Hombres,0,40.600000000000016
2020,Estados Unidos Mexicanos,,Hombres,0,38.03000000000005
2019,Estados Unidos Mexicanos,,Hombres,0,35.38999999999998
2018,Estados Unidos Mexicanos,,Hombres,0,33.57000000000007
2017,Estados Unidos Mexicanos,,Hombres,0,31.82999999999995
2016,Estados Unidos Mexicanos,,Hombres,0,30.591178301344733
2021,Estados Unidos Mexicanos,,Mujeres,0,38.67000000000005
2020,Estados Unidos Mexicanos,,Mujeres,0,36.55999999999999
2019,Estados Unidos Mexicanos,,Mujeres,0,33.36000000000004
2018,Estados Unidos Mexicanos,,Mujeres,0,31.86999999999992
2017,Estados Unidos Mexicanos,,Mujeres,0,30.44999999999994
2016,Estados Unidos Mexicanos,,Mujeres,0,28.9230523972501
2021,Aguascalientes,,Total,1,38.98999999999988
2020,Aguascalientes,,Total,1,37.57999999999995
2019,Aguascalientes,,Total,1,33.780000000000086
2018,Aguascalientes,,Total,1,31.13000000000008
2017,Aguascalientes,,Total,1,29.849999999999937
2016,Aguascalientes,,Total,1,29.25627588656552
2021,Aguascalientes,,Hombres,1,38.86999999999992
2020,Aguascalientes,,Hombres,1,37.28999999999997
2019,Aguascalientes,,Hombres,1,33.76999999999999
2018,Aguascalientes,,Hombres,1,30.96000000000003
2017,Aguascalientes,,Hombres,1,30.059999999999956
2016,Aguascalientes,,Hombres,1,29.453864280864437
2021,Aguascalientes,,Mujeres,1,39.19999999999992
2020,Aguascalientes,,Mujeres,1,38.15000000000002
2019,Aguascalientes,,Mujeres,1,33.800000000000075
2018,Aguascalientes,,Mujeres,1,31.46999999999992
2017,Aguascalientes,,Mujeres,1,29.42999999999994
2016,Aguascalientes,,Mujeres,1,28.84561298258778
2021,Aguascalientes,Aguascalientes,Total,10010001,41.35999999999997
2020,Aguascalientes,Aguascalientes,Total,10010001,39.98999999999988
2019,Aguascalientes,Aguascalientes,Total,10010001,35.84999999999996
2018,Aguascalientes,Aguascalientes,Total,10010001,33.15000000000006
2017,Aguascalientes,Aguascalientes,Total,10010001,31.940000000000047
2016,Aguascalientes,Aguascalientes,Total,10010001,31.602456544276745
2021,Aguascalientes,Aguascalientes,Hombres,10010001,41.96000000000003
2020,Aguascalientes,Aguascalientes,Hombres,10010001,40.21000000000003
2019,Aguascalientes,Aguascalientes,Hombres,10010001,36.17999999999996
2018,Aguascalientes,Aguascalientes,Hombres,10010001,33.300000000000075
2017,Aguascalientes,Aguascalientes,Hombres,10010001,32.55999999999995
2016,Aguascalientes,Aguascalientes,Hombres,10010001,32.05501231108646
2021,Aguascalientes,Aguascalientes,Mujeres,10010001,40.38000000000009
2020,Aguascalientes,Aguascalientes,Mujeres,10010001,39.640000000000015
2019,Aguascalientes,Aguascalientes,Mujeres,10010001,35.27
2018,Aguascalientes,Aguascalientes,Mujeres,10010001,32.90000000000006
2017,Aguascalientes,Aguascalientes,Mujeres,10010001,30.820000000000064
2016,Aguascalientes,Aguascalientes,Mujeres,10010001,30.759657430737175
2021,Baja California,,Total,2,50.84000000000009
2020,Baja California,,Total,2,46.39999999999994
2019,Baja California,,Total,2,43.47999999999991
2018,Baja California,,Total,2,40.57000000000001
2017,Baja California,,Total,2,37.21000000000003
2016,Baja California,,Total,2,35.45309786603816
2021,Baja California,,Hombres,2,52.32999999999994
2020,Baja California,,Hombres,2,47.52000000000012
2019,Baja California,,Hombres,2,45.0200000000001
2018,Baja California,,Hombres,2,41.909999999999926
2017,Baja California,,Hombres,2,38.69999999999992
2016,Baja California,,Hombres,2,36.59726573188215
2021,Baja California,,Mujeres,2,48.32999999999994
2020,Baja California,,Mujeres,2,44.430000000000014
2019,Baja California,,Mujeres,2,40.96000000000003
2018,Baja California,,Mujeres,2,38.28999999999997
2017,Baja California,,Mujeres,2,34.599999999999945
2016,Baja California,,Mujeres,2,33.43161001540684
2021,Baja California,Ensenada,Total,20010001,
2020,Baja California,Ensenada,Total,20010001,
2019,Baja California,Ensenada,Total,20010001,
2018,Baja California,Ensenada,Total,20010001,
2017,Baja California,Ensenada,Total,20010001,
2016,Baja California,Ensenada,Total,20010001,
2021,Baja California,Ensenada,Hombres,20010001,
2020,Baja California,Ensenada,Hombres,20010001,
2019,Baja California,Ensenada,Hombres,20010001,
2018,Baja California,Ensenada,Hombres,20010001,
2017,Baja California,Ensenada,Hombres,20010001,
2016,Baja California,Ensenada,Hombres,20010001,
2021,Baja California,Ensenada,Mujeres,20010001,
2020,Baja California,Ensenada,Mujeres,20010001,
2019,Baja California,Ensenada,Mujeres,20010001,
2018,Baja California,Ensenada,Mujeres,20010001,
2017,Baja California,Ensenada,Mujeres,20010001,
2016,Baja California,Ensenada,Mujeres,20010001,
2021,Baja California,Mexicali,Total,20020001,58.649999999999885
2020,Baja California,Mexicali,Total,20020001,53.30000000000012
2019,Baja California,Mexicali,Total,20020001,51.88000000000009
2018,Baja California,Mexicali,Total,20020001,
2017,Baja California,Mexicali,Total,20020001,
2016,Baja California,Mexicali,Total,20020001,
2021,Baja California,Mexicali,Hombres,20020001,59.47999999999982
2020,Baja California,Mexicali,Hombres,20020001,54.82999999999994
2019,Baja California,Mexicali,Hombres,20020001,53.68999999999988
2018,Baja California,Mexicali,Hombres,20020001,
2017,Baja California,Mexicali,Hombres,20020001,
2016,Baja California,Mexicali,Hombres,20020001,
2021,Baja California,Mexicali,Mujeres,20020001,57.35000000000011
2020,Baja California,Mexicali,Mujeres,20020001,50.75
2019,Baja California,Mexicali,Mujeres,20020001,48.90999999999991
2018,Baja California,Mexicali,Mujeres,20020001,
2017,Baja California,Mexicali,Mujeres,20020001,
2016,Baja California,Mexicali,Mujeres,20020001,
2021,Baja California,Tijuana,Total,20040001,50.0600000000001
2020,Baja California,Tijuana,Total,20040001,46.34000000000008
2019,Baja California,Tijuana,Total,20040001,42.30000000000009
2018,Baja California,Tijuana,Total,20040001,40.80000000000009
2017,Baja California,Tijuana,Total,20040001,37.67000000000005
2016,Baja California,Tijuana,Total,20040001,36.11157992421252
2021,Baja California,Tijuana,Hombres,20040001,51.43999999999989
2020,Baja California,Tijuana,Hombres,20040001,47.67000000000006
2019,Baja California,Tijuana,Hombres,20040001,44.07999999999995
2018,Baja California,Tijuana,Hombres,20040001,42.35000000000003
2017,Baja California,Tijuana,Hombres,20040001,39.140000000000015
2016,Baja California,Tijuana,Hombres,20040001,37.49874952846898
2021,Baja California,Tijuana,Mujeres,20040001,47.68000000000004
2020,Baja California,Tijuana,Mujeres,20040001,44.020000000000095
2019,Baja California,Tijuana,Mujeres,20040001,39.4
2018,Baja California,Tijuana,Mujeres,20040001,38.15000000000002
2017,Baja California,Tijuana,Mujeres,20040001,35.13000000000008
2016,Baja California,Tijuana,Mujeres,20040001,33.743583890152884
2021,Baja California Sur,,Total,3,59.659999999999904
2020,Baja California Sur,,Total,3,52.89000000000009
2019,Baja California Sur,,Total,3,51.61999999999991
2018,Baja California Sur,,Total,3,49.8100000000001
2017,Baja California Sur,,Total,3,48.68999999999991
2016,Baja California Sur,,Total,3,44.18659543927431
2021,Baja California Sur,,Hombres,3,61.32999999999994
2020,Baja California Sur,,Hombres,3,54.43000000000007
2019,Baja California Sur,,Hombres,3,52.72999999999985
2018,Baja California Sur,,Hombres,3,51.90999999999991
2017,Baja California Sur,,Hombres,3,50.14999999999992
2016,Baja California Sur,,Hombres,3,45.32274074937986
2021,Baja California Sur,,Mujeres,3,56.72999999999983
2020,Baja California Sur,,Mujeres,3,49.96000000000003
2019,Baja California Sur,,Mujeres,3,49.68000000000004
2018,Baja California Sur,,Mujeres,3,45.97999999999989
2017,Baja California Sur,,Mujeres,3,45.85000000000005
2016,Baja California Sur,,Mujeres,3,41.97559171234696
2021,Baja California Sur,La Paz,Total,30030001,62.77999999999993
2020,Baja California Sur,La Paz,Total,30030001,54.67000000000006
2019,Baja California Sur,La Paz,Total,30030001,52.32999999999994
2018,Baja California Sur,La Paz,Total,30030001,50.14000000000008
2017,Baja California Sur,La Paz,Total,30030001,49.85000000000007
2016,Baja California Sur,La Paz,Total,30030001,45.72992136101735
2021,Baja California Sur,La Paz,Hombres,30030001,63.67000000000006
2020,Baja California Sur,La Paz,Hombres,30030001,54.840000000000096
2019,Baja California Sur,La Paz,Hombres,30030001,54.22999999999984
2018,Baja California Sur,La Paz,Hombres,30030001,51.68999999999989
2017,Baja California Sur,La Paz,Hombres,30030001,51.06000000000011
2016,Baja California Sur,La Paz,Hombres,30030001,46.89696380966233
2021,Baja California Sur,La Paz,Mujeres,30030001,61.36999999999991
2020,Baja California Sur,La Paz,Mujeres,30030001,54.3999999999999
2019,Baja California Sur,La Paz,Mujeres,30030001,49.30000000000011
2018,Baja California Sur,La Paz,Mujeres,30030001,47.69999999999989
2017,Baja California Sur,La Paz,Mujeres,30030001,47.819999999999965
2016,Baja California Sur,La Paz,Mujeres,30030001,43.74683077614281
2021,Campeche,,Total,4,37.82999999999995
2020,Campeche,,Total,4,34.90999999999994
2019,Campeche,,Total,4,33.469999999999914
2018,Campeche,,Total,4,31.57999999999995
2017,Campeche,,Total,4,30.01000000000009
2016,Campeche,,Total,4,30.178048380420453
2021,Campeche,,Hombres,4,37.52000000000003
2020,Campeche,,Hombres,4,34.800000000000075
2019,Campeche,,Hombres,4,33.949999999999925
2018,Campeche,,Hombres,4,31.510000000000097
2017,Campeche,,Hombres,4,29.940000000000047
2016,Campeche,,Hombres,4,30.05962646402034
2021,Campeche,,Mujeres,4,38.52000000000004
2020,Campeche,,Mujeres,4,35.17000000000005
2019,Campeche,,Mujeres,4,32.44999999999993
2018,Campeche,,Mujeres,4,31.75
2017,Campeche,,Mujeres,4,30.170000000000048
2016,Campeche,,Mujeres,4,30.46544445529516
2021,Campeche,Campeche,Total,40020001,39.96000000000003
2020,Campeche,Campeche,Total,40020001,37.44999999999992
2019,Campeche,Campeche,Total,40020001,34.800000000000075
2018,Campeche,Campeche,Total,40020001,34.42000000000005
2017,Campeche,Campeche,Total,40020001,33.050000000000075
2016,Campeche,Campeche,Total,40020001,32.53684057786233
2021,Campeche,Campeche,Hombres,40020001,39.46999999999996
2020,Campeche,Campeche,Hombres,40020001,36.98999999999989
2019,Campeche,Campeche,Hombres,40020001,35.13999999999998
2018,Campeche,Campeche,Hombres,40020001,34.650000000000055
2017,Campeche,Campeche,Hombres,40020001,33.42999999999993
2016,Campeche,Campeche,Hombres,40020001,32.39674232795823
2021,Campeche,Campeche,Mujeres,40020001,40.78000000000003
2020,Campeche,Campeche,Mujeres,40020001,38.27000000000004
2019,Campeche,Campeche,Mujeres,40020001,34.21000000000003
2018,Campeche,Campeche,Mujeres,40020001,34.03000000000008
2017,Campeche,Campeche,Mujeres,40020001,32.42000000000005
2016,Campeche,Campeche,Mujeres,40020001,32.7975411577695
2021,Campeche,Ciudad del Carmen,Total,40030001,53.89000000000009
2020,Campeche,Ciudad del Carmen,Total,40030001,50.56999999999995
2019,Campeche,Ciudad del Carmen,Total,40030001,
2018,Campeche,Ciudad del Carmen,Total,40030001,
2017,Campeche,Ciudad del Carmen,Total,40030001,
2016,Campeche,Ciudad del Carmen,Total,40030001,
2021,Campeche,Ciudad del Carmen,Hombres,40030001,55.17000000000006
2020,Campeche,Ciudad del Carmen,Hombres,40030001,52.17000000000006
2019,Campeche,Ciudad del Carmen,Hombres,40030001,
2018,Campeche,Ciudad del Carmen,Hombres,40030001,
2017,Campeche,Ciudad del Carmen,Hombres,40030001,
2016,Campeche,Ciudad del Carmen,Hombres,40030001,
2021,Campeche,Ciudad del Carmen,Mujeres,40030001,51.59000000000009
2020,Campeche,Ciudad del Carmen,Mujeres,40030001,47.34000000000008
2019,Campeche,Ciudad del Carmen,Mujeres,40030001,
2018,Campeche,Ciudad del Carmen,Mujeres,40030001,
2017,Campeche,Ciudad del Carmen,Mujeres,40030001,
2016,Campeche,Ciudad del Carmen,Mujeres,40030001,
2021,Coahuila de Zaragoza,,Total,5,45.53999999999997
2020,Coahuila de Zaragoza,,Total,5,43.53999999999997
2019,Coahuila de Zaragoza,,Total,5,41.80000000000009
2018,Coahuila de Zaragoza,,Total,5,38.53999999999997
2017,Coahuila de Zaragoza,,Total,5,36.65999999999994
2016,Coahuila de Zaragoza,,Total,5,34.564156506293905
2021,Coahuila de Zaragoza,,Hombres,5,46.36999999999991
2020,Coahuila de Zaragoza,,Hombres,5,44.42000000000005
2019,Coahuila de Zaragoza,,Hombres,5,42.93999999999995
2018,Coahuila de Zaragoza,,Hombres,5,39.71000000000003
2017,Coahuila de Zaragoza,,Hombres,5,37.15000000000003
2016,Coahuila de Zaragoza,,Hombres,5,35.153892518188506
2021,Coahuila de Zaragoza,,Mujeres,5,43.92000000000005
2020,Coahuila de Zaragoza,,Mujeres,5,41.77000000000008
2019,Coahuila de Zaragoza,,Mujeres,5,39.51000000000012
2018,Coahuila de Zaragoza,,Mujeres,5,36.110000000000014
2017,Coahuila de Zaragoza,,Mujeres,5,35.57000000000005
2016,Coahuila de Zaragoza,,Mujeres,5,33.254696339949085
2021,Coahuila de Zaragoza,Saltillo,Total,50300001,51.06999999999995
2020,Coahuila de Zaragoza,Saltillo,Total,50300001,49.47999999999987
2019,Coahuila de Zaragoza,Saltillo,Total,50300001,48.30000000000011
2018,Coahuila de Zaragoza,Saltillo,Total,50300001,43.60999999999996
2017,Coahuila de Zaragoza,Saltillo,Total,50300001,41.30000000000009
2016,Coahuila de Zaragoza,Saltillo,Total,50300001,39.71571956173095
2021,Coahuila de Zaragoza,Saltillo,Hombres,50300001,52.23999999999985
2020,Coahuila de Zaragoza,Saltillo,Hombres,50300001,50.52999999999998
2019,Coahuila de Zaragoza,Saltillo,Hombres,50300001,49.67000000000006
2018,Coahuila de Zaragoza,Saltillo,Hombres,50300001,43.90999999999992
2017,Coahuila de Zaragoza,Saltillo,Hombres,50300001,41.39000000000003
2016,Coahuila de Zaragoza,Saltillo,Hombres,50300001,40.37477535470099
2021,Coahuila de Zaragoza,Saltillo,Mujeres,50300001,48.67000000000006
2020,Coahuila de Zaragoza,Saltillo,Mujeres,50300001,47.31000000000009
2019,Coahuila de Zaragoza,Saltillo,Mujeres,50300001,45.53999999999997
2018,Coahuila de Zaragoza,Saltillo,Mujeres,50300001,42.96000000000003
2017,Coahuila de Zaragoza,Saltillo,Mujeres,50300001,41.10999999999997
2016,Coahuila de Zaragoza,Saltillo,Mujeres,50300001,38.34449345584147
2021,Coahuila de Zaragoza,Torreón,Total,50350001,42.52000000000008
2020,Coahuila de Zaragoza,Torreón,Total,50350001,41.989999999999874
2019,Coahuila de Zaragoza,Torreón,Total,50350001,40.81000000000004
2018,Coahuila de Zaragoza,Torreón,Total,50350001,37.78999999999997
2017,Coahuila de Zaragoza,Torreón,Total,50350001,37.59999999999998
2016,Coahuila de Zaragoza,Torreón,Total,50350001,
2021,Coahuila de Zaragoza,Torreón,Hombres,50350001,43.510000000000126
2020,Coahuila de Zaragoza,Torreón,Hombres,50350001,42.64000000000004
2019,Coahuila de Zaragoza,Torreón,Hombres,50350001,42.13000000000009
2018,Coahuila de Zaragoza,Torreón,Hombres,50350001,40.070000000000014
2017,Coahuila de Zaragoza,Torreón,Hombres,50350001,38.400000000000006
2016,Coahuila de Zaragoza,Torreón,Hombres,50350001,
2021,Coahuila de Zaragoza,Torreón,Mujeres,50350001,40.84000000000008
2020,Coahuila de Zaragoza,Torreón,Mujeres,50350001,40.82000000000001
2019,Coahuila de Zaragoza,Torreón,Mujeres,50350001,38.61999999999992
2018,Coahuila de Zaragoza,Torreón,Mujeres,50350001,33.88000000000008
2017,Coahuila de Zaragoza,Torreón,Mujeres,50350001,36.05999999999998
2016,Coahuila de Zaragoza,Torreón,Mujeres,50350001,
2021,Colima,,Total,6,45.22
2020,Colima,,Total,6,41.67000000000005
2019,Colima,,Total,6,40.159999999999926
2018,Colima,,Total,6,38.40999999999994
2017,Colima,,Total,6,36.02000000000002
2016,Colima,,Total,6,34.11481986972556
2021,Colima,,Hombres,6,46.38000000000009
2020,Colima,,Hombres,6,42.75
2019,Colima,,Hombres,6,42.060000000000045
2018,Colima,,Hombres,6,40.409999999999926
2017,Colima,,Hombres,6,37.76000000000011
2016,Colima,,Hombres,6,35.22868324925184
2021,Colima,,Mujeres,6,43.28999999999997
2020,Colima,,Mujeres,6,39.67999999999999
2019,Colima,,Mujeres,6,36.90999999999994
2018,Colima,,Mujeres,6,34.90999999999994
2017,Colima,,Mujeres,6,32.969999999999914
2016,Colima,,Mujeres,6,32.104030911214984
2021,Colima,Colima,Total,60020001,48.149999999999935
2020,Colima,Colima,Total,60020001,45.03
2019,Colima,Colima,Total,60020001,43.72999999999991
2018,Colima,Colima,Total,60020001,42.21000000000003
2017,Colima,Colima,Total,60020001,38.909999999999926
2016,Colima,Colima,Total,60020001,37.9773170284328
2021,Colima,Colima,Hombres,60020001,49.64999999999993
2020,Colima,Colima,Hombres,60020001,45.84000000000008
2019,Colima,Colima,Hombres,60020001,45.60000000000005
