Year,Sexo,Value
2020,Total,16.427975488463016
2019,Total,16.570811107297416
2018,Total,16.642699558737547
2017,Total,16.60529916850595
2016,Total,16.30335312276674
2015,Total,16.035760608097416
2014,Total,15.963397370474228
2013,Total,15.663686698314056
2012,Total,15.281230927945211
2011,Total,15.299811197813128
2010,Total,15.363720545708262
2009,Total,15.04291314306823
2008,Total,15.933530873088788
2007,Total,16.518389236279347
2006,Total,16.783845789273244
2005,Total,16.776412562413274
2004,Total,17.423647857267287
2003,Total,17.511839734211954
2002,Total,17.839068789940928
2001,Total,18.73036101483245
2000,Total,19.556752996360967
1999,Total,19.137133555466495
1998,Total,18.374261706235096
1997,Total,16.95052167261673
1996,Total,16.64458979121373
1995,Total,15.63254334452034
2020,Hombres,16.579306108091927
2019,Hombres,17.043489995485015
2018,Hombres,16.804374315259576
2017,Hombres,16.766332586241102
2016,Hombres,16.544129863853627
2015,Hombres,16.355140306032368
2014,Hombres,16.312067045952926
2013,Hombres,16.00004487119446
2012,Hombres,15.62691774727772
2011,Hombres,15.56074502462276
2010,Hombres,15.535825040937883
2009,Hombres,15.007098144139023
2008,Hombres,15.738267437079
2007,Hombres,16.254735740883692
2006,Hombres,16.27401725610774
2005,Hombres,16.22807822023497
2004,Hombres,16.949184383663862
2003,Hombres,16.736489732506012
2002,Hombres,16.945695225569747
2001,Hombres,17.692411309525156
2000,Hombres,18.51585162611532
1999,Hombres,18.40618297115478
1998,Hombres,17.80525934440658
1997,Hombres,16.567480930066935
1996,Hombres,16.449113291223043
1995,Hombres,16.172407874553933
2020,Mujeres,16.190221716462478
2019,Mujeres,15.833992091735174
2018,Mujeres,16.382115427386903
2017,Mujeres,16.34305193429287
2016,Mujeres,15.91338782320503
2015,Mujeres,15.51446307251193
2014,Mujeres,15.389650396028674
2013,Mujeres,15.120665165044375
2012,Mujeres,14.720884117631172
2011,Mujeres,14.867904876251712
2010,Mujeres,15.07737063050484
2009,Mujeres,15.102212230485232
2008,Mujeres,16.26054981596712
2007,Mujeres,16.957240299972057
2006,Mujeres,17.644222670195806
2005,Mujeres,17.727136875560564
2004,Mujeres,18.287844529137807
2003,Mujeres,18.9676229420711
2002,Mujeres,19.536765908398127
2001,Mujeres,20.707804060149567
2000,Mujeres,21.55547631060245
1999,Mujeres,20.588966835414062
1998,Mujeres,19.498013056995624
1997,Mujeres,17.70685996651553
1996,Mujeres,17.047791100324282
1995,Mujeres,14.50164305547907
