Year,Entidad federativa,GeoCode,Value
2018,Estados Unidos Mexicanos,0,57.28965
2016,Estados Unidos Mexicanos,0,55.79952
2014,Estados Unidos Mexicanos,0,58.47237
2012,Estados Unidos Mexicanos,0,61.23479
2010,Estados Unidos Mexicanos,0,60.73996
2008,Estados Unidos Mexicanos,0,65.00023
2018,Aguascalientes,1,42.31875
2016,Aguascalientes,1,40.4117
2014,Aguascalientes,1,43.19124
2012,Aguascalientes,1,47.62941
2010,Aguascalientes,1,49.26119
2008,Aguascalientes,1,55.32064
2018,Baja California,2,45.24618
2016,Baja California,2,42.98018
2014,Baja California,2,51.84467
2012,Baja California,2,55.70677
2010,Baja California,2,54.65407
2008,Baja California,2,55.0985
2018,Baja California Sur,3,41.05862
2016,Baja California Sur,3,39.9617
2014,Baja California Sur,3,46.62686
2012,Baja California Sur,3,43.52246
2010,Baja California Sur,3,45.93793
2008,Baja California Sur,3,51.45037
2018,Campeche,4,61.54845
2016,Campeche,4,58.97705
2014,Campeche,4,60.14387
2012,Campeche,4,61.0416
2010,Campeche,4,59.97361
2008,Campeche,4,61.90089
2018,Coahuila de Zaragoza,5,30.36454
2016,Coahuila de Zaragoza,5,30.57305
2014,Coahuila de Zaragoza,5,34.1971
2012,Coahuila de Zaragoza,5,34.32879
2010,Coahuila de Zaragoza,5,34.30282
2008,Coahuila de Zaragoza,5,40.50943
2018,Colima,6,48.89113
2016,Colima,6,47.72846
2014,Colima,6,51.91039
2012,Colima,6,50.76972
2010,Colima,6,55.76276
2008,Colima,6,56.02769
2018,Chiapas,7,83.60277
2016,Chiapas,7,81.10035
2014,Chiapas,7,82.75841
2012,Chiapas,7,83.2876
2010,Chiapas,7,82.3702
2008,Chiapas,7,85.42256
2018,Chihuahua,8,42.09536
2016,Chihuahua,8,40.54121
2014,Chihuahua,8,43.36441
2012,Chihuahua,8,48.41763
2010,Chihuahua,8,48.40658
2008,Chihuahua,8,55.87016
2018,Ciudad de México,9,48.34745
2016,Ciudad de México,9,47.04486
2014,Ciudad de México,9,46.27843
2012,Ciudad de México,9,52.51063
2010,Ciudad de México,9,52.389
2008,Ciudad de México,9,52.92275
2018,Durango,10,48.09792
2016,Durango,10,49.0405
2014,Durango,10,51.25595
2012,Durango,10,57.9301
2010,Durango,10,58.66738
2008,Durango,10,58.95701
2018,Guanajuato,11,57.06156
2016,Guanajuato,11,54.49857
2014,Guanajuato,11,57.85304
2012,Guanajuato,11,62.09075
2010,Guanajuato,11,65.72995
2008,Guanajuato,11,66.66137
2018,Guerrero,12,75.58451
2016,Guerrero,12,73.94638
2014,Guerrero,12,78.09936
2012,Guerrero,12,78.53544
2010,Guerrero,12,78.49106
2008,Guerrero,12,81.17036
2018,Hidalgo,13,70.81316
2016,Hidalgo,13,72.09312
2014,Hidalgo,13,68.90018
2012,Hidalgo,13,71.33239
2010,Hidalgo,13,71.83097
2008,Hidalgo,13,77.19708
2018,Jalisco,14,49.78777
2016,Jalisco,14,49.10583
2014,Jalisco,14,49.57427
2012,Jalisco,14,53.50647
2010,Jalisco,14,55.36768
2008,Jalisco,14,57.99437
2018,México,15,59.21583
2016,México,15,55.46641
2014,México,15,60.62837
2012,México,15,64.75635
2010,México,15,59.01692
2008,México,15,68.26378
2018,Michoacán de Ocampo,16,69.47727
2016,Michoacán de Ocampo,16,68.86739
2014,Michoacán de Ocampo,16,71.26406
2012,Michoacán de Ocampo,16,71.64558
2010,Michoacán de Ocampo,16,72.24341
2008,Michoacán de Ocampo,16,77.36782
2018,Morelos,17,66.50474
2016,Morelos,17,62.13137
2014,Morelos,17,66.1953
2012,Morelos,17,64.37988
2010,Morelos,17,64.59216
2008,Morelos,17,72.33971
