Year,Sexo,Traslado al trabajo_grupos de edad,Value
2019,Total,15-19 años,262.0
2014,Total,15-19 años,275.9
2019,Total,20-29 años,382.8
2014,Total,20-29 años,360.7
2019,Total,30-39 años,390.2
2014,Total,30-39 años,392.1000000000001
2019,Total,40-49 años,415.0
2014,Total,40-49 años,381.0
2019,Total,50-59 años,408.6000000000001
2014,Total,50-59 años,378.0
2019,Total,60 años y más,370.1000000000001
2014,Total,60 años y más,344.7
2019,Hombres,15-19 años,265.8
2014,Hombres,15-19 años,288.1
2019,Hombres,20-29 años,398.0
2014,Hombres,20-29 años,383.7
2019,Hombres,30-39 años,425.3
2014,Hombres,30-39 años,423.5
2019,Hombres,40-49 años,453.6000000000001
2014,Hombres,40-49 años,410.2
2019,Hombres,50-59 años,436.3
2014,Hombres,50-59 años,414.2
2019,Hombres,60 años y más,396.0
2014,Hombres,60 años y más,369.2
2019,Mujeres,15-19 años,254.6
2014,Mujeres,15-19 años,250.7
2019,Mujeres,20-29 años,360.0
2014,Mujeres,20-29 años,325.4
2019,Mujeres,30-39 años,342.5
2014,Mujeres,30-39 años,346.8
2019,Mujeres,40-49 años,362.8
2014,Mujeres,40-49 años,340.1
2019,Mujeres,50-59 años,364.2
2014,Mujeres,50-59 años,316.4
2019,Mujeres,60 años y más,304.0
2014,Mujeres,60 años y más,278.8
