Year,Entidad federativa,Unidades económicas víctimas,GeoCode,Value
2021,Estados Unidos Mexicanos,Total,0,24.62980168
2019,Estados Unidos Mexicanos,Total,0,30.462028264702905
2017,Estados Unidos Mexicanos,Total,0,33.7328872235682
2015,Estados Unidos Mexicanos,Total,0,35.484960079226
2013,Estados Unidos Mexicanos,Total,0,33.6342429825453
2011,Estados Unidos Mexicanos,Total,0,37.3659531684157
2021,Estados Unidos Mexicanos,Tamaño Micro,0,23.7292222
2019,Estados Unidos Mexicanos,Tamaño Micro,0,29.592689942302
2017,Estados Unidos Mexicanos,Tamaño Micro,0,32.8815539470325
2015,Estados Unidos Mexicanos,Tamaño Micro,0,34.7010627334214
2013,Estados Unidos Mexicanos,Tamaño Micro,0,32.8428419173126
2011,Estados Unidos Mexicanos,Tamaño Micro,0,36.2639067030643
2021,Estados Unidos Mexicanos,Tamaño Pequeña,0,38.15783834
2019,Estados Unidos Mexicanos,Tamaño Pequeña,0,48.2701787984588
2017,Estados Unidos Mexicanos,Tamaño Pequeña,0,51.37321983123061
2015,Estados Unidos Mexicanos,Tamaño Pequeña,0,49.9225339092917
2013,Estados Unidos Mexicanos,Tamaño Pequeña,0,46.6298722012608
2011,Estados Unidos Mexicanos,Tamaño Pequeña,0,57.7631425457754
2021,Estados Unidos Mexicanos,Tamaño Mediana,0,46.93694672
2019,Estados Unidos Mexicanos,Tamaño Mediana,0,56.4319413547721
2017,Estados Unidos Mexicanos,Tamaño Mediana,0,61.50854343792239
2015,Estados Unidos Mexicanos,Tamaño Mediana,0,59.9248713479768
2013,Estados Unidos Mexicanos,Tamaño Mediana,0,56.4120852029644
2011,Estados Unidos Mexicanos,Tamaño Mediana,0,62.45385878528069
2021,Estados Unidos Mexicanos,Tamaño Grande,0,45.85142596
2019,Estados Unidos Mexicanos,Tamaño Grande,0,51.5480271753812
2017,Estados Unidos Mexicanos,Tamaño Grande,0,59.2694443684697
2015,Estados Unidos Mexicanos,Tamaño Grande,0,60.9909318661504
2013,Estados Unidos Mexicanos,Tamaño Grande,0,58.258309015902704
2011,Estados Unidos Mexicanos,Tamaño Grande,0,63.1082258124896
2021,Estados Unidos Mexicanos,Sector económico Comercio,0,27.79510335
2019,Estados Unidos Mexicanos,Sector económico Comercio,0,34.1518123853101
2017,Estados Unidos Mexicanos,Sector económico Comercio,0,38.3958805619733
2015,Estados Unidos Mexicanos,Sector económico Comercio,0,40.6748601329819
2013,Estados Unidos Mexicanos,Sector económico Comercio,0,37.5330137275994
2011,Estados Unidos Mexicanos,Sector económico Comercio,0,41.551766599384
2021,Estados Unidos Mexicanos,Sector económico Industria,0,19.44421631
2019,Estados Unidos Mexicanos,Sector económico Industria,0,25.4326849311343
2017,Estados Unidos Mexicanos,Sector económico Industria,0,30.612586305506
2015,Estados Unidos Mexicanos,Sector económico Industria,0,31.7300727436767
2013,Estados Unidos Mexicanos,Sector económico Industria,0,33.877273406518
2011,Estados Unidos Mexicanos,Sector económico Industria,0,36.6142095519061
2021,Estados Unidos Mexicanos,Sector económico Servicios,0,22.66667099
2019,Estados Unidos Mexicanos,Sector económico Servicios,0,27.83541000364569
2017,Estados Unidos Mexicanos,Sector económico Servicios,0,29.3056446527594
2015,Estados Unidos Mexicanos,Sector económico Servicios,0,30.423437888309294
