Year,Entidad federativa,Sexo,GeoCode,Value
2021,Estados Unidos Mexicanos,Total,0,40.46939096538328
2019,Estados Unidos Mexicanos,Total,0,38.17222288594442
2017,Estados Unidos Mexicanos,Total,0,35.87585913075864
2015,Estados Unidos Mexicanos,Total,0,33.0346557201774
2013,Estados Unidos Mexicanos,Total,0,35.32893714991083
2021,Estados Unidos Mexicanos,Hombres,0,43.18446298881548
2019,Estados Unidos Mexicanos,Hombres,0,40.17454725211465
2017,Estados Unidos Mexicanos,Hombres,0,38.224886392980295
2015,Estados Unidos Mexicanos,Hombres,0,33.71418211689795
2013,Estados Unidos Mexicanos,Hombres,0,36.59240441015655
2021,Estados Unidos Mexicanos,Mujeres,0,38.09680766902513
2019,Estados Unidos Mexicanos,Mujeres,0,36.42247425383852
2017,Estados Unidos Mexicanos,Mujeres,0,33.79110333624394
2015,Estados Unidos Mexicanos,Mujeres,0,32.72069244541902
2013,Estados Unidos Mexicanos,Mujeres,0,34.29263318983466
2021,Aguascalientes,Total,1,61.140142101876286
2019,Aguascalientes,Total,1,60.08054249022527
2017,Aguascalientes,Total,1,49.8103130005157
2015,Aguascalientes,Total,1,57.63173224593543
2013,Aguascalientes,Total,1,64.59666235861259
2021,Aguascalientes,Hombres,1,64.13761336949034
2019,Aguascalientes,Hombres,1,64.08360172591807
2017,Aguascalientes,Hombres,1,52.25976385769907
2015,Aguascalientes,Hombres,1,59.51369779146893
2013,Aguascalientes,Hombres,1,68.10222288111231
2021,Aguascalientes,Mujeres,1,58.68901509022564
2019,Aguascalientes,Mujeres,1,56.71298360259677
2017,Aguascalientes,Mujeres,1,47.69721352249054
2015,Aguascalientes,Mujeres,1,56.92175659281475
2013,Aguascalientes,Mujeres,1,61.92275329011931
2021,Baja California,Total,2,32.95276758739747
2019,Baja California,Total,2,31.407083715951565
2017,Baja California,Total,2,29.904584124395235
2015,Baja California,Total,2,24.93613218993326
2013,Baja California,Total,2,35.77817905631434
2021,Baja California,Hombres,2,35.16400701393775
2019,Baja California,Hombres,2,33.5817232326367
2017,Baja California,Hombres,2,32.98058761350242
2015,Baja California,Hombres,2,25.80651034080983
2013,Baja California,Hombres,2,39.61713622746718
2021,Baja California,Mujeres,2,30.572893591188524
2019,Baja California,Mujeres,2,29.39700796990019
2017,Baja California,Mujeres,2,26.94674948136665
2015,Baja California,Mujeres,2,24.494544489657525
2013,Baja California,Mujeres,2,32.54427450453294
2021,Baja California Sur,Total,3,29.840391532959863
2019,Baja California Sur,Total,3,35.922977760549564
2017,Baja California Sur,Total,3,32.50693206575568
2015,Baja California Sur,Total,3,31.945031712473675
2013,Baja California Sur,Total,3,31.57651327842904
2021,Baja California Sur,Hombres,3,29.78939015879395
2019,Baja California Sur,Hombres,3,40.373732086242846
2017,Baja California Sur,Hombres,3,34.95715879665694
2015,Baja California Sur,Hombres,3,41.93110360323953
2013,Baja California Sur,Hombres,3,31.24338012393628
2021,Baja California Sur,Mujeres,3,29.889006342494675
2019,Baja California Sur,Mujeres,3,32.186652737357804
2017,Baja California Sur,Mujeres,3,30.330597056788545
2015,Baja California Sur,Mujeres,3,26.90667079904414
2013,Baja California Sur,Mujeres,3,31.892785316350448
2021,Campeche,Total,4,33.31445856303343
2019,Campeche,Total,4,31.701742242382345
2017,Campeche,Total,4,34.25182420950923
2015,Campeche,Total,4,26.393008440935745
2013,Campeche,Total,4,30.952533751262337
2021,Campeche,Hombres,4,38.78680710386711
2019,Campeche,Hombres,4,34.247310131574864
2017,Campeche,Hombres,4,39.35277471876445
2015,Campeche,Hombres,4,26.347202623851025
2013,Campeche,Hombres,4,28.513824474413475
2021,Campeche,Mujeres,4,28.69143045805627
2019,Campeche,Mujeres,4,29.473596995139257
2017,Campeche,Mujeres,4,30.331228002507057
2015,Campeche,Mujeres,4,26.41588495785905
2013,Campeche,Mujeres,4,33.15114068441061
2021,Coahuila de Zaragoza,Total,5,56.660089330073575
2019,Coahuila de Zaragoza,Total,5,47.94060153813673
2017,Coahuila de Zaragoza,Total,5,51.148874319643554
2015,Coahuila de Zaragoza,Total,5,42.92151681420666
2013,Coahuila de Zaragoza,Total,5,42.74986288357258
2021,Coahuila de Zaragoza,Hombres,5,58.43006409693569
2019,Coahuila de Zaragoza,Hombres,5,47.89212099475488
2017,Coahuila de Zaragoza,Hombres,5,55.725110275214384
2015,Coahuila de Zaragoza,Hombres,5,44.49101221397211
2013,Coahuila de Zaragoza,Hombres,5,45.18203239207587
2021,Coahuila de Zaragoza,Mujeres,5,54.97046613573975
2019,Coahuila de Zaragoza,Mujeres,5,47.98508358954653
2017,Coahuila de Zaragoza,Mujeres,5,46.98918171665836
2015,Coahuila de Zaragoza,Mujeres,5,42.442993789382925
2013,Coahuila de Zaragoza,Mujeres,5,40.639072283764655
2021,Colima,Total,6,41.75580773791598
2019,Colima,Total,6,41.55582214672052
2017,Colima,Total,6,43.28556894141818
2015,Colima,Total,6,42.872457639736815
2013,Colima,Total,6,50.60435160300773
2021,Colima,Hombres,6,43.32545092038766
2019,Colima,Hombres,6,42.58369552075448
2017,Colima,Hombres,6,46.57846345222968
2015,Colima,Hombres,6,46.10702623453372
2013,Colima,Hombres,6,52.84074555091434
2021,Colima,Mujeres,6,40.39817812025556
2019,Colima,Mujeres,6,40.68482070638984
2017,Colima,Mujeres,6,40.37925664265976
2015,Colima,Mujeres,6,41.500035344847774
2013,Colima,Mujeres,6,48.511996637132135
2021,Chiapas,Total,7,34.26894672328765
2019,Chiapas,Total,7,17.558787702163556
2017,Chiapas,Total,7,18.30387352382621
2015,Chiapas,Total,7,19.37488151199689
2013,Chiapas,Total,7,19.819775567889984
2021,Chiapas,Hombres,7,36.695366545563054
2019,Chiapas,Hombres,7,20.30331457160724
2017,Chiapas,Hombres,7,18.57361824903071
2015,Chiapas,Hombres,7,20.182408236347364
2013,Chiapas,Hombres,7,22.883768257811884
2021,Chiapas,Mujeres,7,31.90882708175504
2019,Chiapas,Mujeres,7,14.916367486307992
2017,Chiapas,Mujeres,7,18.065552286363985
2015,Chiapas,Mujeres,7,19.073100721407474
2013,Chiapas,Mujeres,7,17.185981947370003
2021,Chihuahua,Total,8,42.81266283558028
2019,Chihuahua,Total,8,30.282645505319703
2017,Chihuahua,Total,8,37.06097761287766
2015,Chihuahua,Total,8,31.97964688208904
2013,Chihuahua,Total,8,37.61174110576727
2021,Chihuahua,Hombres,8,44.38997722279815
2019,Chihuahua,Hombres,8,32.78215414675785
2017,Chihuahua,Hombres,8,35.69757089759415
2015,Chihuahua,Hombres,8,30.916977024638435
2013,Chihuahua,Hombres,8,39.30780764070125
2021,Chihuahua,Mujeres,8,41.304673363096
2019,Chihuahua,Mujeres,8,28.23670531787285
2017,Chihuahua,Mujeres,8,38.42348883157919
2015,Chihuahua,Mujeres,8,32.433906273784146
2013,Chihuahua,Mujeres,8,36.10170038754992
2021,Ciudad de México,Total,9,40.04764181769595
2019,Ciudad de México,Total,9,36.68960453183858
2017,Ciudad de México,Total,9,30.271146591511744
2015,Ciudad de México,Total,9,38.29654182661207
2013,Ciudad de México,Total,9,28.84727233948251
2021,Ciudad de México,Hombres,9,41.77446700073242
2019,Ciudad de México,Hombres,9,37.2619426121832
2017,Ciudad de México,Hombres,9,31.074601330499743
2015,Ciudad de México,Hombres,9,35.34217419160722
2013,Ciudad de México,Hombres,9,28.57825481562168
2021,Ciudad de México,Mujeres,9,38.585281379765846
2019,Ciudad de México,Mujeres,9,36.19309304832528
2017,Ciudad de México,Mujeres,9,29.57578545948215
2015,Ciudad de México,Mujeres,9,39.777652505411325
2013,Ciudad de México,Mujeres,9,29.06002470553815
2021,Durango,Total,10,50.734534520669584
2019,Durango,Total,10,57.13573774783988
2017,Durango,Total,10,50.22313338694556
2015,Durango,Total,10,41.11289847165
2013,Durango,Total,10,51.13447614132991
2021,Durango,Hombres,10,49.726418225387526
2019,Durango,Hombres,10,61.67497888749034
2017,Durango,Hombres,10,52.5326671395821
2015,Durango,Hombres,10,40.71175760551577
2013,Durango,Hombres,10,53.848020604191326
2021,Durango,Mujeres,10,51.64243934944086
2019,Durango,Mujeres,10,53.1615761705071
2017,Durango,Mujeres,10,48.30353022940501
2015,Durango,Mujeres,10,41.29022193282337
2013,Durango,Mujeres,10,48.84358776935853
2021,Guanajuato,Total,11,53.1040132294172
2019,Guanajuato,Total,11,47.41360404903936
2017,Guanajuato,Total,11,34.55944997790174
2015,Guanajuato,Total,11,39.97182930689551
2013,Guanajuato,Total,11,44.2113939554032
2021,Guanajuato,Hombres,11,59.46386536825795
2019,Guanajuato,Hombres,11,49.62467467744616
2017,Guanajuato,Hombres,11,35.921002134191944
2015,Guanajuato,Hombres,11,45.18983559978941
2013,Guanajuato,Hombres,11,49.04738878143138
2021,Guanajuato,Mujeres,11,48.13453360839876
2019,Guanajuato,Mujeres,11,45.29825420185651
2017,Guanajuato,Mujeres,11,33.347257495609135
2015,Guanajuato,Mujeres,11,37.89463805191879
2013,Guanajuato,Mujeres,11,40.17033866820204
2021,Guerrero,Total,12,25.02969843945176
2019,Guerrero,Total,12,26.139259174559346
2017,Guerrero,Total,12,23.276289799260677
2015,Guerrero,Total,12,19.86637557398152
2013,Guerrero,Total,12,26.283008951980577
2021,Guerrero,Hombres,12,26.91194951894068
2019,Guerrero,Hombres,12,27.125766057543355
2017,Guerrero,Hombres,12,24.68791658026477
2015,Guerrero,Hombres,12,20.186200333300334
2013,Guerrero,Hombres,12,22.30283005315326
2021,Guerrero,Mujeres,12,23.477249776673027
2019,Guerrero,Mujeres,12,25.28048104687002
2017,Guerrero,Mujeres,12,22.10296677672974
2015,Guerrero,Mujeres,12,19.71224484713658
2013,Guerrero,Mujeres,12,29.56794248574536
2021,Hidalgo,Total,13,38.71143283222643
2019,Hidalgo,Total,13,43.97711273609485
2017,Hidalgo,Total,13,33.231537616776684
2015,Hidalgo,Total,13,37.09615633492953
2013,Hidalgo,Total,13,37.15308371931961
2021,Hidalgo,Hombres,13,41.39025162968874
2019,Hidalgo,Hombres,13,46.85070273137089
2017,Hidalgo,Hombres,13,37.0565379796895
2015,Hidalgo,Hombres,13,37.52576171113466
2013,Hidalgo,Hombres,13,39.960487922171545
2021,Hidalgo,Mujeres,13,36.21477975322341
2019,Hidalgo,Mujeres,13,41.536326942482376
2017,Hidalgo,Mujeres,13,30.29513311793368
2015,Hidalgo,Mujeres,13,36.93007264061552
2013,Hidalgo,Mujeres,13,34.018142235123385
2021,Jalisco,Total,14,36.300051555756
2019,Jalisco,Total,14,34.58558842780437
2017,Jalisco,Total,14,38.9064986258919
2015,Jalisco,Total,14,33.08185016765176
2013,Jalisco,Total,14,40.54629810799633
2021,Jalisco,Hombres,14,35.97774055166439
2019,Jalisco,Hombres,14,35.2542553687986
2017,Jalisco,Hombres,14,42.38538956298608
2015,Jalisco,Hombres,14,35.17723748104165
2013,Jalisco,Hombres,14,43.7763959366318
2021,Jalisco,Mujeres,14,36.590336883351895
2019,Jalisco,Mujeres,14,34.018362073207335
2017,Jalisco,Mujeres,14,36.07523619658482
2015,Jalisco,Mujeres,14,32.05994091355833
2013,Jalisco,Mujeres,14,37.53408473821825
2021,México,Total,15,33.447695474643844
2019,México,Total,15,35.62890446245809
2017,México,Total,15,33.557630717433284
2015,México,Total,15,26.74159236230376
2013,México,Total,15,26.78862242746947
2021,México,Hombres,15,39.058801568544375
2019,México,Hombres,15,37.97668500874908
