Year,Entidad federativa,GeoCode,Value
2021,Estados Unidos Mexicanos,0,3.57828
2020,Estados Unidos Mexicanos,0,3.53855
2019,Estados Unidos Mexicanos,0,4.15002
2018,Estados Unidos Mexicanos,0,3.96959
2017,Estados Unidos Mexicanos,0,3.7697
2016,Estados Unidos Mexicanos,0,3.77134
2015,Estados Unidos Mexicanos,0,3.91519
2014,Estados Unidos Mexicanos,0,4.00796
2013,Estados Unidos Mexicanos,0,4.19995
2012,Estados Unidos Mexicanos,0,4.25191
2011,Estados Unidos Mexicanos,0,4.36518
2010,Estados Unidos Mexicanos,0,4.26994
2009,Estados Unidos Mexicanos,0,4.56219
2008,Estados Unidos Mexicanos,0,4.69451
2007,Estados Unidos Mexicanos,0,4.68344
2006,Estados Unidos Mexicanos,0,4.61386
2005,Estados Unidos Mexicanos,0,4.40052
2004,Estados Unidos Mexicanos,0,4.52564
2003,Estados Unidos Mexicanos,0,4.47758
2002,Estados Unidos Mexicanos,0,4.3973
2001,Estados Unidos Mexicanos,0,4.31246
2000,Estados Unidos Mexicanos,0,4.2476
1999,Estados Unidos Mexicanos,0,4.28897
1998,Estados Unidos Mexicanos,0,4.24691
1997,Estados Unidos Mexicanos,0,4.40348
1996,Estados Unidos Mexicanos,0,4.64978
1995,Estados Unidos Mexicanos,0,4.33997
1994,Estados Unidos Mexicanos,0,3.85336
1993,Estados Unidos Mexicanos,0,3.53176
1992,Estados Unidos Mexicanos,0,2.8965
1991,Estados Unidos Mexicanos,0,2.34173
1990,Estados Unidos Mexicanos,0,1.7738
2021,Aguascalientes,1,0.96322
2020,Aguascalientes,1,1.53349
2019,Aguascalientes,1,2.89666
2018,Aguascalientes,1,1.71945
2017,Aguascalientes,1,0.94492
2016,Aguascalientes,1,2.2135
2015,Aguascalientes,1,1.65187
2014,Aguascalientes,1,2.06853
2013,Aguascalientes,1,2.65999
2012,Aguascalientes,1,2.15834
2011,Aguascalientes,1,1.79823
2010,Aguascalientes,1,1.83561
2009,Aguascalientes,1,2.21057
2008,Aguascalientes,1,1.7339
2007,Aguascalientes,1,3.09388
2006,Aguascalientes,1,3.69366
2005,Aguascalientes,1,3.58852
2004,Aguascalientes,1,3.29703
2003,Aguascalientes,1,3.56896
2002,Aguascalientes,1,1.77874
2001,Aguascalientes,1,3.13918
2000,Aguascalientes,1,1.8672
1999,Aguascalientes,1,2.7571
1998,Aguascalientes,1,2.48993
1997,Aguascalientes,1,2.43295
1996,Aguascalientes,1,2.71298
1995,Aguascalientes,1,2.66412
1994,Aguascalientes,1,2.61798
1993,Aguascalientes,1,1.34581
1992,Aguascalientes,1,1.38471
1991,Aguascalientes,1,1.16657
1990,Aguascalientes,1,0.26712
2021,Baja California,2,8.15683
2020,Baja California,2,7.34552
2019,Baja California,2,8.46709
2018,Baja California,2,8.03694
2017,Baja California,2,7.797
2016,Baja California,2,8.16846
2015,Baja California,2,7.74318
2014,Baja California,2,6.70431
2013,Baja California,2,8.35164
2012,Baja California,2,8.74666
2011,Baja California,2,8.75068
2010,Baja California,2,8.22954
2009,Baja California,2,8.78475
2008,Baja California,2,9.10299
2007,Baja California,2,9.66366
2006,Baja California,2,9.35487
2005,Baja California,2,9.37142
2004,Baja California,2,10.06118
2003,Baja California,2,8.61367
2002,Baja California,2,9.61855
2001,Baja California,2,7.91144
2000,Baja California,2,10.82739
1999,Baja California,2,9.67693
1998,Baja California,2,8.85634
1997,Baja California,2,9.08358
1996,Baja California,2,9.78499
1995,Baja California,2,8.62068
1994,Baja California,2,8.04889
1993,Baja California,2,5.58629
1992,Baja California,2,2.87541
1991,Baja California,2,4.87387
1990,Baja California,2,2.422
2021,Baja California Sur,3,6.33328
2020,Baja California Sur,3,6.83478
2019,Baja California Sur,3,6.4711
2018,Baja California Sur,3,4.27852
2017,Baja California Sur,3,4.90541
2016,Baja California Sur,3,4.8847
2015,Baja California Sur,3,5.27891
2014,Baja California Sur,3,7.39768
2013,Baja California Sur,3,5.83274
2012,Baja California Sur,3,6.87969
2011,Baja California Sur,3,8.13608
2010,Baja California Sur,3,5.65873
2009,Baja California Sur,3,5.51839
2008,Baja California Sur,3,7.46665
2007,Baja California Sur,3,4.08444
2006,Baja California Sur,3,8.36741
2005,Baja California Sur,3,6.19267
2004,Baja California Sur,3,6.80382
2003,Baja California Sur,3,4.96911
2002,Baja California Sur,3,4.71704
2001,Baja California Sur,3,4.44354
2000,Baja California Sur,3,5.29566
1999,Baja California Sur,3,3.56472
1998,Baja California Sur,3,4.6441
1997,Baja California Sur,3,4.78009
1996,Baja California Sur,3,2.07333
1995,Baja California Sur,3,4.26184
1994,Baja California Sur,3,3.00427
1993,Baja California Sur,3,1.68134
1992,Baja California Sur,3,1.1508
1991,Baja California Sur,3,2.66019
1990,Baja California Sur,3,0.60768
2021,Campeche,4,7.37455
2020,Campeche,4,6.99568
2019,Campeche,4,9.5524
2018,Campeche,4,9.09731
2017,Campeche,4,8.83784
2016,Campeche,4,8.46335
2015,Campeche,4,8.61663
2014,Campeche,4,8.77204
2013,Campeche,4,7.12741
2012,Campeche,4,8.88054
2011,Campeche,4,5.88276
2010,Campeche,4,5.39606
2009,Campeche,4,7.06628
2008,Campeche,4,7.29258
2007,Campeche,4,7.89922
2006,Campeche,4,5.33948
2005,Campeche,4,4.52207
2004,Campeche,4,4.87079
2003,Campeche,4,5.63358
2002,Campeche,4,6.42564
2001,Campeche,4,4.32008
2000,Campeche,4,5.11102
1999,Campeche,4,2.8889
1998,Campeche,4,3.81921
1997,Campeche,4,3.13877
1996,Campeche,4,3.19552
1995,Campeche,4,2.1781
1994,Campeche,4,0.95864
1993,Campeche,4,1.64207
1992,Campeche,4,1.68885
1991,Campeche,4,0.69535
1990,Campeche,4,0.71624
2021,Coahuila de Zaragoza,5,2.63702
2020,Coahuila de Zaragoza,5,1.92623
2019,Coahuila de Zaragoza,5,2.67662
2018,Coahuila de Zaragoza,5,2.55426
2017,Coahuila de Zaragoza,5,2.91465
2016,Coahuila de Zaragoza,5,2.30031
2015,Coahuila de Zaragoza,5,2.23292
2014,Coahuila de Zaragoza,5,2.36475
2013,Coahuila de Zaragoza,5,3.70126
2012,Coahuila de Zaragoza,5,3.02635
2011,Coahuila de Zaragoza,5,2.72055
2010,Coahuila de Zaragoza,5,2.65602
2009,Coahuila de Zaragoza,5,3.10093
