Year,Entidad federativa,GeoCode,Value
2016,Estados Unidos Mexicanos,0,2.15360890831337
2015,Estados Unidos Mexicanos,0,2.082176028913
2014,Estados Unidos Mexicanos,0,2.00968795644725
2013,Estados Unidos Mexicanos,0,1.93877593115044
2012,Estados Unidos Mexicanos,0,1.86786210321273
2011,Estados Unidos Mexicanos,0,1.79629568982164
2010,Estados Unidos Mexicanos,0,1.72466116104531
2016,Aguascalientes,1,2.29635963122718
2015,Aguascalientes,1,2.20936450033392
2014,Aguascalientes,1,2.09641208316983
2013,Aguascalientes,1,1.98484979422605
2012,Aguascalientes,1,1.90411582264328
2011,Aguascalientes,1,1.79098175466009
2010,Aguascalientes,1,1.67867573514946
2016,Baja California,2,1.98118790940337
2015,Baja California,2,1.93424635102933
2014,Baja California,2,1.883346785721
2013,Baja California,2,1.82120452111256
2012,Baja California,2,1.76342733631767
2011,Baja California,2,1.69926129147781
2010,Baja California,2,1.64386179396582
2016,Baja California Sur,3,3.09347594369531
2015,Baja California Sur,3,2.98226521289835
2014,Baja California Sur,3,2.89654906764037
2013,Baja California Sur,3,2.83783001966199
2012,Baja California Sur,3,2.71302443186375
2011,Baja California Sur,3,2.61428401582135
2010,Baja California Sur,3,2.51234344906124
2016,Campeche,4,2.71287549503388
2015,Campeche,4,2.67143164801919
2014,Campeche,4,2.67694248962979
2013,Campeche,4,2.62556370736982
2012,Campeche,4,2.59184701636252
2011,Campeche,4,2.55242780238821
2010,Campeche,4,2.50717821979516
2016,Coahuila de Zaragoza,5,3.23370269471305
2015,Coahuila de Zaragoza,5,3.08978615074213
2014,Coahuila de Zaragoza,5,2.93929253612765
2013,Coahuila de Zaragoza,5,2.7903859031221
2012,Coahuila de Zaragoza,5,2.65161842145722
2011,Coahuila de Zaragoza,5,2.51578526664052
2010,Coahuila de Zaragoza,5,2.38316282209568
2016,Colima,6,2.62405387774597
2015,Colima,6,2.55164519984754
2014,Colima,6,2.5093725932417
2013,Colima,6,2.46366395947561
2012,Colima,6,2.41343762162023
2011,Colima,6,2.35684851990798
2010,Colima,6,2.29422470608658
2016,Chiapas,7,3.36610069454146
2015,Chiapas,7,3.25763020011368
2014,Chiapas,7,3.15579153968041
2013,Chiapas,7,3.05785326019583
2012,Chiapas,7,2.96820502485168
2011,Chiapas,7,2.88038654290486
2010,Chiapas,7,2.79099464397534
2016,Chihuahua,8,2.68236369828285
2015,Chihuahua,8,2.60078430368269
2014,Chihuahua,8,2.51156137926144
2013,Chihuahua,8,2.4266864661956
2012,Chihuahua,8,2.34050825753891
2011,Chihuahua,8,2.25849055849746
2010,Chihuahua,8,2.16924700922326
2016,Ciudad de México,9,1.46850760244467
2015,Ciudad de México,9,1.40312981644215
