Year,Tipo de localidad,Mujeres_trabajo doméstico,Value
2019,Nacional,Total (12 años y más),26.672648593140003
2014,Nacional,Total (12 años y más),25.739722123300005
2019,Nacional,De 15 y más,27.76824633536
2014,Nacional,De 15 y más,26.97041600525
2019,Nacional,De 15 a 24 años,21.03008585904
2014,Nacional,De 15 a 24 años,20.09110571756
2019,Nacional,De 25 a 44 años,30.61720567582
2014,Nacional,De 25 a 44 años,30.26153728448
2019,Nacional,De 45 a 54 años,29.07128069425
2014,Nacional,De 45 a 54 años,28.5713254843
2019,Nacional,De 55 a 64 años,29.43603694085
2014,Nacional,De 55 a 64 años,28.41613874689
2019,Nacional,De 65 años y más,24.19733652509
2014,Nacional,De 65 años y más,23.53834264857
2019,Nacional,Total (12 años y más),10.78569236284
2014,Nacional,Total (12 años y más),9.40100340616
2019,Nacional,De 15 y más,11.11166506606
2014,Nacional,De 15 y más,9.70062032587
2019,Nacional,De 15 a 24 años,9.3267588219
2014,Nacional,De 15 a 24 años,8.27764281113
2019,Nacional,De 25 a 44 años,11.51011025564
2014,Nacional,De 25 a 44 años,10.14462138757
2019,Nacional,De 45 a 54 años,11.17700342765
2014,Nacional,De 45 a 54 años,9.73749066616
2019,Nacional,De 55 a 64 años,12.06771814027
2014,Nacional,De 55 a 64 años,10.35333827817
2019,Nacional,De 65 años y más,12.30676893305
2014,Nacional,De 65 años y más,10.74963786666
2019,Urbano (localidades de 2 500 y más habitantes),Total (12 años y más),25.947179280859995
2014,Urbano (localidades de 2 500 y más habitantes),Total (12 años y más),25.08774320401
2019,Urbano (localidades de 2 500 y más habitantes),De 15 y más,26.94689358704
2014,Urbano (localidades de 2 500 y más habitantes),De 15 y más,26.2189233555
2019,Urbano (localidades de 2 500 y más habitantes),De 15 a 24 años,19.998612514
2014,Urbano (localidades de 2 500 y más habitantes),De 15 a 24 años,19.01141397541
2019,Urbano (localidades de 2 500 y más habitantes),De 25 a 44 años,29.51645758397
2014,Urbano (localidades de 2 500 y más habitantes),De 25 a 44 años,29.296613734889995
2019,Urbano (localidades de 2 500 y más habitantes),De 45 a 54 años,28.35619722379
2014,Urbano (localidades de 2 500 y más habitantes),De 45 a 54 años,27.86419365518
2019,Urbano (localidades de 2 500 y más habitantes),De 55 a 64 años,28.78424620148
2014,Urbano (localidades de 2 500 y más habitantes),De 55 a 64 años,28.34331021141
2019,Urbano (localidades de 2 500 y más habitantes),De 65 años y más,24.11642951118
2014,Urbano (localidades de 2 500 y más habitantes),De 65 años y más,23.09411386612
2019,Urbano (localidades de 2 500 y más habitantes),Total (12 años y más),11.09548331856
2014,Urbano (localidades de 2 500 y más habitantes),Total (12 años y más),9.72218207763
2019,Urbano (localidades de 2 500 y más habitantes),De 15 y más,11.41913476785
2014,Urbano (localidades de 2 500 y más habitantes),De 15 y más,10.00447896902
2019,Urbano (localidades de 2 500 y más habitantes),De 15 a 24 años,9.60066478887
2014,Urbano (localidades de 2 500 y más habitantes),De 15 a 24 años,8.51543027279
2019,Urbano (localidades de 2 500 y más habitantes),De 25 a 44 años,11.80454673036
2014,Urbano (localidades de 2 500 y más habitantes),De 25 a 44 años,10.44514827455
2019,Urbano (localidades de 2 500 y más habitantes),De 45 a 54 años,11.35755190351
2014,Urbano (localidades de 2 500 y más habitantes),De 45 a 54 años,9.93619108458
2019,Urbano (localidades de 2 500 y más habitantes),De 55 a 64 años,12.63501924777
2014,Urbano (localidades de 2 500 y más habitantes),De 55 a 64 años,10.76010722866
2019,Urbano (localidades de 2 500 y más habitantes),De 65 años y más,12.52381924523
2014,Urbano (localidades de 2 500 y más habitantes),De 65 años y más,11.44556848925
2019,Rural (localidades menores a 2 500 habitantes),Total (12 años y más),29.19483206576
2014,Rural (localidades menores a 2 500 habitantes),Total (12 años y más),28.08532992217
2019,Rural (localidades menores a 2 500 habitantes),De 15 y más,30.68096232183
2014,Rural (localidades menores a 2 500 habitantes),De 15 y más,29.7384810596
2019,Rural (localidades menores a 2 500 habitantes),De 15 a 24 años,24.27796492185
2014,Rural (localidades menores a 2 500 habitantes),De 15 a 24 años,23.60258555461
2019,Rural (localidades menores a 2 500 habitantes),De 25 a 44 años,34.43669176391
2014,Rural (localidades menores a 2 500 habitantes),De 25 a 44 años,33.94297266439
2019,Rural (localidades menores a 2 500 habitantes),De 45 a 54 años,31.95380843416
