Year,Sexo,Value
2022,Total,51.260928636147824
2021,Total,51.49588221094861
2020,Total,49.84568564892281
2019,Total,52.03094180312224
2018,Total,51.94747322907649
2017,Total,52.07849668365628
2016,Total,52.4256837719925
2015,Total,52.88926881735944
2014,Total,52.628498147359984
2022,Hombres,48.7510533513933
2021,Hombres,49.30705165519183
2020,Hombres,47.76043998099637
2019,Hombres,48.73585911139898
2018,Hombres,49.00008728106574
2017,Hombres,49.2408959351226
2016,Hombres,49.30802429706206
2015,Hombres,49.57082627405452
2014,Hombres,49.34224867120162
2022,Mujeres,54.54505198144146
2021,Mujeres,54.44117486963662
2020,Mujeres,52.63759665465199
2019,Mujeres,56.41358517743383
2018,Mujeres,55.976171607318335
2017,Mujeres,55.99008807048272
2016,Mujeres,56.68660613131376
2015,Mujeres,57.4384738003974
2014,Mujeres,57.14309534514879
