Year,Población en pobreza_nacional,Value
2020,Nacional,43.9113547784
2018,Nacional,41.9059105108
2016,Nacional,43.2314482601
2020,Hombres,43.4094561126
2018,Hombres,41.1639719563
2016,Hombres,42.5666434477
2020,Mujeres,44.381081686
2018,Mujeres,42.6060943348
2016,Mujeres,43.8548048946
2020,Población analfabeta,63.42368736059999
2018,Población analfabeta,63.4997284946
2016,Población analfabeta,63.9254855956
2020,Población indígena,73.1786332886
2018,Población indígena,70.3107937887
2016,Población indígena,72.9877599191
2020,Hombres indígenas,71.9645880807
2018,Hombres indígenas,69.4779731257
2016,Hombres indígenas,71.7229793237
2020,Mujeres indígenas,74.3271271613
2018,Mujeres indígenas,71.1210157099
2016,Mujeres indígenas,74.1807714403
2020,Personas con discapacidad,49.5043567751
2018,Personas con discapacidad,
2016,Personas con discapacidad,
2020,Primera infancia (0 a 5 años),54.3425281
2018,Primera infancia (0 a 5 años),52.5484437941
2016,Primera infancia (0 a 5 años),52.7636444225
2020,Niños y niñas (menores de 18 años),52.599432957
2018,Niños y niñas (menores de 18 años),50.2691833057
2016,Niños y niñas (menores de 18 años),51.3104378618
2020,Jóvenes (los de 12 a 29 años),46.0557502779
2018,Jóvenes (los de 12 a 29 años),42.3425589736
2016,Jóvenes (los de 12 a 29 años),43.8745631182
2020,Adultos mayores (65 años o más),37.8736610153
2018,Adultos mayores (65 años o más),43.1732236559
2016,Adultos mayores (65 años o más),42.4820198861
2020,Hombres adultos mayores,37.6603150407
2018,Hombres adultos mayores,42.6500330874
2016,Hombres adultos mayores,42.1820111797
2020,Mujeres adultos mayores,38.0521911466
2018,Mujeres adultos mayores,43.615616323000005
2016,Mujeres adultos mayores,42.733568222
2020,Hombres (Menos de 4 horas a cuidados) <sup>1</sup>,40.7448221916
2018,Hombres (Menos de 4 horas a cuidados) <sup>1</sup>,38.7578235833
2016,Hombres (Menos de 4 horas a cuidados) <sup>1</sup>,40.0719126759
2020,Hombres (4 horas o más a cuidados) <sup>1</sup>,39.7663593713
2018,Hombres (4 horas o más a cuidados) <sup>1</sup>,39.3197485936
2016,Hombres (4 horas o más a cuidados) <sup>1</sup>,38.9857419463
2020,Mujeres (Menos de 4 horas a cuidados) <sup>1</sup>,41.8284958188
2018,Mujeres (Menos de 4 horas a cuidados) <sup>1</sup>,40.492167357
2016,Mujeres (Menos de 4 horas a cuidados) <sup>1</sup>,41.2627654158
2020,Mujeres (4 horas o más a cuidados) <sup>1</sup>,50.419724995
2018,Mujeres (4 horas o más a cuidados) <sup>1</sup>,47.1762704678
2016,Mujeres (4 horas o más a cuidados) <sup>1</sup>,47.3548793655
2020,Hombres (Menos de 4 horas a hogar) <sup>2</sup>,40.8002837096
2018,Hombres (Menos de 4 horas a hogar) <sup>2</sup>,38.806858054
2016,Hombres (Menos de 4 horas a hogar) <sup>2</sup>,39.9804301827
2020,Hombres (4 horas o más a hogar) <sup>2</sup>,36.8970455787
2018,Hombres (4 horas o más a hogar) <sup>2</sup>,36.313113688
2016,Hombres (4 horas o más a hogar) <sup>2</sup>,42.7939834535
2020,Mujeres (Menos de 4 horas a hogar) <sup>2</sup>,40.9824649435
2018,Mujeres (Menos de 4 horas a hogar) <sup>2</sup>,38.8428081787
2016,Mujeres (Menos de 4 horas a hogar) <sup>2</sup>,39.7929163536
2020,Mujeres (4 horas o más a hogar) <sup>2</sup>,47.394778518
2018,Mujeres (4 horas o más a hogar) <sup>2</sup>,47.8369278529
2016,Mujeres (4 horas o más a hogar) <sup>2</sup>,48.1245962946
2020,Ámbito rural,56.7814392964
2018,Ámbito rural,57.71052872020001
2016,Ámbito rural,60.49090347220001
2020,Ámbito urbano,40.0503742399
2018,Ámbito urbano,36.8064085992
2016,Ámbito urbano,38.0647793711
