Year,Entidad federativa,GeoCode,Value
2018,Estados Unidos Mexicanos,0,88.88438
2017,Estados Unidos Mexicanos,0,83.40752
2016,Estados Unidos Mexicanos,0,89.51966
2015,Estados Unidos Mexicanos,0,96.6876
2014,Estados Unidos Mexicanos,0,91.79974
2013,Estados Unidos Mexicanos,0,85.29816
2012,Estados Unidos Mexicanos,0,86.45053
2011,Estados Unidos Mexicanos,0,82.06595
2010,Estados Unidos Mexicanos,0,80.6929
2009,Estados Unidos Mexicanos,0,77.80058
2008,Estados Unidos Mexicanos,0,71.29333
2007,Estados Unidos Mexicanos,0,69.94972
2006,Estados Unidos Mexicanos,0,71.12259
2005,Estados Unidos Mexicanos,0,73.34591
2004,Estados Unidos Mexicanos,0,75.66416
2003,Estados Unidos Mexicanos,0,73.46896
2002,Estados Unidos Mexicanos,0,74.89982
2001,Estados Unidos Mexicanos,0,78.46708
2000,Estados Unidos Mexicanos,0,75.31462
1999,Estados Unidos Mexicanos,0,73.57674
1998,Estados Unidos Mexicanos,0,73.86309
1997,Estados Unidos Mexicanos,0,89.28458
1996,Estados Unidos Mexicanos,0,91.20177
1995,Estados Unidos Mexicanos,0,86.98034
1994,Estados Unidos Mexicanos,0,86.99914
1993,Estados Unidos Mexicanos,0,69.20091
2018,Aguascalientes,1,101.8963
2017,Aguascalientes,1,95.5999
2016,Aguascalientes,1,98.88382
2015,Aguascalientes,1,113.60814
2014,Aguascalientes,1,94.36365
2013,Aguascalientes,1,98.36006
2012,Aguascalientes,1,90.42238
2011,Aguascalientes,1,82.38427
2010,Aguascalientes,1,83.27198
2009,Aguascalientes,1,94.9491
2008,Aguascalientes,1,97.9205
2007,Aguascalientes,1,96.12364
2006,Aguascalientes,1,81.67617
2005,Aguascalientes,1,81.56225
2004,Aguascalientes,1,91.80403
2003,Aguascalientes,1,91.8447
2002,Aguascalientes,1,90.69982
2001,Aguascalientes,1,77.26591
2000,Aguascalientes,1,81.94108
1999,Aguascalientes,1,86.05633
