Year,Sexo,Value
2021,Total,42.127039864984354
2020,Total,40.87159135038874
2019,Total,35.72596262669453
2018,Total,35.41885270117464
2017,Total,32.89648989861465
2016,Total,34.520310240567945
2021,Hombres,41.48673791700914
2020,Hombres,40.31941031941034
2019,Hombres,35.24563628740807
2018,Hombres,34.972228489165424
2017,Hombres,32.369764213470745
2016,Hombres,34.00788174063425
2021,Mujeres,52.8502415458936
2020,Mujeres,50.26441487546897
2019,Mujeres,44.44872783346181
2018,Mujeres,43.60236220472442
2017,Mujeres,42.70580231315001
2016,Mujeres,43.99467103914744
