Year,Entidad federativa,Sexo,GeoCode,Value
2021,Estados Unidos Mexicanos,Total,0,53.73518113617774
2019,Estados Unidos Mexicanos,Total,0,55.99872711512917
2017,Estados Unidos Mexicanos,Total,0,53.83958811052777
2015,Estados Unidos Mexicanos,Total,0,51.6878969927381
2013,Estados Unidos Mexicanos,Total,0,57.61817631467895
2021,Estados Unidos Mexicanos,Hombres,0,55.132382256139216
2019,Estados Unidos Mexicanos,Hombres,0,57.12072739748778
2017,Estados Unidos Mexicanos,Hombres,0,53.96078170482018
2015,Estados Unidos Mexicanos,Hombres,0,52.39952340485461
2013,Estados Unidos Mexicanos,Hombres,0,58.05059018454202
2021,Estados Unidos Mexicanos,Mujeres,0,52.51422787590919
2019,Estados Unidos Mexicanos,Mujeres,0,55.01825737084159
2017,Estados Unidos Mexicanos,Mujeres,0,53.73202910002875
2015,Estados Unidos Mexicanos,Mujeres,0,51.3591024678589
2013,Estados Unidos Mexicanos,Mujeres,0,57.26350768191677
2021,Aguascalientes,Total,1,44.39727820477096
2019,Aguascalientes,Total,1,44.81761562361856
2017,Aguascalientes,Total,1,56.88760621114649
2015,Aguascalientes,Total,1,52.41522356970109
2013,Aguascalientes,Total,1,58.78890220088119
2021,Aguascalientes,Hombres,1,44.91864644289034
2019,Aguascalientes,Hombres,1,46.88049179094773
2017,Aguascalientes,Hombres,1,53.89693410655333
2015,Aguascalientes,Hombres,1,47.84979152032256
2013,Aguascalientes,Hombres,1,59.5080709159247
2021,Aguascalientes,Mujeres,1,43.97093891495742
2019,Aguascalientes,Mujeres,1,43.0822286202423
2017,Aguascalientes,Mujeres,1,59.46760802854436
2015,Aguascalientes,Mujeres,1,54.13754288034334
2013,Aguascalientes,Mujeres,1,58.24034748713713
2021,Baja California,Total,2,65.88882059621415
2019,Baja California,Total,2,65.92380829720967
2017,Baja California,Total,2,73.52427126735546
2015,Baja California,Total,2,73.22064225447508
2013,Baja California,Total,2,75.48105825180674
2021,Baja California,Hombres,2,64.62635541930759
2019,Baja California,Hombres,2,67.7049850047661
2017,Baja California,Hombres,2,77.28737783322941
2015,Baja California,Hombres,2,75.35219659455025
2013,Baja California,Hombres,2,77.77957812503878
2021,Baja California,Mujeres,2,67.24756447965704
2019,Baja California,Mujeres,2,64.27742043760283
2017,Baja California,Mujeres,2,69.905729544186
2015,Baja California,Mujeres,2,72.13919486508597
2013,Baja California,Mujeres,2,73.54480485042484
2021,Baja California Sur,Total,3,54.83047723911407
2019,Baja California Sur,Total,3,63.425704730052544
2017,Baja California Sur,Total,3,57.91691424044354
2015,Baja California Sur,Total,3,46.03350138233866
2013,Baja California Sur,Total,3,56.457188257825
2021,Baja California Sur,Hombres,3,58.47458437299857
2019,Baja California Sur,Hombres,3,63.62136909994184
2017,Baja California Sur,Hombres,3,61.0197680048841
2015,Baja California Sur,Hombres,3,51.9697386075232
2013,Baja California Sur,Hombres,3,56.929107975504856
2021,Baja California Sur,Mujeres,3,51.35689290661228
2019,Baja California Sur,Mujeres,3,63.26144815063544
2017,Baja California Sur,Mujeres,3,55.1609042801847
2015,Baja California Sur,Mujeres,3,43.03843926628544
2013,Baja California Sur,Mujeres,3,56.00915416445144
2021,Campeche,Total,4,52.959573762700245
2019,Campeche,Total,4,55.95646603142813
2017,Campeche,Total,4,61.57059213734647
2015,Campeche,Total,4,46.7331864055841
2013,Campeche,Total,4,49.78298537811219
2021,Campeche,Hombres,4,56.57402424335599
2019,Campeche,Hombres,4,56.41119490108219
2017,Campeche,Hombres,4,61.613950959755854
2015,Campeche,Hombres,4,49.33640974791191
2013,Campeche,Hombres,4,46.76526534014405
2021,Campeche,Mujeres,4,49.90609388446585
2019,Campeche,Mujeres,4,55.55844012372949
2017,Campeche,Mujeres,4,61.53726649845436
2015,Campeche,Mujeres,4,45.4330746154946
2013,Campeche,Mujeres,4,52.503596752646224
2021,Coahuila de Zaragoza,Total,5,61.935292975318646
2019,Coahuila de Zaragoza,Total,5,55.231562933145135
