Year,Uso de internet,Value
2018,Total,65.7726344759233
2017,Total,63.8522490942939
2016,Total,59.5404459967255
2015,Total,57.4310429923633
2014,Total,44.3856962723411
2013,Total,43.45716300617181
2012,Total,39.7548808153524
2011,Total,37.1762954125184
2010,Total,33.848059014191
2009,Total,28.3142189640923
2008,Total,23.5559629301578
2007,Total,22.227963060795695
2006,Total,19.9877125173788
2005,Total,17.7998392218691
2004,Total,14.134288684304702
2003,Total,12.9791470492334
2002,Total,11.8602568797074
2001,Total,7.95924614835148
2000,Total,5.774877191816249
1999,Total,2.11149905974211
1998,Total,1.43784841564812
1997,Total,0.711575162822291
1996,Total,0.226586933053204
1995,Total,0.115541202321503
1994,Total,0.0490625166111904
1993,Total,0.0319118675312045
1992,Total,0.0194876779380607
1991 P/,Total,0.006614772419056
2018,Dentro del hogar,56.9741609773149
2017,Dentro del hogar,53.215248540296805
2016,Dentro del hogar,47.3112253350962
2015,Dentro del hogar,40.7401086355271
2014,Dentro del hogar,25.2316130665743
2013,Dentro del hogar,24.2835055430662
2012,Dentro del hogar,20.663300048706
2011,Dentro del hogar,18.281899195448
2010,Dentro del hogar,16.3021323306119
2009,Dentro del hogar,13.0174325116445
2008,Dentro del hogar,8.885499239954541
2007,Dentro del hogar,7.58783882838559
2006,Dentro del hogar,6.70401485404386
2005,Dentro del hogar,5.63297347247859
2004,Dentro del hogar,5.64463385772763
2003,Dentro del hogar,4.92029214706352
2002,Dentro del hogar,4.338433221081311
2001,Dentro del hogar,3.6198586150504894
2000,Dentro del hogar,2.9331309073861305
1999,Dentro del hogar,0.554329946690443
1998,Dentro del hogar,0.349921667568459
1997,Dentro del hogar,0.168286013705385
1996,Dentro del hogar,0.0353897199743879
1995,Dentro del hogar,0.0124259873125493
1994,Dentro del hogar,0.0050600738925156
1993,Dentro del hogar,
1992,Dentro del hogar,
1991 P/,Dentro del hogar,
2018,Fuera del hogar,8.79847349860845
2017,Fuera del hogar,10.6370005539971
2016,Fuera del hogar,12.2292206616293
2015,Fuera del hogar,16.6909343568361
2014,Fuera del hogar,19.1540832057668
2013,Fuera del hogar,19.1736574631056
2012,Fuera del hogar,19.0915807666464
2011,Fuera del hogar,18.8943962170704
2010,Fuera del hogar,17.5459266835791
2009,Fuera del hogar,15.2967864524479
2008,Fuera del hogar,14.6704636902032
2007,Fuera del hogar,14.640124232410097
2006,Fuera del hogar,13.283697663335
2005,Fuera del hogar,12.1668657493905
2004,Fuera del hogar,9.75327391959283
2003,Fuera del hogar,8.05885490216985
2002,Fuera del hogar,7.521823658626071
2001,Fuera del hogar,4.33938753330099
2000,Fuera del hogar,2.84174628443011
1999,Fuera del hogar,1.55716911305167
1998,Fuera del hogar,1.08792674807966
1997,Fuera del hogar,0.543289149116906
1996,Fuera del hogar,0.191197213078816
1995,Fuera del hogar,0.103115215008954
1994,Fuera del hogar,0.0440024427186748
1993,Fuera del hogar,
1992,Fuera del hogar,
1991 P/,Fuera del hogar,
