Year,Residencia habitual fuera de México o no especificada,Sexo (t-h-m-na),Value
2021,Estados Unidos de Norteamérica,Total,8
2020,Estados Unidos de Norteamérica,Total,4
2019,Estados Unidos de Norteamérica,Total,2
2018,Estados Unidos de Norteamérica,Total,4
2017,Estados Unidos de Norteamérica,Total,6
2016,Estados Unidos de Norteamérica,Total,5
2015,Estados Unidos de Norteamérica,Total,3
2014,Estados Unidos de Norteamérica,Total,7
2013,Estados Unidos de Norteamérica,Total,3
2012,Estados Unidos de Norteamérica,Total,2
2011,Estados Unidos de Norteamérica,Total,6
2010,Estados Unidos de Norteamérica,Total,5
2009,Estados Unidos de Norteamérica,Total,4
2008,Estados Unidos de Norteamérica,Total,5
2007,Estados Unidos de Norteamérica,Total,7
2006,Estados Unidos de Norteamérica,Total,9
2005,Estados Unidos de Norteamérica,Total,7
2004,Estados Unidos de Norteamérica,Total,10
2003,Estados Unidos de Norteamérica,Total,7
2002,Estados Unidos de Norteamérica,Total,10
2001,Estados Unidos de Norteamérica,Total,6
2000,Estados Unidos de Norteamérica,Total,16
1999,Estados Unidos de Norteamérica,Total,15
1998,Estados Unidos de Norteamérica,Total,10
2021,Estados Unidos de Norteamérica,Hombres,4
2020,Estados Unidos de Norteamérica,Hombres,4
2019,Estados Unidos de Norteamérica,Hombres,0
2018,Estados Unidos de Norteamérica,Hombres,2
2017,Estados Unidos de Norteamérica,Hombres,4
2016,Estados Unidos de Norteamérica,Hombres,3
2015,Estados Unidos de Norteamérica,Hombres,1
2014,Estados Unidos de Norteamérica,Hombres,4
2013,Estados Unidos de Norteamérica,Hombres,3
2012,Estados Unidos de Norteamérica,Hombres,2
2011,Estados Unidos de Norteamérica,Hombres,4
2010,Estados Unidos de Norteamérica,Hombres,4
2009,Estados Unidos de Norteamérica,Hombres,3
2008,Estados Unidos de Norteamérica,Hombres,5
2007,Estados Unidos de Norteamérica,Hombres,6
2006,Estados Unidos de Norteamérica,Hombres,7
2005,Estados Unidos de Norteamérica,Hombres,5
2004,Estados Unidos de Norteamérica,Hombres,8
2003,Estados Unidos de Norteamérica,Hombres,4
2002,Estados Unidos de Norteamérica,Hombres,8
2001,Estados Unidos de Norteamérica,Hombres,6
2000,Estados Unidos de Norteamérica,Hombres,10
1999,Estados Unidos de Norteamérica,Hombres,11
1998,Estados Unidos de Norteamérica,Hombres,7
2021,Estados Unidos de Norteamérica,Mujeres,4
2020,Estados Unidos de Norteamérica,Mujeres,0
2019,Estados Unidos de Norteamérica,Mujeres,2
2018,Estados Unidos de Norteamérica,Mujeres,2
2017,Estados Unidos de Norteamérica,Mujeres,2
2016,Estados Unidos de Norteamérica,Mujeres,2
2015,Estados Unidos de Norteamérica,Mujeres,2
2014,Estados Unidos de Norteamérica,Mujeres,3
2013,Estados Unidos de Norteamérica,Mujeres,0
2012,Estados Unidos de Norteamérica,Mujeres,0
2011,Estados Unidos de Norteamérica,Mujeres,2
2010,Estados Unidos de Norteamérica,Mujeres,1
2009,Estados Unidos de Norteamérica,Mujeres,1
2008,Estados Unidos de Norteamérica,Mujeres,0
2007,Estados Unidos de Norteamérica,Mujeres,1
2006,Estados Unidos de Norteamérica,Mujeres,2
2005,Estados Unidos de Norteamérica,Mujeres,2
2004,Estados Unidos de Norteamérica,Mujeres,2
2003,Estados Unidos de Norteamérica,Mujeres,3
2002,Estados Unidos de Norteamérica,Mujeres,2
2001,Estados Unidos de Norteamérica,Mujeres,0
2000,Estados Unidos de Norteamérica,Mujeres,6
1999,Estados Unidos de Norteamérica,Mujeres,4
1998,Estados Unidos de Norteamérica,Mujeres,3
2021,Estados Unidos de Norteamérica,No especificado,0
2020,Estados Unidos de Norteamérica,No especificado,0
2019,Estados Unidos de Norteamérica,No especificado,0
2018,Estados Unidos de Norteamérica,No especificado,0
2017,Estados Unidos de Norteamérica,No especificado,0
2016,Estados Unidos de Norteamérica,No especificado,0
2015,Estados Unidos de Norteamérica,No especificado,0
2014,Estados Unidos de Norteamérica,No especificado,0
2013,Estados Unidos de Norteamérica,No especificado,0
2012,Estados Unidos de Norteamérica,No especificado,0
2011,Estados Unidos de Norteamérica,No especificado,0
2010,Estados Unidos de Norteamérica,No especificado,0
2009,Estados Unidos de Norteamérica,No especificado,0
2008,Estados Unidos de Norteamérica,No especificado,0
2007,Estados Unidos de Norteamérica,No especificado,0
2006,Estados Unidos de Norteamérica,No especificado,0
2005,Estados Unidos de Norteamérica,No especificado,0
2004,Estados Unidos de Norteamérica,No especificado,0
2003,Estados Unidos de Norteamérica,No especificado,0
2002,Estados Unidos de Norteamérica,No especificado,0
2001,Estados Unidos de Norteamérica,No especificado,0
2000,Estados Unidos de Norteamérica,No especificado,0
1999,Estados Unidos de Norteamérica,No especificado,0
1998,Estados Unidos de Norteamérica,No especificado,0
2021,Países latinoamericanos,Total,0
2020,Países latinoamericanos,Total,0
2019,Países latinoamericanos,Total,0
2018,Países latinoamericanos,Total,0
2017,Países latinoamericanos,Total,1
2016,Países latinoamericanos,Total,1
2015,Países latinoamericanos,Total,0
2014,Países latinoamericanos,Total,2
2013,Países latinoamericanos,Total,2
2012,Países latinoamericanos,Total,0
2011,Países latinoamericanos,Total,1
2010,Países latinoamericanos,Total,0
2009,Países latinoamericanos,Total,1
2008,Países latinoamericanos,Total,0
2007,Países latinoamericanos,Total,3
2006,Países latinoamericanos,Total,1
2005,Países latinoamericanos,Total,1
2004,Países latinoamericanos,Total,2
2003,Países latinoamericanos,Total,1
2002,Países latinoamericanos,Total,1
2001,Países latinoamericanos,Total,3
2000,Países latinoamericanos,Total,2
1999,Países latinoamericanos,Total,2
1998,Países latinoamericanos,Total,0
2021,Países latinoamericanos,Hombres,0
2020,Países latinoamericanos,Hombres,0
2019,Países latinoamericanos,Hombres,0
2018,Países latinoamericanos,Hombres,0
2017,Países latinoamericanos,Hombres,1
2016,Países latinoamericanos,Hombres,1
2015,Países latinoamericanos,Hombres,0
2014,Países latinoamericanos,Hombres,2
2013,Países latinoamericanos,Hombres,2
2012,Países latinoamericanos,Hombres,0
2011,Países latinoamericanos,Hombres,0
2010,Países latinoamericanos,Hombres,0
2009,Países latinoamericanos,Hombres,0
2008,Países latinoamericanos,Hombres,0
2007,Países latinoamericanos,Hombres,2
2006,Países latinoamericanos,Hombres,1
2005,Países latinoamericanos,Hombres,1
2004,Países latinoamericanos,Hombres,2
2003,Países latinoamericanos,Hombres,1
2002,Países latinoamericanos,Hombres,0
2001,Países latinoamericanos,Hombres,2
2000,Países latinoamericanos,Hombres,1
1999,Países latinoamericanos,Hombres,1
1998,Países latinoamericanos,Hombres,0
2021,Países latinoamericanos,Mujeres,0
2020,Países latinoamericanos,Mujeres,0
2019,Países latinoamericanos,Mujeres,0
2018,Países latinoamericanos,Mujeres,0
2017,Países latinoamericanos,Mujeres,0
2016,Países latinoamericanos,Mujeres,0
2015,Países latinoamericanos,Mujeres,0
2014,Países latinoamericanos,Mujeres,0
2013,Países latinoamericanos,Mujeres,0
2012,Países latinoamericanos,Mujeres,0
2011,Países latinoamericanos,Mujeres,1
2010,Países latinoamericanos,Mujeres,0
2009,Países latinoamericanos,Mujeres,1
2008,Países latinoamericanos,Mujeres,0
2007,Países latinoamericanos,Mujeres,1
2006,Países latinoamericanos,Mujeres,0
2005,Países latinoamericanos,Mujeres,0
2004,Países latinoamericanos,Mujeres,0
2003,Países latinoamericanos,Mujeres,0
2002,Países latinoamericanos,Mujeres,1
2001,Países latinoamericanos,Mujeres,1
2000,Países latinoamericanos,Mujeres,1
1999,Países latinoamericanos,Mujeres,1
1998,Países latinoamericanos,Mujeres,0
2021,Países latinoamericanos,No especificado,0
2020,Países latinoamericanos,No especificado,0
2019,Países latinoamericanos,No especificado,0
2018,Países latinoamericanos,No especificado,0
2017,Países latinoamericanos,No especificado,0
2016,Países latinoamericanos,No especificado,0
2015,Países latinoamericanos,No especificado,0
2014,Países latinoamericanos,No especificado,0
2013,Países latinoamericanos,No especificado,0
2012,Países latinoamericanos,No especificado,0
2011,Países latinoamericanos,No especificado,0
2010,Países latinoamericanos,No especificado,0
2009,Países latinoamericanos,No especificado,0
2008,Países latinoamericanos,No especificado,0
2007,Países latinoamericanos,No especificado,0
2006,Países latinoamericanos,No especificado,0
2005,Países latinoamericanos,No especificado,0
