Year,Entidad federativa,Sexo,GeoCode,Value
2021/2022,Estados Unidos Mexicanos,Total,0,81.17563159493399
2020/2021,Estados Unidos Mexicanos,Total,0,80.8164464281017
2019/2020,Estados Unidos Mexicanos,Total,0,79.93292082034533
2018/2019,Estados Unidos Mexicanos,Total,0,79.22658334355143
2017/2018,Estados Unidos Mexicanos,Total,0,77.98012202239742
2016/2017,Estados Unidos Mexicanos,Total,0,77.6103309399999
2015/2016,Estados Unidos Mexicanos,Total,0,77.25549329999998
2014/2015,Estados Unidos Mexicanos,Total,0,75.82833523000023
2013/2014,Estados Unidos Mexicanos,Total,0,74.13219796266641
2012/2013,Estados Unidos Mexicanos,Total,0,73.33044328350947
2021/2022,Estados Unidos Mexicanos,Hombres,0,61.20563380281691
2020/2021,Estados Unidos Mexicanos,Hombres,0,54.130124413624166
2019/2020,Estados Unidos Mexicanos,Hombres,0,51.81228538725673
2018/2019,Estados Unidos Mexicanos,Hombres,0,37.53438540610971
2017/2018,Estados Unidos Mexicanos,Hombres,0,46.12399519541728
2016/2017,Estados Unidos Mexicanos,Hombres,0,46.66841552999996
2015/2016,Estados Unidos Mexicanos,Hombres,0,44.62345792999992
2014/2015,Estados Unidos Mexicanos,Hombres,0,31.840466409999955
2013/2014,Estados Unidos Mexicanos,Hombres,0,35.70963011243285
2012/2013,Estados Unidos Mexicanos,Hombres,0,35.97116052814453
2021/2022,Estados Unidos Mexicanos,Mujeres,0,81.98755772190873
2020/2021,Estados Unidos Mexicanos,Mujeres,0,82.01530144768186
2019/2020,Estados Unidos Mexicanos,Mujeres,0,81.23769102423955
2018/2019,Estados Unidos Mexicanos,Mujeres,0,81.81279328229179
2017/2018,Estados Unidos Mexicanos,Mujeres,0,79.49676681476267
2016/2017,Estados Unidos Mexicanos,Mujeres,0,79.19569531999998
2015/2016,Estados Unidos Mexicanos,Mujeres,0,78.86721929000002
2014/2015,Estados Unidos Mexicanos,Mujeres,0,78.92378772
2013/2014,Estados Unidos Mexicanos,Mujeres,0,76.324843548042
2012/2013,Estados Unidos Mexicanos,Mujeres,0,75.33500193427223
2021/2022,Aguascalientes,Total,1,89.6811337466787
2020/2021,Aguascalientes,Total,1,89.1384051329058
2019/2020,Aguascalientes,Total,1,89.74020255394117
2018/2019,Aguascalientes,Total,1,88.86933567971823
2017/2018,Aguascalientes,Total,1,89.56866197183085
2016/2017,Aguascalientes,Total,1,89.15989160000014
2015/2016,Aguascalientes,Total,1,88.32391714000003
2014/2015,Aguascalientes,Total,1,87.61859582999998
2013/2014,Aguascalientes,Total,1,86.52380952380932
2012/2013,Aguascalientes,Total,1,87.451171875
2021/2022,Aguascalientes,Hombres,1,18.181818181818212
2020/2021,Aguascalientes,Hombres,1,30.434782608695635
2019/2020,Aguascalientes,Hombres,1,30.0
2018/2019,Aguascalientes,Hombres,1,4.123711340206183
2017/2018,Aguascalientes,Hombres,1,27.777777777777825
2016/2017,Aguascalientes,Hombres,1,67.74193548000017
2015/2016,Aguascalientes,Hombres,1,60.0
2014/2015,Aguascalientes,Hombres,1,34.146341459999924
2013/2014,Aguascalientes,Hombres,1,43.3333333333333
2012/2013,Aguascalientes,Hombres,1,63.63636363636375
2021/2022,Aguascalientes,Mujeres,1,90.7415730337077
2020/2021,Aguascalientes,Mujeres,1,89.76377952755882
2019/2020,Aguascalientes,Mujeres,1,90.00442282176051
2018/2019,Aguascalientes,Mujeres,1,92.6470588235296
2017/2018,Aguascalientes,Mujeres,1,90.06211180124227
2016/2017,Aguascalientes,Mujeres,1,89.46404031000016
2015/2016,Aguascalientes,Mujeres,1,88.66126726999993
2014/2015,Aguascalientes,Mujeres,1,88.67924528000002
2013/2014,Aguascalientes,Mujeres,1,87.14975845410649
2012/2013,Aguascalientes,Mujeres,1,87.57977417771212
2021/2022,Baja California,Total,2,94.02737453338874
2020/2021,Baja California,Total,2,93.62745098039213
2019/2020,Baja California,Total,2,93.48475791990444
2018/2019,Baja California,Total,2,92.18114960325146
2017/2018,Baja California,Total,2,92.05323938148348
2016/2017,Baja California,Total,2,91.04567307999982
2015/2016,Baja California,Total,2,91.50524616999986
2014/2015,Baja California,Total,2,92.26202661000012
2013/2014,Baja California,Total,2,89.92074781548463
2012/2013,Baja California,Total,2,90.58323207776444
2021/2022,Baja California,Hombres,2,85.45454545454577
2020/2021,Baja California,Hombres,2,89.28571428571429
2019/2020,Baja California,Hombres,2,82.0
2018/2019,Baja California,Hombres,2,66.66666666666679
2017/2018,Baja California,Hombres,2,82.92682926829256
2016/2017,Baja California,Hombres,2,88.88888889000008
2015/2016,Baja California,Hombres,2,86.95652174000006
2014/2015,Baja California,Hombres,2,33.54037267000004
2013/2014,Baja California,Hombres,2,73.33333333333327
2012/2013,Baja California,Hombres,2,58.33333333333323
2021/2022,Baja California,Mujeres,2,94.12628487518356
2020/2021,Baja California,Mujeres,2,93.6776859504134
2019/2020,Baja California,Mujeres,2,93.60032199637742
2018/2019,Baja California,Mujeres,2,92.48090855688298
2017/2018,Baja California,Mujeres,2,92.12707182320445
2016/2017,Baja California,Mujeres,2,91.07324001
2015/2016,Baja California,Mujeres,2,91.54786151000006
2014/2015,Baja California,Mujeres,2,94.2633361600001
2013/2014,Baja California,Mujeres,2,90.17746595129992
2012/2013,Baja California,Mujeres,2,90.89979550102242
2021/2022,Baja California Sur,Total,3,87.78210116731502
2020/2021,Baja California Sur,Total,3,88.14756671899524
2019/2020,Baja California Sur,Total,3,88.9644746787604
2018/2019,Baja California Sur,Total,3,88.32288401253932
2017/2018,Baja California Sur,Total,3,86.13707165109022
2016/2017,Baja California Sur,Total,3,84.16075650000003
2015/2016,Baja California Sur,Total,3,86.31402182999973
2014/2015,Baja California Sur,Total,3,81.55500414000012
2013/2014,Baja California Sur,Total,3,79.73199329983252
2012/2013,Baja California Sur,Total,3,79.33954276037257
2021/2022,Baja California Sur,Hombres,3,52.63157894736834
2020/2021,Baja California Sur,Hombres,3,58.33333333333323
2019/2020,Baja California Sur,Hombres,3,21.428571428571413
2018/2019,Baja California Sur,Hombres,3,38.09523809523813
2017/2018,Baja California Sur,Hombres,3,28.571428571428548
2016/2017,Baja California Sur,Hombres,3,36.36363635999996
2015/2016,Baja California Sur,Hombres,3,28.57142857000005
2014/2015,Baja California Sur,Hombres,3,2.7777777779999937
2013/2014,Baja California Sur,Hombres,3,12.5
2012/2013,Baja California Sur,Hombres,3,20.0
2021/2022,Baja California Sur,Mujeres,3,88.30963665086891
2020/2021,Baja California Sur,Mujeres,3,88.43106180665616
2019/2020,Baja California Sur,Mujeres,3,89.6867838044309
2018/2019,Baja California Sur,Mujeres,3,89.16334661354578
2017/2018,Baja California Sur,Mujeres,3,86.77165354330702
2016/2017,Baja California Sur,Mujeres,3,84.57869633999998
2015/2016,Baja California Sur,Mujeres,3,87.00084962000008
2014/2015,Baja California Sur,Mujeres,3,83.97271951999996
2013/2014,Baja California Sur,Mujeres,3,81.58347676419969
2012/2013,Baja California Sur,Mujeres,3,80.62283737024215
2021/2022,Campeche,Total,4,86.29385964912274
2020/2021,Campeche,Total,4,85.3579175704988
2019/2020,Campeche,Total,4,84.44913020558784
2018/2019,Campeche,Total,4,80.8771035186128
2017/2018,Campeche,Total,4,77.50124440019923
2016/2017,Campeche,Total,4,83.33333332999987
2015/2016,Campeche,Total,4,83.98891966999999
2014/2015,Campeche,Total,4,84.77645726999985
2013/2014,Campeche,Total,4,83.31402085747382
2012/2013,Campeche,Total,4,82.8621908127208
2021/2022,Campeche,Hombres,4,70.76923076923067
2020/2021,Campeche,Hombres,4,52.857142857143046
2019/2020,Campeche,Hombres,4,62.790697674418695
2018/2019,Campeche,Hombres,4,34.04255319148936
2017/2018,Campeche,Hombres,4,45.37037037037043
2016/2017,Campeche,Hombres,4,44.24778761000009
