Year,Nivel de escolaridad,Value
2018,Total,90.00769430340351
2016,Total,90.8548283079041
2014,Total,91.26487299828892
2012,Total,93.7538203346969
2010,Total,93.7842449587575
2008,Total,86.7143720732226
2018,Preescolar o menos,69.0635459871385
2016,Preescolar o menos,64.7537092338674
2014,Preescolar o menos,51.3025839472968
2012,Preescolar o menos,53.0035706630484
2010,Preescolar o menos,82.3968928694041
2008,Preescolar o menos,62.4967374022165
2018,Básica,81.1490941924759
2016,Básica,82.9150115775325
2014,Básica,84.8400923028342
2012,Básica,82.7928716222369
2010,Básica,83.5350929211022
2008,Básica,77.9685452606196
2018,Media superior,87.2327086975593
2016,Media superior,89.6401263653692
2014,Media superior,91.9537413540848
2012,Media superior,91.4264101774642
2010,Media superior,96.57793445829618
2008,Media superior,93.3413076198437
2018,Superior,96.66927324536728
2016,Superior,90.2186130670662
2014,Superior,90.1964895392604
2012,Superior,92.2713310019012
2010,Superior,91.98190705027498
2008,Superior,91.8592426465542
