Year,Brecha en el tiempo y por grupos de edad,Value
2019,12-19 años,-8.97243863657184
2014,12-19 años,-9.563105165861002
2009,12-19 años,-11.215388152053198
2019,20-29 años,-26.962343664193405
2014,20-29 años,-27.7497321731629
2009,20-29 años,-28.185693803223398
2019,30-39 años,-32.53760681212339
2014,30-39 años,-34.3070752663779
2009,30-39 años,-35.20003119093871
2019,40-49 años,-29.5993258617421
2014,40-49 años,-30.6277856481646
2009,40-49 años,-33.8279306415551
2019,50-59 años,-28.216636423524
2014,50-59 años,-30.328758590993296
2009,50-59 años,-30.5827697616283
2019,60 años y más,-19.9538121531363
2014,60 años y más,-20.4768324803624
2009,60 años y más,-20.9144094721749
