Year,Entidad federativa,Sexo,Grupo de edad,GeoCode,Value
2020,Estados Unidos Mexicanos,Total,Total,0,4.46709719561079
2019,Estados Unidos Mexicanos,Total,Total,0,3.50510717479942
2018,Estados Unidos Mexicanos,Total,Total,0,3.3007366980808697
2017,Estados Unidos Mexicanos,Total,Total,0,3.43795218996232
2016,Estados Unidos Mexicanos,Total,Total,0,3.88451523317012
2015,Estados Unidos Mexicanos,Total,Total,0,4.33567260419323
2014,Estados Unidos Mexicanos,Total,Total,0,4.83136733937465
2013,Estados Unidos Mexicanos,Total,Total,0,4.94288088595214
2012,Estados Unidos Mexicanos,Total,Total,0,4.923080107886059
2011,Estados Unidos Mexicanos,Total,Total,0,5.194542113622739
2010,Estados Unidos Mexicanos,Total,Total,0,5.328993378578821
2009,Estados Unidos Mexicanos,Total,Total,0,5.3792135808381
2008,Estados Unidos Mexicanos,Total,Total,0,3.90360847201751
2007,Estados Unidos Mexicanos,Total,Total,0,3.6451557751959
2006,Estados Unidos Mexicanos,Total,Total,0,3.56595537366267
2005,Estados Unidos Mexicanos,Total,Total,0,3.55789847544953
2004,Estados Unidos Mexicanos,Total,Total,0,3.92489635585553
2003,Estados Unidos Mexicanos,Total,Total,0,3.4149119925407505
2002,Estados Unidos Mexicanos,Total,Total,0,2.97660723807903
2001,Estados Unidos Mexicanos,Total,Total,0,2.75508996832278
2000,Estados Unidos Mexicanos,Total,Total,0,2.5746407822000204
1999,Estados Unidos Mexicanos,Total,Total,0,2.4883503543928
1998,Estados Unidos Mexicanos,Total,Total,0,3.57296951675954
1997,Estados Unidos Mexicanos,Total,Total,0,4.055083385374879
1996,Estados Unidos Mexicanos,Total,Total,0,5.24853487525309
1995,Estados Unidos Mexicanos,Total,Total,0,6.884815022810051
2020,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,8.13565367305109
2019,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,7.233372894668441
2018,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,6.90609689083479
2017,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,6.906224547586871
2016,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,7.72595392031032
2015,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,8.610101796093032
2014,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,9.47303944363166
2013,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,9.47833192721903
2012,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,9.43903522653992
2011,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,9.83895273214845
2010,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,9.7669641927421
2009,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,10.1002912656754
2008,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,7.70103739502526
2007,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,7.203941094867651
2006,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,7.0436585694222495
2005,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,6.924416334720839
2004,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,8.02739726539164
2003,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,6.98243415487034
2002,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,6.04157569174038
2001,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,5.46843627538937
2000,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,5.06230542973661
1999,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,4.0850480311248
1998,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,6.43624243439572
1997,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,7.3751987241596
1996,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,9.23822238462777
1995,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,11.3261238738371
2020,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,3.9201212653102897
2019,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,2.86033187351897
2018,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,2.66733478115048
2017,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,2.81708582124492
2016,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,3.1898923040472904
2015,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,3.52908780754418
2014,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,3.90667710113151
2013,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,3.9975110144573
2012,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,3.9326888241520304
2011,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,4.15676276944095
2010,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,4.32415550276738
2009,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,4.319919856780019
2008,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,2.9940633753221
2007,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,2.77038204229163
2006,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,2.70660350864144
2005,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,2.70901780727516
2004,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,2.83594000198168
2003,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,2.45586527645855
2002,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,2.13612078920496
2001,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,1.96186502801314
2000,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,1.7828233130782
1999,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,2.0047750508438296
1998,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,2.5640919383745806
1997,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,2.91591031603842
1996,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,3.81361797609646
1995,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,5.22541371760428
2020,Estados Unidos Mexicanos,Total,De 65 años y más,0,1.62469205347927
2019,Estados Unidos Mexicanos,Total,De 65 años y más,0,0.8888775274934099
2018,Estados Unidos Mexicanos,Total,De 65 años y más,0,0.88236184561034
2017,Estados Unidos Mexicanos,Total,De 65 años y más,0,0.96607926755919
2016,Estados Unidos Mexicanos,Total,De 65 años y más,0,0.9636284885477
2015,Estados Unidos Mexicanos,Total,De 65 años y más,0,1.16024446339425
2014,Estados Unidos Mexicanos,Total,De 65 años y más,0,1.36812969553183
2013,Estados Unidos Mexicanos,Total,De 65 años y más,0,1.58419553972945
2012,Estados Unidos Mexicanos,Total,De 65 años y más,0,1.51175074327511
2011,Estados Unidos Mexicanos,Total,De 65 años y más,0,1.58930725404792
2010,Estados Unidos Mexicanos,Total,De 65 años y más,0,1.5758704269433002
2009,Estados Unidos Mexicanos,Total,De 65 años y más,0,1.48592228460173
2008,Estados Unidos Mexicanos,Total,De 65 años y más,0,1.20695798157661
2007,Estados Unidos Mexicanos,Total,De 65 años y más,0,1.0827952305799202
2006,Estados Unidos Mexicanos,Total,De 65 años y más,0,1.09743042004522
2005,Estados Unidos Mexicanos,Total,De 65 años y más,0,1.08147286735925
2004,Estados Unidos Mexicanos,Total,De 65 años y más,0,0.94144327250166
2003,Estados Unidos Mexicanos,Total,De 65 años y más,0,0.70953215765907
2002,Estados Unidos Mexicanos,Total,De 65 años y más,0,0.66794829206924
2001,Estados Unidos Mexicanos,Total,De 65 años y más,0,0.58734508170912
2000,Estados Unidos Mexicanos,Total,De 65 años y más,0,0.66873553236017
1999,Estados Unidos Mexicanos,Total,De 65 años y más,0,0.65422081082931
1998,Estados Unidos Mexicanos,Total,De 65 años y más,0,1.50418568665377
1997,Estados Unidos Mexicanos,Total,De 65 años y más,0,1.35049006941932
1996,Estados Unidos Mexicanos,Total,De 65 años y más,0,1.10600302676019
1995,Estados Unidos Mexicanos,Total,De 65 años y más,0,1.7991871666513095
2020,Estados Unidos Mexicanos,Hombres,Total,0,4.687695952829899
2019,Estados Unidos Mexicanos,Hombres,Total,0,3.47942984025496
2018,Estados Unidos Mexicanos,Hombres,Total,0,3.21124574507771
2017,Estados Unidos Mexicanos,Hombres,Total,0,3.3236639615142702
2016,Estados Unidos Mexicanos,Hombres,Total,0,3.84833792028317
2015,Estados Unidos Mexicanos,Hombres,Total,0,4.25059826022983
2014,Estados Unidos Mexicanos,Hombres,Total,0,4.80532988855994
2013,Estados Unidos Mexicanos,Hombres,Total,0,4.914734133374119
2012,Estados Unidos Mexicanos,Hombres,Total,0,4.92555826566477
2011,Estados Unidos Mexicanos,Hombres,Total,0,5.21804637846648
2010,Estados Unidos Mexicanos,Hombres,Total,0,5.40015885848086
2009,Estados Unidos Mexicanos,Hombres,Total,0,5.37976842590452
2008,Estados Unidos Mexicanos,Hombres,Total,0,3.80493723814116
2007,Estados Unidos Mexicanos,Hombres,Total,0,3.42260165068619
2006,Estados Unidos Mexicanos,Hombres,Total,0,3.37745652865565
2005,Estados Unidos Mexicanos,Hombres,Total,0,3.35891248520288
2004,Estados Unidos Mexicanos,Hombres,Total,0,3.26917639933058
2003,Estados Unidos Mexicanos,Hombres,Total,0,2.94322705064382
2002,Estados Unidos Mexicanos,Hombres,Total,0,2.57987069897773
2001,Estados Unidos Mexicanos,Hombres,Total,0,2.35409633290395
2000,Estados Unidos Mexicanos,Hombres,Total,0,2.1247729744751704
1999,Estados Unidos Mexicanos,Hombres,Total,0,1.9496046770918305
1998,Estados Unidos Mexicanos,Hombres,Total,0,2.87404807884189
1997,Estados Unidos Mexicanos,Hombres,Total,0,2.96691445180102
1996,Estados Unidos Mexicanos,Hombres,Total,0,4.44471920647596
1995,Estados Unidos Mexicanos,Hombres,Total,0,6.03791264431174
2020,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,7.78906199329375
2019,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,6.764434627119059
2018,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,6.496990239104901
2017,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,6.311915356401001
2016,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,7.15352178166996
2015,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,7.82925525375003
2014,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,8.76630213469375
2013,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,8.728884757127348
2012,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,8.91568340859326
2011,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,9.30265354669396
2010,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,9.33353745131337
2009,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,9.43952979988915
2008,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,7.08392408876717
2007,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,6.58105862457309
2006,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,6.40742387278332
2005,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,6.17405473856148
2004,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,6.306596320435161
2003,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,5.558790260928739
2002,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,4.93844312666765
2001,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,4.38062791119955
2000,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,4.17335442039388
1999,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,2.9467549907768995
1998,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,5.15402937071424
1997,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,5.64063918402199
1996,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,7.588317392340691
1995,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,9.19553954958468
2020,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,4.231197714981611
2019,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,2.89668766572168
2018,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,2.6047583434774704
2017,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,2.7659049193897
2016,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,3.2294911783701896
2015,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,3.5544165635202
2014,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,3.99428341896377
2013,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,4.09832539337566
2012,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,4.01767388768517
2011,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,4.283496911414169
2010,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,4.5014503211993295
2009,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,4.46779695938316
2008,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,3.0230194109318
2007,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,2.64866892585329
2006,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,2.64352024722541
2005,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,2.6784397348112
2004,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,2.47588895339686
2003,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,2.26930617184768
2002,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,1.9671575757286297
2001,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,1.80044000749384
2000,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,1.49614067673087
1999,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,1.67346944386151
