Year,Discriminación total,Discriminación por sexo,Discriminación por edad,Discriminación por religión,Discriminación por estatus socioeconómico,Discriminación por lugar de residencia,Discriminación por otros motivos*,Value
2017,Total,,,,,,,20.176078091443
2017,Hombres,,,,,,,20.2361229419404
2017,Mujeres,,,,,,,20.1222426042926
2017,,Total,,,,,,3.642550046912101
2017,,Hombres,,,,,,1.09388415911717
2017,,Mujeres,,,,,,5.92765307433944
2017,,,Total,,,,,5.32157344677625
2017,,,Hombres,,,,,5.44056936576938
2017,,,Mujeres,,,,,5.21488314419684
2017,,,,Total,,,,5.79609152346831
2017,,,,Hombres,,,,5.01803113642881
2017,,,,Mujeres,,,,6.49369106150878
2017,,,,,Total,,,3.57802061656377
2017,,,,,Hombres,,,3.97745086261318
2017,,,,,Mujeres,,,3.2198962861584
2017,,,,,,Total,,3.9565170915498897
2017,,,,,,Hombres,,4.3886831991386
2017,,,,,,Mujeres,,3.56904218339046
2017,,,,,,,Total,12.2749403689022
2017,,,,,,,Hombres,13.1723899622507
2017,,,,,,,Mujeres,11.4702979116288
