Year,Entidad federativa,Ocupación carcelaria estatal,GeoCode,Value
2021,Estados Unidos Mexicanos,Total Estatal,0,106.686992
2020,Estados Unidos Mexicanos,Total Estatal,0,101.5120569
2019,Estados Unidos Mexicanos,Total Estatal,0,93.72060486
2018,Estados Unidos Mexicanos,Total Estatal,0,94.46968494
2017,Estados Unidos Mexicanos,Total Estatal,0,99.94947581
2016,Estados Unidos Mexicanos,Total Estatal,0,106.1197045
2015,Estados Unidos Mexicanos,Total Estatal,0,124.57609955
2021,Estados Unidos Mexicanos,Centros penitenciarios estatales,0,109.7920104
2020,Estados Unidos Mexicanos,Centros penitenciarios estatales,0,104.5966508
2019,Estados Unidos Mexicanos,Centros penitenciarios estatales,0,96.54717679
2018,Estados Unidos Mexicanos,Centros penitenciarios estatales,0,97.45744962
2017,Estados Unidos Mexicanos,Centros penitenciarios estatales,0,103.8326704
2016,Estados Unidos Mexicanos,Centros penitenciarios estatales,0,110.2417258
2015,Estados Unidos Mexicanos,Centros penitenciarios estatales,0,128.5817275
2021,Estados Unidos Mexicanos,Centros de internamiento para adolescentes estatales,0,20.83457972
2020,Estados Unidos Mexicanos,Centros de internamiento para adolescentes estatales,0,19.84251969
2019,Estados Unidos Mexicanos,Centros de internamiento para adolescentes estatales,0,20.01677383
2018,Estados Unidos Mexicanos,Centros de internamiento para adolescentes estatales,0,21.39390671
2017,Estados Unidos Mexicanos,Centros de internamiento para adolescentes estatales,0,19.3933604
2016,Estados Unidos Mexicanos,Centros de internamiento para adolescentes estatales,0,22.67662399
2015,Estados Unidos Mexicanos,Centros de internamiento para adolescentes estatales,0,45.08033306000001
2021,Aguascalientes,Total Estatal,1,105.3061224
2020,Aguascalientes,Total Estatal,1,89.18367346999999
2019,Aguascalientes,Total Estatal,1,78.70461237
2018,Aguascalientes,Total Estatal,1,64.0240843
2017,Aguascalientes,Total Estatal,1,58.45459107
2016,Aguascalientes,Total Estatal,1,64.0240843
2015,Aguascalientes,Total Estatal,1,105.1201011
2021,Aguascalientes,Centros penitenciarios estatales,1,109.12527
2020,Aguascalientes,Centros penitenciarios estatales,1,92.81857451
2019,Aguascalientes,Centros penitenciarios estatales,1,81.03626943
2018,Aguascalientes,Centros penitenciarios estatales,1,66.20689655
2017,Aguascalientes,Centros penitenciarios estatales,1,60.47745358
2016,Aguascalientes,Centros penitenciarios estatales,1,66.52519894
2015,Aguascalientes,Centros penitenciarios estatales,1,108.85135135
2021,Aguascalientes,Centros de internamiento para adolescentes estatales,1,39.81481481
2020,Aguascalientes,Centros de internamiento para adolescentes estatales,1,26.85185185
2019,Aguascalientes,Centros de internamiento para adolescentes estatales,1,37.03703704
2018,Aguascalientes,Centros de internamiento para adolescentes estatales,1,25.925925929999995
2017,Aguascalientes,Centros de internamiento para adolescentes estatales,1,23.14814815
2016,Aguascalientes,Centros de internamiento para adolescentes estatales,1,20.37037037
2015,Aguascalientes,Centros de internamiento para adolescentes estatales,1,50.98039216
2021,Baja California,Total Estatal,2,79.97660243
2020,Baja California,Total Estatal,2,76.05948854
2019,Baja California,Total Estatal,2,70.69960332
2018,Baja California,Total Estatal,2,69.06169743
2017,Baja California,Total Estatal,2,73.4924218
2016,Baja California,Total Estatal,2,83.45049984
2015,Baja California,Total Estatal,2,108.96618359999998
2021,Baja California,Centros penitenciarios estatales,2,81.58077336
2020,Baja California,Centros penitenciarios estatales,2,77.5954931
2019,Baja California,Centros penitenciarios estatales,2,72.91627762
2018,Baja California,Centros penitenciarios estatales,2,71.59041394
2017,Baja California,Centros penitenciarios estatales,2,76.34720442
2016,Baja California,Centros penitenciarios estatales,2,86.59202806
2015,Baja California,Centros penitenciarios estatales,2,112.6627538
2021,Baja California,Centros de internamiento para adolescentes estatales,2,14.43298969
2020,Baja California,Centros de internamiento para adolescentes estatales,2,12.11340206
2019,Baja California,Centros de internamiento para adolescentes estatales,2,8.551483421
2018,Baja California,Centros de internamiento para adolescentes estatales,2,9.144542773
2017,Baja California,Centros de internamiento para adolescentes estatales,2,11.0619469
2016,Baja California,Centros de internamiento para adolescentes estatales,2,14.749262539999998
2015,Baja California,Centros de internamiento para adolescentes estatales,2,30.91168091
2021,Baja California Sur,Total Estatal,3,62.96296296
2020,Baja California Sur,Total Estatal,3,61.5922539
2019,Baja California Sur,Total Estatal,3,60.31108881
2018,Baja California Sur,Total Estatal,3,60.16218956
2017,Baja California Sur,Total Estatal,3,98.91304348
2016,Baja California Sur,Total Estatal,3,87.16517857000001
2015,Baja California Sur,Total Estatal,3,101.74863388
2021,Baja California Sur,Centros penitenciarios estatales,3,66.01779755
2020,Baja California Sur,Centros penitenciarios estatales,3,64.64589235
2019,Baja California Sur,Centros penitenciarios estatales,3,63.67498672
2018,Baja California Sur,Centros penitenciarios estatales,3,63.23134729
2017,Baja California Sur,Centros penitenciarios estatales,3,107.4702886
2016,Baja California Sur,Centros penitenciarios estatales,3,92.0332937
2015,Baja California Sur,Centros penitenciarios estatales,3,106.4739884
2021,Baja California Sur,Centros de internamiento para adolescentes estatales,3,3.260869565
2020,Baja California Sur,Centros de internamiento para adolescentes estatales,3,4.255319149
2019,Baja California Sur,Centros de internamiento para adolescentes estatales,3,2.7272727270000003
2018,Baja California Sur,Centros de internamiento para adolescentes estatales,3,8.181818182
2017,Baja California Sur,Centros de internamiento para adolescentes estatales,3,7.272727273
2016,Baja California Sur,Centros de internamiento para adolescentes estatales,3,12.72727273
2015,Baja California Sur,Centros de internamiento para adolescentes estatales,3,20.0
2021,Campeche,Total Estatal,4,64.29341963
2020,Campeche,Total Estatal,4,66.42524573
2019,Campeche,Total Estatal,4,65.33885153
2018,Campeche,Total Estatal,4,64.80331263
2017,Campeche,Total Estatal,4,71.94616977
2016,Campeche,Total Estatal,4,72.75025278
2015,Campeche,Total Estatal,4,82.81092012
2021,Campeche,Centros penitenciarios estatales,4,66.4983165
2020,Campeche,Centros penitenciarios estatales,4,71.49270483
2019,Campeche,Centros penitenciarios estatales,4,70.14590348
2018,Campeche,Centros penitenciarios estatales,4,68.74298541
2017,Campeche,Centros penitenciarios estatales,4,76.71156004
2016,Campeche,Centros penitenciarios estatales,4,77.73522976
2015,Campeche,Centros penitenciarios estatales,4,88.45733042
2021,Campeche,Centros de internamiento para adolescentes estatales,4,9.722222222
2020,Campeche,Centros de internamiento para adolescentes estatales,4,6.622516556
2019,Campeche,Centros de internamiento para adolescentes estatales,4,8.609271523
2018,Campeche,Centros de internamiento para adolescentes estatales,4,18.0
2017,Campeche,Centros de internamiento para adolescentes estatales,4,15.33333333
2016,Campeche,Centros de internamiento para adolescentes estatales,4,12.0
2015,Campeche,Centros de internamiento para adolescentes estatales,4,14.0
2021,Coahuila de Zaragoza,Total Estatal,5,117.6286073
2020,Coahuila de Zaragoza,Total Estatal,5,96.86323713999998
2019,Coahuila de Zaragoza,Total Estatal,5,67.28356336
2018,Coahuila de Zaragoza,Total Estatal,5,60.8531995
2017,Coahuila de Zaragoza,Total Estatal,5,68.20433437
2016,Coahuila de Zaragoza,Total Estatal,5,69.07654921
2015,Coahuila de Zaragoza,Total Estatal,5,90.57928613
