Year,Entidad federativa,Sexo,Sexo_ Proporción plazas públicas,GeoCode,Value
2020,Federal,Total,Total,8001000,1.0
2019,Federal,Total,Total,8001000,1.0
2018,Federal,Total,Total,8001000,1.0
2017,Federal,Total,Total,8001000,1.0
2016,Federal,Total,Total,8001000,1.0
2015,Federal,Total,Total,8001000,1.0
2020,Federal,Total,Menores de 25 años,8001000,0.132394741665213
2019,Federal,Total,Menores de 25 años,8001000,0.107331911660276
2018,Federal,Total,Menores de 25 años,8001000,0.114501150837174
2017,Federal,Total,Menores de 25 años,8001000,0.087235821318534
2016,Federal,Total,Menores de 25 años,8001000,0.083327724249548
2015,Federal,Total,Menores de 25 años,8001000,
2020,Federal,Total,De 25 a 34 años,8001000,0.972779712773118
2019,Federal,Total,De 25 a 34 años,8001000,0.906941628450732
2018,Federal,Total,De 25 a 34 años,8001000,0.9662493652942729
2017,Federal,Total,De 25 a 34 años,8001000,0.910777035509205
2016,Federal,Total,De 25 a 34 años,8001000,0.9308365168596902
2015,Federal,Total,De 25 a 34 años,8001000,
2020,Federal,Total,De 35 a 44 años,8001000,1.48017601122841
2019,Federal,Total,De 35 a 44 años,8001000,1.4037032805502698
2018,Federal,Total,De 35 a 44 años,8001000,1.41454430544821
2017,Federal,Total,De 35 a 44 años,8001000,1.38378486165107
2016,Federal,Total,De 35 a 44 años,8001000,1.3614693032276597
2015,Federal,Total,De 35 a 44 años,8001000,
2020,Federal,Total,De 45 a 54 años,8001000,1.46128953525284
2019,Federal,Total,De 45 a 54 años,8001000,1.4373943415853998
2018,Federal,Total,De 45 a 54 años,8001000,1.51270848914541
2017,Federal,Total,De 45 a 54 años,8001000,1.5756356896389898
2016,Federal,Total,De 45 a 54 años,8001000,1.62322464909875
2015,Federal,Total,De 45 a 54 años,8001000,
2020,Federal,Total,De 55 a 59 años,8001000,1.17826802998563
2019,Federal,Total,De 55 a 59 años,8001000,1.1491515094011
2018,Federal,Total,De 55 a 59 años,8001000,1.2098401140508095
2017,Federal,Total,De 55 a 59 años,8001000,1.33235087249224
2016,Federal,Total,De 55 a 59 años,8001000,1.35551451683917
2015,Federal,Total,De 55 a 59 años,8001000,
2020,Federal,Total,De 60 años y más,8001000,0.723314563905827
2019,Federal,Total,De 60 años y más,8001000,0.668240638506568
2018,Federal,Total,De 60 años y más,8001000,0.680253401800864
2017,Federal,Total,De 60 años y más,8001000,0.7810367031019539
2016,Federal,Total,De 60 años y más,8001000,0.7097041912859321
2015,Federal,Total,De 60 años y más,8001000,
2020,Federal,Hombres,Total,8001000,0.948296507204418
2019,Federal,Hombres,Total,8001000,0.993272251154392
2018,Federal,Hombres,Total,8001000,0.972890288927811
2017,Federal,Hombres,Total,8001000,0.981372790139634
2016,Federal,Hombres,Total,8001000,0.969042287368584
2015,Federal,Hombres,Total,8001000,1.18220900642342
2020,Federal,Hombres,Menores de 25 años,8001000,0.120989472585839
2019,Federal,Hombres,Menores de 25 años,8001000,0.09410195991408
2018,Federal,Hombres,Menores de 25 años,8001000,0.102059812698876
2017,Federal,Hombres,Menores de 25 años,8001000,0.082174779256564
2016,Federal,Hombres,Menores de 25 años,8001000,0.081599314476076
2015,Federal,Hombres,Menores de 25 años,8001000,
2020,Federal,Hombres,De 25 a 34 años,8001000,0.8951619584703712
2019,Federal,Hombres,De 25 a 34 años,8001000,0.80860503582156
2018,Federal,Hombres,De 25 a 34 años,8001000,0.8929193230698849
2017,Federal,Hombres,De 25 a 34 años,8001000,0.8512568137498872
2016,Federal,Hombres,De 25 a 34 años,8001000,0.8795125279053819
2015,Federal,Hombres,De 25 a 34 años,8001000,
2020,Federal,Hombres,De 35 a 44 años,8001000,1.4670933738533898
2019,Federal,Hombres,De 35 a 44 años,8001000,1.3429781261437097
2018,Federal,Hombres,De 35 a 44 años,8001000,1.40253677047094
2017,Federal,Hombres,De 35 a 44 años,8001000,1.36900625446924
2016,Federal,Hombres,De 35 a 44 años,8001000,1.34611433105624
2015,Federal,Hombres,De 35 a 44 años,8001000,
2020,Federal,Hombres,De 45 a 54 años,8001000,1.42856771109993
2019,Federal,Hombres,De 45 a 54 años,8001000,1.35197295986615
2018,Federal,Hombres,De 45 a 54 años,8001000,1.46671190005342
2017,Federal,Hombres,De 45 a 54 años,8001000,1.50132216556442
2016,Federal,Hombres,De 45 a 54 años,8001000,1.53564099095729
2015,Federal,Hombres,De 45 a 54 años,8001000,
2020,Federal,Hombres,De 55 a 59 años,8001000,1.3651078247710695
2019,Federal,Hombres,De 55 a 59 años,8001000,1.28314270989458
2018,Federal,Hombres,De 55 a 59 años,8001000,1.3984846012184795
