Year,Entidad federativa,Sexo,GeoCode,Value
2021,Estados Unidos Mexicanos,Total,0,48.29857977
2020,Estados Unidos Mexicanos,Total,0,52.51654232
2019,Estados Unidos Mexicanos,Total,0,47.68121229
2018,Estados Unidos Mexicanos,Total,0,49.02041964
2017,Estados Unidos Mexicanos,Total,0,48.04367223
2016,Estados Unidos Mexicanos,Total,0,49.41256352
2015,Estados Unidos Mexicanos,Total,0,48.34560531
2014,Estados Unidos Mexicanos,Total,0,50.41294416
2013,Estados Unidos Mexicanos,Total,0,51.58423533
2012,Estados Unidos Mexicanos,Total,0,49.51654137
2011,Estados Unidos Mexicanos,Total,0,30.78189414
2010,Estados Unidos Mexicanos,Total,0,32.78240101
2021,Estados Unidos Mexicanos,Hombres,0,47.98022339
2020,Estados Unidos Mexicanos,Hombres,0,54.45152441
2019,Estados Unidos Mexicanos,Hombres,0,49.48253304
2018,Estados Unidos Mexicanos,Hombres,0,50.37927884
2017,Estados Unidos Mexicanos,Hombres,0,51.3670688
2016,Estados Unidos Mexicanos,Hombres,0,50.15367751
2015,Estados Unidos Mexicanos,Hombres,0,46.5773846
2014,Estados Unidos Mexicanos,Hombres,0,48.91831682
2013,Estados Unidos Mexicanos,Hombres,0,52.18978192
2012,Estados Unidos Mexicanos,Hombres,0,51.45992403
2011,Estados Unidos Mexicanos,Hombres,0,28.08232136
2010,Estados Unidos Mexicanos,Hombres,0,32.40060963
2021,Estados Unidos Mexicanos,Mujeres,0,48.60653635
2020,Estados Unidos Mexicanos,Mujeres,0,50.64963036
2019,Estados Unidos Mexicanos,Mujeres,0,45.84437066
2018,Estados Unidos Mexicanos,Mujeres,0,47.60726005
2017,Estados Unidos Mexicanos,Mujeres,0,44.39357488
2016,Estados Unidos Mexicanos,Mujeres,0,48.64488537
2015,Estados Unidos Mexicanos,Mujeres,0,50.1256912
2014,Estados Unidos Mexicanos,Mujeres,0,51.98704189
2013,Estados Unidos Mexicanos,Mujeres,0,50.98282508
2012,Estados Unidos Mexicanos,Mujeres,0,47.49654504
2011,Estados Unidos Mexicanos,Mujeres,0,33.47124983
2010,Estados Unidos Mexicanos,Mujeres,0,33.21224015
2021,Aguascalientes,Total,1,56.26501813
2020,Aguascalientes,Total,1,68.41259843
2019,Aguascalientes,Total,1,63.03861509
2018,Aguascalientes,Total,1,61.3876911
2017,Aguascalientes,Total,1,58.50356786
2016,Aguascalientes,Total,1,51.39744426
2015,Aguascalientes,Total,1,49.11740195
2014,Aguascalientes,Total,1,49.36217415
2013,Aguascalientes,Total,1,56.16714871
2012,Aguascalientes,Total,1,55.99375034
2011,Aguascalientes,Total,1,28.14690305
2010,Aguascalientes,Total,1,24.09688746
2021,Aguascalientes,Hombres,1,0.0
2020,Aguascalientes,Hombres,1,0.0
2019,Aguascalientes,Hombres,1,0.0
2018,Aguascalientes,Hombres,1,0.0
2017,Aguascalientes,Hombres,1,0.0
2016,Aguascalientes,Hombres,1,0.0
2015,Aguascalientes,Hombres,1,0.0
2014,Aguascalientes,Hombres,1,0.0
2013,Aguascalientes,Hombres,1,0.0
2012,Aguascalientes,Hombres,1,0.0
2011,Aguascalientes,Hombres,1,0.0
2010,Aguascalientes,Hombres,1,0.0
2021,Aguascalientes,Mujeres,1,0.0
2020,Aguascalientes,Mujeres,1,0.0
2019,Aguascalientes,Mujeres,1,0.0
2018,Aguascalientes,Mujeres,1,0.0
2017,Aguascalientes,Mujeres,1,0.0
2016,Aguascalientes,Mujeres,1,0.0
2015,Aguascalientes,Mujeres,1,0.0
2014,Aguascalientes,Mujeres,1,0.0
2013,Aguascalientes,Mujeres,1,0.0
2012,Aguascalientes,Mujeres,1,0.0
2011,Aguascalientes,Mujeres,1,0.0
2010,Aguascalientes,Mujeres,1,0.0
2021,Baja California,Total,2,65.95142141
2020,Baja California,Total,2,63.61498133
2019,Baja California,Total,2,57.65204075
2018,Baja California,Total,2,64.1304041
2017,Baja California,Total,2,64.49462558
2016,Baja California,Total,2,69.07906008
2015,Baja California,Total,2,66.78823436
2014,Baja California,Total,2,64.45958958
2013,Baja California,Total,2,66.23760019
2012,Baja California,Total,2,70.70411466
2011,Baja California,Total,2,33.01776463
2010,Baja California,Total,2,44.61609536
2021,Baja California,Hombres,2,0.0
2020,Baja California,Hombres,2,0.0
2019,Baja California,Hombres,2,0.0
2018,Baja California,Hombres,2,0.0
2017,Baja California,Hombres,2,0.0
2016,Baja California,Hombres,2,0.0
2015,Baja California,Hombres,2,0.0
2014,Baja California,Hombres,2,0.0
2013,Baja California,Hombres,2,0.0
2012,Baja California,Hombres,2,0.0
