Year,Entidad federativa,Sexo,GeoCode,Value
2021,Estados Unidos Mexicanos,Total,0,25.149601350902223
2019,Estados Unidos Mexicanos,Total,0,25.111836427875
2017,Estados Unidos Mexicanos,Total,0,23.70613801191754
2015,Estados Unidos Mexicanos,Total,0,20.66642007738124
2013,Estados Unidos Mexicanos,Total,0,21.837394395447557
2021,Estados Unidos Mexicanos,Hombres,0,25.93948539475093
2019,Estados Unidos Mexicanos,Hombres,0,24.87865387588803
2017,Estados Unidos Mexicanos,Hombres,0,24.94591557321113
2015,Estados Unidos Mexicanos,Hombres,0,20.639693629982947
2013,Estados Unidos Mexicanos,Hombres,0,22.50376384008619
2021,Estados Unidos Mexicanos,Mujeres,0,24.459356056368176
2019,Estados Unidos Mexicanos,Mujeres,0,25.31560503712914
2017,Estados Unidos Mexicanos,Mujeres,0,22.60583854056445
2015,Estados Unidos Mexicanos,Mujeres,0,20.67876856448702
2013,Estados Unidos Mexicanos,Mujeres,0,21.290833897933396
2021,Aguascalientes,Total,1,31.19587090297
2019,Aguascalientes,Total,1,39.4059913240304
2017,Aguascalientes,Total,1,41.132047940929
2015,Aguascalientes,Total,1,43.060424720648285
2013,Aguascalientes,Total,1,45.79096818014575
2021,Aguascalientes,Hombres,1,30.498501381842736
2019,Aguascalientes,Hombres,1,40.31359194753867
2017,Aguascalientes,Hombres,1,38.86530070959914
2015,Aguascalientes,Hombres,1,41.83384781950245
2013,Aguascalientes,Hombres,1,49.60757296962607
2021,Aguascalientes,Mujeres,1,31.766132005655106
2019,Aguascalientes,Mujeres,1,38.64247563111742
2017,Aguascalientes,Mujeres,1,43.08753211702142
2015,Aguascalientes,Mujeres,1,43.523153562077
2013,Aguascalientes,Mujeres,1,42.87980630119757
2021,Baja California,Total,2,19.98239911523523
2019,Baja California,Total,2,20.4132835266158
2017,Baja California,Total,2,17.1838831479381
2015,Baja California,Total,2,18.99578522589653
2013,Baja California,Total,2,25.590800328236558
2021,Baja California,Hombres,2,21.84886209360643
2019,Baja California,Hombres,2,18.478709512604823
2017,Baja California,Hombres,2,18.064761384903264
2015,Baja California,Hombres,2,26.005448454836717
2013,Baja California,Hombres,2,29.10353426033352
2021,Baja California,Mujeres,2,17.973595069052692
2019,Baja California,Mujeres,2,22.201460497865067
2017,Baja California,Mujeres,2,16.336845043198583
2015,Baja California,Mujeres,2,15.439421751171029
2013,Baja California,Mujeres,2,22.631703431410937
2021,Baja California Sur,Total,3,16.865963412756457
2019,Baja California Sur,Total,3,24.78161707037828
2017,Baja California Sur,Total,3,23.21350762527225
2015,Baja California Sur,Total,3,22.70233642326671
2013,Baja California Sur,Total,3,23.106067343780555
2021,Baja California Sur,Hombres,3,16.22451028192853
2019,Baja California Sur,Hombres,3,27.74644687848775
2017,Baja California Sur,Hombres,3,23.957390370729023
2015,Baja California Sur,Hombres,3,25.67368778390256
2013,Baja California Sur,Hombres,3,21.720498179914543
2021,Baja California Sur,Mujeres,3,17.47740030618938
2019,Baja California Sur,Mujeres,3,22.29269789153383
2017,Baja California Sur,Mujeres,3,22.55277772583625
2015,Baja California Sur,Mujeres,3,21.20317431836157
2013,Baja California Sur,Mujeres,3,24.421507663145224
2021,Campeche,Total,4,33.701440252550235
2019,Campeche,Total,4,25.617001222367893
2017,Campeche,Total,4,31.487870407671828
2015,Campeche,Total,4,19.717428722046105
2013,Campeche,Total,4,10.29679493891499
2021,Campeche,Hombres,4,31.94177494169801
2019,Campeche,Hombres,4,27.8837598207806
2017,Campeche,Hombres,4,31.067649887784565
2015,Campeche,Hombres,4,24.6596239655238
