Year,Entidad federativa,Municipio,GeoCode,Value
2021 P/,San Quintín,San Quintín,2006,
2020,San Quintín,San Quintín,2006,
2019,San Quintín,San Quintín,2006,
2018,San Quintín,San Quintín,2006,
2017,San Quintín,San Quintín,2006,
2016,San Quintín,San Quintín,2006,
2015,San Quintín,San Quintín,2006,
2021 P/,San Quintín,Seybaplaya,4012,
2020,San Quintín,Seybaplaya,4012,
2019,San Quintín,Seybaplaya,4012,
2018,San Quintín,Seybaplaya,4012,
2017,San Quintín,Seybaplaya,4012,
2016,San Quintín,Seybaplaya,4012,
2015,San Quintín,Seybaplaya,4012,
2021 P/,San Quintín,Dzitbalché,4013,
2020,San Quintín,Dzitbalché,4013,
2019,San Quintín,Dzitbalché,4013,
2018,San Quintín,Dzitbalché,4013,
2017,San Quintín,Dzitbalché,4013,
2016,San Quintín,Dzitbalché,4013,
2015,San Quintín,Dzitbalché,4013,
2021 P/,San Quintín,Capitán Luis Ángel Vidal,7120,
2020,San Quintín,Capitán Luis Ángel Vidal,7120,
2019,San Quintín,Capitán Luis Ángel Vidal,7120,
2018,San Quintín,Capitán Luis Ángel Vidal,7120,
2017,San Quintín,Capitán Luis Ángel Vidal,7120,
2016,San Quintín,Capitán Luis Ángel Vidal,7120,
2015,San Quintín,Capitán Luis Ángel Vidal,7120,
2021 P/,San Quintín,Rincón Chamula San Pedro,7121,
2020,San Quintín,Rincón Chamula San Pedro,7121,
2019,San Quintín,Rincón Chamula San Pedro,7121,
2018,San Quintín,Rincón Chamula San Pedro,7121,
2017,San Quintín,Rincón Chamula San Pedro,7121,
2016,San Quintín,Rincón Chamula San Pedro,7121,
2015,San Quintín,Rincón Chamula San Pedro,7121,
2021 P/,San Quintín,El Parral,7122,
2020,San Quintín,El Parral,7122,
2019,San Quintín,El Parral,7122,
2018,San Quintín,El Parral,7122,
2017,San Quintín,El Parral,7122,
2016,San Quintín,El Parral,7122,
2015,San Quintín,El Parral,7122,
2021 P/,San Quintín,Emiliano Zapata,7123,
2020,San Quintín,Emiliano Zapata,7123,
2019,San Quintín,Emiliano Zapata,7123,
2018,San Quintín,Emiliano Zapata,7123,
2017,San Quintín,Emiliano Zapata,7123,
2016,San Quintín,Emiliano Zapata,7123,
2015,San Quintín,Emiliano Zapata,7123,
2021 P/,San Quintín,Mezcalapa,7124,
2020,San Quintín,Mezcalapa,7124,
2019,San Quintín,Mezcalapa,7124,
2018,San Quintín,Mezcalapa,7124,
2017,San Quintín,Mezcalapa,7124,
2016,San Quintín,Mezcalapa,7124,
2015,San Quintín,Mezcalapa,7124,
2021 P/,San Quintín,Honduras de la Sierra,7125,
2020,San Quintín,Honduras de la Sierra,7125,
2019,San Quintín,Honduras de la Sierra,7125,
2018,San Quintín,Honduras de la Sierra,7125,
2017,San Quintín,Honduras de la Sierra,7125,
2016,San Quintín,Honduras de la Sierra,7125,
2015,San Quintín,Honduras de la Sierra,7125,
2021 P/,San Quintín,Coatetelco,17034,
2020,San Quintín,Coatetelco,17034,
2019,San Quintín,Coatetelco,17034,
2018,San Quintín,Coatetelco,17034,
2017,San Quintín,Coatetelco,17034,
2016,San Quintín,Coatetelco,17034,
2015,San Quintín,Coatetelco,17034,
2021 P/,San Quintín,Xoxocotla,17035,
2020,San Quintín,Xoxocotla,17035,
2019,San Quintín,Xoxocotla,17035,
2018,San Quintín,Xoxocotla,17035,
2017,San Quintín,Xoxocotla,17035,
2016,San Quintín,Xoxocotla,17035,
2015,San Quintín,Xoxocotla,17035,
2021 P/,San Quintín,Hueyapan,17036,
2020,San Quintín,Hueyapan,17036,
2019,San Quintín,Hueyapan,17036,
2018,San Quintín,Hueyapan,17036,
2017,San Quintín,Hueyapan,17036,
2016,San Quintín,Hueyapan,17036,
2015,San Quintín,Hueyapan,17036,
2021 P/,Estados Unidos Mexicanos,,0,76.3120266
2020,Estados Unidos Mexicanos,,0,73.24067632
2019,Estados Unidos Mexicanos,,0,71.0501755
2018,Estados Unidos Mexicanos,,0,66.27200378
2017,Estados Unidos Mexicanos,,0,64.38612052
2016,Estados Unidos Mexicanos,,0,59.87846286
2015,Estados Unidos Mexicanos,,0,57.81607649
2021 P/,Aguascalientes,,1,
2020,Aguascalientes,,1,
2019,Aguascalientes,,1,
2018,Aguascalientes,,1,77.68442486
2017,Aguascalientes,,1,75.68343829
2016,Aguascalientes,,1,73.38585781
2015,Aguascalientes,,1,70.47418609
2021 P/,Aguascalientes,Aguascalientes,10010001,81.11215003
2020,Aguascalientes,Aguascalientes,10010001,76.66958029
2019,Aguascalientes,Aguascalientes,10010001,
2018,Aguascalientes,Aguascalientes,10010001,70.88435068
2017,Aguascalientes,Aguascalientes,10010001,67.88108912
2016,Aguascalientes,Aguascalientes,10010001,64.59919986
2015,Aguascalientes,Aguascalientes,10010001,61.63409487
2021 P/,Baja California,,2,
2020,Baja California,,2,
2019,Baja California,,2,
2018,Baja California,,2,82.96699542
2017,Baja California,,2,80.91982515
2016,Baja California,,2,79.9695702
2015,Baja California,,2,
2021 P/,Baja California,Ensenada,20010001,
2020,Baja California,Ensenada,20010001,
2019,Baja California,Ensenada,20010001,
2018,Baja California,Ensenada,20010001,84.29502653
2017,Baja California,Ensenada,20010001,83.03346395
2016,Baja California,Ensenada,20010001,77.93179653
2015,Baja California,Ensenada,20010001,
2021 P/,Baja California,Mexicali,20020001,
2020,Baja California,Mexicali,20020001,
2019,Baja California,Mexicali,20020001,
2018,Baja California,Mexicali,20020001,82.39900012
2017,Baja California,Mexicali,20020001,82.07085432
2016,Baja California,Mexicali,20020001,79.79548931
2015,Baja California,Mexicali,20020001,78.56014141
2021 P/,Baja California,Tijuana,20040001,90.4635512
2020,Baja California,Tijuana,20040001,87.99999878
2019,Baja California,Tijuana,20040001,
2018,Baja California,Tijuana,20040001,84.97837358
2017,Baja California,Tijuana,20040001,83.64307574
2016,Baja California,Tijuana,20040001,80.23562499
2015,Baja California,Tijuana,20040001,77.74009932
2021 P/,Baja California Sur,,3,
2020,Baja California Sur,,3,
2019,Baja California Sur,,3,
2018,Baja California Sur,,3,82.13067275
2017,Baja California Sur,,3,80.87306923
2016,Baja California Sur,,3,78.60206238
2015,Baja California Sur,,3,75.76268109
2021 P/,Baja California Sur,La Paz,30030001,86.64009167
2020,Baja California Sur,La Paz,30030001,92.10302835
2019,Baja California Sur,La Paz,30030001,
2018,Baja California Sur,La Paz,30030001,83.57664287
2017,Baja California Sur,La Paz,30030001,84.48968546
2016,Baja California Sur,La Paz,30030001,75.93107494
2015,Baja California Sur,La Paz,30030001,78.08774335
2021 P/,Campeche,,4,
2020,Campeche,,4,
2019,Campeche,,4,
2018,Campeche,,4,79.15390553
2017,Campeche,,4,77.57679166
2016,Campeche,,4,75.07464423
2015,Campeche,,4,71.79306388
2021 P/,Campeche,Campeche,40020001,71.62022761
2020,Campeche,Campeche,40020001,70.57041819
2019,Campeche,Campeche,40020001,
2018,Campeche,Campeche,40020001,66.08540814
2017,Campeche,Campeche,40020001,64.92522362
2016,Campeche,Campeche,40020001,55.54483809
2015,Campeche,Campeche,40020001,57.69308465
2021 P/,Campeche,Ciudad del Carmen,40030001,
2020,Campeche,Ciudad del Carmen,40030001,
2019,Campeche,Ciudad del Carmen,40030001,
2018,Campeche,Ciudad del Carmen,40030001,
2017,Campeche,Ciudad del Carmen,40030001,
2016,Campeche,Ciudad del Carmen,40030001,
2015,Campeche,Ciudad del Carmen,40030001,
2021 P/,Coahuila de Zaragoza,,5,
2020,Coahuila de Zaragoza,,5,
2019,Coahuila de Zaragoza,,5,
2018,Coahuila de Zaragoza,,5,77.99116291
2017,Coahuila de Zaragoza,,5,77.92747958
2016,Coahuila de Zaragoza,,5,73.98353048
2015,Coahuila de Zaragoza,,5,70.18772679
2021 P/,Coahuila de Zaragoza,Saltillo,50300001,
2020,Coahuila de Zaragoza,Saltillo,50300001,
2019,Coahuila de Zaragoza,Saltillo,50300001,
2018,Coahuila de Zaragoza,Saltillo,50300001,74.41968663
2017,Coahuila de Zaragoza,Saltillo,50300001,71.37526695
2016,Coahuila de Zaragoza,Saltillo,50300001,68.99705181
2015,Coahuila de Zaragoza,Saltillo,50300001,
2021 P/,Coahuila de Zaragoza,Torreón,50350001,81.79575556
2020,Coahuila de Zaragoza,Torreón,50350001,75.69732762
2019,Coahuila de Zaragoza,Torreón,50350001,
2018,Coahuila de Zaragoza,Torreón,50350001,69.25672388
2017,Coahuila de Zaragoza,Torreón,50350001,69.01334164
2016,Coahuila de Zaragoza,Torreón,50350001,65.89028299
2015,Coahuila de Zaragoza,Torreón,50350001,61.03516567
2021 P/,Colima,,6,
2020,Colima,,6,
2019,Colima,,6,
2018,Colima,,6,81.1180088
2017,Colima,,6,79.19098425
2016,Colima,,6,76.18493505
2015,Colima,,6,75.70057972
2021 P/,Colima,Colima,60020001,80.43935538
2020,Colima,Colima,60020001,84.25538989
2019,Colima,Colima,60020001,
2018,Colima,Colima,60020001,75.31322178
2017,Colima,Colima,60020001,70.15538915
2016,Colima,Colima,60020001,65.73038427
2015,Colima,Colima,60020001,66.54585463
2021 P/,Chiapas,,7,
2020,Chiapas,,7,
2019,Chiapas,,7,
2018,Chiapas,,7,68.74952068
2017,Chiapas,,7,65.5695268
2016,Chiapas,,7,60.56301989
2015,Chiapas,,7,
2021 P/,Chiapas,Tapachula,70890001,
2020,Chiapas,Tapachula,70890001,
2019,Chiapas,Tapachula,70890001,
2018,Chiapas,Tapachula,70890001,73.41055626
2017,Chiapas,Tapachula,70890001,69.42008762
2016,Chiapas,Tapachula,70890001,65.2191233
2015,Chiapas,Tapachula,70890001,63.10120206
2021 P/,Chiapas,Tuxtla Gutiérrez,71010001,45.50083308
2020,Chiapas,Tuxtla Gutiérrez,71010001,45.85025556
2019,Chiapas,Tuxtla Gutiérrez,71010001,
2018,Chiapas,Tuxtla Gutiérrez,71010001,41.61793097
2017,Chiapas,Tuxtla Gutiérrez,71010001,37.17088275
2016,Chiapas,Tuxtla Gutiérrez,71010001,33.20983974
2015,Chiapas,Tuxtla Gutiérrez,71010001,33.79548937
2021 P/,Chihuahua,,8,
2020,Chihuahua,,8,
2019,Chihuahua,,8,
2018,Chihuahua,,8,81.47618633
2017,Chihuahua,,8,78.49075449
2016,Chihuahua,,8,76.20345779
2015,Chihuahua,,8,71.12552224
2021 P/,Chihuahua,Chihuahua,80190001,
2020,Chihuahua,Chihuahua,80190001,
2019,Chihuahua,Chihuahua,80190001,
2018,Chihuahua,Chihuahua,80190001,77.74183986
2017,Chihuahua,Chihuahua,80190001,79.59456446
2016,Chihuahua,Chihuahua,80190001,72.53176735
2015,Chihuahua,Chihuahua,80190001,
2021 P/,Chihuahua,Juárez,80370001,80.5776237
2020,Chihuahua,Juárez,80370001,81.37047705
2019,Chihuahua,Juárez,80370001,
2018,Chihuahua,Juárez,80370001,73.99322237
2017,Chihuahua,Juárez,80370001,72.74441568
2016,Chihuahua,Juárez,80370001,65.85622776
2015,Chihuahua,Juárez,80370001,62.39004505
2021 P/,Ciudad de México,,9,
2020,Ciudad de México,,9,
2019,Ciudad de México,,9,
2018,Ciudad de México,,9,76.88624704
2017,Ciudad de México,,9,74.9435272
2016,Ciudad de México,,9,72.0635094
2015,Ciudad de México,,9,69.79090832
2021 P/,Ciudad de México,Zona Metropolitana del Valle de México,90019013,92.49662618
2020,Ciudad de México,Zona Metropolitana del Valle de México,90019013,83.08316795
2019,Ciudad de México,Zona Metropolitana del Valle de México,90019013,
2018,Ciudad de México,Zona Metropolitana del Valle de México,90019013,75.3410231
2017,Ciudad de México,Zona Metropolitana del Valle de México,90019013,76.51832371
2016,Ciudad de México,Zona Metropolitana del Valle de México,90019013,71.81842014
2015,Ciudad de México,Zona Metropolitana del Valle de México,90019013,71.49760002
2021 P/,Durango,,10,
2020,Durango,,10,
2019,Durango,,10,
2018,Durango,,10,80.02240283
2017,Durango,,10,78.14005567
2016,Durango,,10,77.07984239
2015,Durango,,10,69.44183624
2021 P/,Durango,Durango,100050001,70.82601127
2020,Durango,Durango,100050001,76.56606119
2019,Durango,Durango,100050001,
2018,Durango,Durango,100050001,65.39040777
2017,Durango,Durango,100050001,60.58746766
2016,Durango,Durango,100050001,58.2667079
2015,Durango,Durango,100050001,52.72160819
2021 P/,Guanajuato,,11,
2020,Guanajuato,,11,
2019,Guanajuato,,11,
2018,Guanajuato,,11,69.99555212
2017,Guanajuato,,11,69.0324305
