Year,Entidad federativa,GeoCode,Value
2018,Estados Unidos Mexicanos,0,11.0622
2014,Estados Unidos Mexicanos,0,10.9062
2009,Estados Unidos Mexicanos,0,8.52571
2018,Aguascalientes,1,13.07792
2014,Aguascalientes,1,11.21502
2009,Aguascalientes,1,10.12766
2018,Baja California,2,9.4388
2014,Baja California,2,10.25565
2009,Baja California,2,6.84569
2018,Baja California Sur,3,11.26648
2014,Baja California Sur,3,11.67565
2009,Baja California Sur,3,8.79664
2018,Campeche,4,14.74823
2014,Campeche,4,12.91774
2009,Campeche,4,8.92933
2018,Coahuila de Zaragoza,5,10.40622
2014,Coahuila de Zaragoza,5,11.00294
2009,Coahuila de Zaragoza,5,6.74907
2018,Colima,6,11.86366
2014,Colima,6,11.16098
2009,Colima,6,5.89394
2018,Chiapas,7,16.30847
2014,Chiapas,7,16.29824
2009,Chiapas,7,17.63449
2018,Chihuahua,8,10.38907
2014,Chihuahua,8,9.83313
2009,Chihuahua,8,5.88401
2018,Ciudad de México,9,8.1369
2014,Ciudad de México,9,10.169
2009,Ciudad de México,9,5.40691
2018,Durango,10,10.87601
2014,Durango,10,11.04413
2009,Durango,10,6.767
2018,Guanajuato,11,11.12991
2014,Guanajuato,11,13.3756
2009,Guanajuato,11,8.85621
2018,Guerrero,12,13.43167
2014,Guerrero,12,13.06212
2009,Guerrero,12,13.06527
2018,Hidalgo,13,9.15435
2014,Hidalgo,13,11.32765
2009,Hidalgo,13,9.14295
2018,Jalisco,14,11.81239
2014,Jalisco,14,10.43606
2009,Jalisco,14,8.75491
2018,México,15,9.51164
2014,México,15,8.35617
2009,México,15,7.45502
2018,Michoacán de Ocampo,16,12.53618
2014,Michoacán de Ocampo,16,10.89073
2009,Michoacán de Ocampo,16,11.79535
2018,Morelos,17,9.92451
2014,Morelos,17,10.33766
2009,Morelos,17,8.21367
2018,Nayarit,18,11.3993
2014,Nayarit,18,11.20601
2009,Nayarit,18,4.99192
2018,Nuevo León,19,11.8744
2014,Nuevo León,19,9.44628
2009,Nuevo León,19,5.21743
2018,Oaxaca,20,13.07293
2014,Oaxaca,20,16.11167
2009,Oaxaca,20,13.0305
2018,Puebla,21,13.89973
2014,Puebla,21,10.79861
2009,Puebla,21,11.08713
2018,Querétaro,22,12.28456
2014,Querétaro,22,10.92249
2009,Querétaro,22,8.6316
2018,Quintana Roo,23,13.54804
2014,Quintana Roo,23,12.13409
2009,Quintana Roo,23,8.11013
2018,San Luis Potosí,24,9.70004
2014,San Luis Potosí,24,10.92544
2009,San Luis Potosí,24,8.99722
2018,Sinaloa,25,8.40736
2014,Sinaloa,25,8.87269
2009,Sinaloa,25,4.92921
2018,Sonora,26,7.84268
2014,Sonora,26,10.78798
2009,Sonora,26,5.36865
2018,Tabasco,27,11.67976
2014,Tabasco,27,12.3396
2009,Tabasco,27,11.34728
2018,Tamaulipas,28,12.311
2014,Tamaulipas,28,10.42135
2009,Tamaulipas,28,9.04728
2018,Tlaxcala,29,10.99162
2014,Tlaxcala,29,9.55571
2009,Tlaxcala,29,10.80754
2018,Veracruz de Ignacio de la Llave,30,10.28168
2014,Veracruz de Ignacio de la Llave,30,12.25428
2009,Veracruz de Ignacio de la Llave,30,9.35402
2018,Yucatán,31,11.83851
2014,Yucatán,31,10.15463
2009,Yucatán,31,7.63407
2018,Zacatecas,32,13.14856
2014,Zacatecas,32,10.61437
2009,Zacatecas,32,6.71763
