Year,Entidad federativa,Sexo (t-h-m-na),Intoxicaciones_grupo de edad,GeoCode,Value
2021,Estados Unidos Mexicanos,Total,Total,0,0.386904367994467
2020,Estados Unidos Mexicanos,Total,Total,0,0.594715083193676
2019,Estados Unidos Mexicanos,Total,Total,0,0.456636549010836
2018,Estados Unidos Mexicanos,Total,Total,0,0.384591456594422
2017,Estados Unidos Mexicanos,Total,Total,0,0.407121051866005
2016,Estados Unidos Mexicanos,Total,Total,0,0.4522668408586659
2015,Estados Unidos Mexicanos,Total,Total,0,0.524937411308652
2014,Estados Unidos Mexicanos,Total,Total,0,0.418555129184247
2013,Estados Unidos Mexicanos,Total,Total,0,0.50399341333794
2012,Estados Unidos Mexicanos,Total,Total,0,0.474619934191167
2011,Estados Unidos Mexicanos,Total,Total,0,0.582486644500045
2010,Estados Unidos Mexicanos,Total,Total,0,0.517808247623394
2009,Estados Unidos Mexicanos,Total,Total,0,0.52633744396335
2008,Estados Unidos Mexicanos,Total,Total,0,0.556131946162732
2007,Estados Unidos Mexicanos,Total,Total,0,0.665778685877018
2006,Estados Unidos Mexicanos,Total,Total,0,0.654190137759844
2005,Estados Unidos Mexicanos,Total,Total,0,0.704082940061845
2004,Estados Unidos Mexicanos,Total,Total,0,0.657891935476261
2003,Estados Unidos Mexicanos,Total,Total,0,0.6871384419902661
2002,Estados Unidos Mexicanos,Total,Total,0,0.618755867773723
2001,Estados Unidos Mexicanos,Total,Total,0,0.664300498218381
2000,Estados Unidos Mexicanos,Total,Total,0,0.710632227323354
1999,Estados Unidos Mexicanos,Total,Total,0,0.791936331929814
1998,Estados Unidos Mexicanos,Total,Total,0,0.815672905177192
2021,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.270214942942251
2020,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.425368338928314
2019,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.376425274625191
2018,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.364887429947315
2017,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.526213841510742
2016,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.352307946775483
2015,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.441166050489744
2014,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.583606895324447
2013,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.546429682203663
2012,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.312806802028597
2011,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.4638178794121679
2010,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.409654049826578
2009,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.7027819490011599
2008,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.426810188706122
2007,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.560179506410721
2006,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.57799135200447
2005,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.524426357562068
2004,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.515046872373428
2003,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.531797879225511
2002,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.468393885321092
2001,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.572220776508876
2000,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.578276770271667
1999,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.853965458317162
1998,Estados Unidos Mexicanos,Total,De 0 a 4 años,0,0.7624315988389899
2021,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.145441759801661
2020,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.117804031362695
2019,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.144625120389114
2018,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.117235239542256
2017,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.143948348453608
2016,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.125641951847722
2015,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.232689469638052
2014,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.169553190754568
2013,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.124652553267152
2012,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.151171284000867
2011,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.151129407844754
2010,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.142348703790497
2009,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.09802433730424
2008,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.142820404858357
2007,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.133995234057515
2006,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.205319342099696
2005,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.267148126957695
2004,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.159631301356937
2003,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.158913217227217
2002,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.228678540594663
2001,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.201770527607121
2000,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.1840566936686599
1999,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.236940664265785
1998,Estados Unidos Mexicanos,Total,De 5 a 9 años,0,0.2199763710181309
2021,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.144363537704282
2020,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.080988280185974
2019,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.116656659619109
2018,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.116386649341171
2017,Estados Unidos Mexicanos,Total,De 10 a 14 años,0,0.080458801115588
