Year,Entidad federativa,Densidad del personal sanitario,GeoCode,Value
2021,Estados Unidos Mexicanos,Número de personal sanitario,0,56.5733272672311
2020,Estados Unidos Mexicanos,Número de personal sanitario,0,55.2041145895144
2019,Estados Unidos Mexicanos,Número de personal sanitario,0,55.2485982699748
2018,Estados Unidos Mexicanos,Número de personal sanitario,0,55.2191147188201
2017,Estados Unidos Mexicanos,Número de personal sanitario,0,55.069692634328
2016,Estados Unidos Mexicanos,Número de personal sanitario,0,54.4724851243936
2015,Estados Unidos Mexicanos,Número de personal sanitario,0,53.4021218349241
2014,Estados Unidos Mexicanos,Número de personal sanitario,0,51.634278100918
2013,Estados Unidos Mexicanos,Número de personal sanitario,0,49.9967375501745
2012,Estados Unidos Mexicanos,Número de personal sanitario,0,48.8468574216918
2021,Estados Unidos Mexicanos,Número de médicos,0,26.2320386140794
2020,Estados Unidos Mexicanos,Número de médicos,0,25.1186523105158
2019,Estados Unidos Mexicanos,Número de médicos,0,25.6926791309537
2018,Estados Unidos Mexicanos,Número de médicos,0,25.5312873647655
2017,Estados Unidos Mexicanos,Número de médicos,0,25.2585156200376
2016,Estados Unidos Mexicanos,Número de médicos,0,24.640882811835
2015,Estados Unidos Mexicanos,Número de médicos,0,24.5712736448456
2014,Estados Unidos Mexicanos,Número de médicos,0,23.5413080686565
2013,Estados Unidos Mexicanos,Número de médicos,0,22.7582151369584
2012,Estados Unidos Mexicanos,Número de médicos,0,22.2601880161973
2021,Estados Unidos Mexicanos,Número de enfermeros y parteros,0,29.4098493399819
2020,Estados Unidos Mexicanos,Número de enfermeros y parteros,0,29.158019757155
2019,Estados Unidos Mexicanos,Número de enfermeros y parteros,0,28.4739749281728
2018,Estados Unidos Mexicanos,Número de enfermeros y parteros,0,28.7650472305039
2017,Estados Unidos Mexicanos,Número de enfermeros y parteros,0,28.7101765775907
2016,Estados Unidos Mexicanos,Número de enfermeros y parteros,0,28.7318197388236
2015,Estados Unidos Mexicanos,Número de enfermeros y parteros,0,27.7000489502076
2014,Estados Unidos Mexicanos,Número de enfermeros y parteros,0,26.9924702015637
2013,Estados Unidos Mexicanos,Número de enfermeros y parteros,0,26.1838507695258
2012,Estados Unidos Mexicanos,Número de enfermeros y parteros,0,25.5616613818521
2021,Estados Unidos Mexicanos,Número de dentistas,0,0.89143076529707
2020,Estados Unidos Mexicanos,Número de dentistas,0,0.88056958304979
2019,Estados Unidos Mexicanos,Número de dentistas,0,1.03801861893657
2018,Estados Unidos Mexicanos,Número de dentistas,0,0.8881509343055
2017,Estados Unidos Mexicanos,Número de dentistas,0,1.05657990212987
2016,Estados Unidos Mexicanos,Número de dentistas,0,1.03972479684968
2015,Estados Unidos Mexicanos,Número de dentistas,0,1.06577951969463
2014,Estados Unidos Mexicanos,Número de dentistas,0,1.04096828443532
2013,Estados Unidos Mexicanos,Número de dentistas,0,0.99777188479751
2012,Estados Unidos Mexicanos,Número de dentistas,0,0.9679681144342
2021,Estados Unidos Mexicanos,Número de personal farmacéutico,0,0.0400085478727746
2020,Estados Unidos Mexicanos,Número de personal farmacéutico,0,0.0468729387938173
2019,Estados Unidos Mexicanos,Número de personal farmacéutico,0,0.043925591911769
2018,Estados Unidos Mexicanos,Número de personal farmacéutico,0,0.0346291892452239
2017,Estados Unidos Mexicanos,Número de personal farmacéutico,0,0.0444205345699344
2016,Estados Unidos Mexicanos,Número de personal farmacéutico,0,0.0600577768851959
2015,Estados Unidos Mexicanos,Número de personal farmacéutico,0,0.0650197201762207
2014,Estados Unidos Mexicanos,Número de personal farmacéutico,0,0.0595315462624607
2013,Estados Unidos Mexicanos,Número de personal farmacéutico,0,0.0568997588927591
2012,Estados Unidos Mexicanos,Número de personal farmacéutico,0,0.0570399092082
2021,Aguascalientes,Número de personal sanitario,1,65.0038666567592
2020,Aguascalientes,Número de personal sanitario,1,62.0924486019092
2019,Aguascalientes,Número de personal sanitario,1,59.3392354642188
2018,Aguascalientes,Número de personal sanitario,1,57.0857877308543
2017,Aguascalientes,Número de personal sanitario,1,56.8767435538479
2016,Aguascalientes,Número de personal sanitario,1,53.1387029345815
2015,Aguascalientes,Número de personal sanitario,1,54.1062076474011
2014,Aguascalientes,Número de personal sanitario,1,53.0233905091119
2013,Aguascalientes,Número de personal sanitario,1,54.7174859685715
2012,Aguascalientes,Número de personal sanitario,1,53.0631625900707
2021,Aguascalientes,Número de médicos,1,29.103128276682
2020,Aguascalientes,Número de médicos,1,26.4666622520711
2019,Aguascalientes,Número de médicos,1,24.218942632616
2018,Aguascalientes,Número de médicos,1,23.3630464094272
2017,Aguascalientes,Número de médicos,1,24.2189532934724
2016,Aguascalientes,Número de médicos,1,22.4596239562436
2015,Aguascalientes,Número de médicos,1,22.4804309875547
2014,Aguascalientes,Número de médicos,1,22.0413660590543
2013,Aguascalientes,Número de médicos,1,23.2201170081098
2012,Aguascalientes,Número de médicos,1,21.5434201838265
2021,Aguascalientes,Número de enfermeros y parteros,1,35.2952832291675
2020,Aguascalientes,Número de enfermeros y parteros,1,35.1517981925716
2019,Aguascalientes,Número de enfermeros y parteros,1,34.4349843615433
2018,Aguascalientes,Número de enfermeros y parteros,1,33.1997415091339
2017,Aguascalientes,Número de enfermeros y parteros,1,31.4366665649064
2016,Aguascalientes,Número de enfermeros y parteros,1,29.756788244261
2015,Aguascalientes,Número de enfermeros y parteros,1,30.6872149118691
2014,Aguascalientes,Número de enfermeros y parteros,1,30.0473540784188
2013,Aguascalientes,Número de enfermeros y parteros,1,30.558550213503
2012,Aguascalientes,Número de enfermeros y parteros,1,30.5604806540886
2021,Aguascalientes,Número de dentistas,1,0.6054551509097
2020,Aguascalientes,Número de dentistas,1,0.47398815726648
2019,Aguascalientes,Número de dentistas,1,0.68530847005944
2018,Aguascalientes,Número de dentistas,1,0.52299981229322
