Year,Sexo,Value
2021/2022,Total,42.54589130730319
2020/2021,Total,41.95592034639897
2019/2020,Total,41.64272091405074
2018/2019,Total,39.7393365947743
2017/2018,Total,38.42598288900715
2016/2017,Total,37.296878450083184
2015/2016,Total,35.603711032467906
2021/2022,Hombres,39.32723175611266
2020/2021,Hombres,39.67249134672138
2019/2020,Hombres,40.17389003276975
2018/2019,Hombres,38.78246345013222
2017/2018,Hombres,37.799870666080494
2016/2017,Hombres,37.06276933553191
2015/2016,Hombres,35.628416856645934
2021/2022,Mujeres,45.83678403399908
2020/2021,Mujeres,44.28925675247677
2019/2020,Mujeres,43.143230050505466
2018/2019,Mujeres,40.71662665252491
2017/2018,Mujeres,39.0651755230756
2016/2017,Mujeres,37.53562596220216
2015/2016,Mujeres,35.57856075955348
