Year,Entidad federativa,Educación Básica,Educación Media,GeoCode,Value
2021/2022,Estados Unidos Mexicanos,Total,,0,91.0223800961862
2020/2021,Estados Unidos Mexicanos,Total,,0,89.5771113247283
2019/2020,Estados Unidos Mexicanos,Total,,0,85.94539939332661
2018/2019,Estados Unidos Mexicanos,Total,,0,86.66935336142153
2021/2022,Aguascalientes,Total,,1,99.3601462522852
2020/2021,Aguascalientes,Total,,1,99.0783410138249
2019/2020,Aguascalientes,Total,,1,94.8837209302326
2018/2019,Aguascalientes,Total,,1,94.22718808193667
2021/2022,Baja California,Total,,2,97.723292469352
2020/2021,Baja California,Total,,2,98.5983355234341
2019/2020,Baja California,Total,,2,98.0777632153779
2018/2019,Baja California,Total,,2,97.7222952255804
2021/2022,Baja California Sur,Total,,3,88.94080996884733
2020/2021,Baja California Sur,Total,,3,91.53605015673978
2019/2020,Baja California Sur,Total,,3,89.5734597156398
2018/2019,Baja California Sur,Total,,3,89.03020667726553
2021/2022,Campeche,Total,,4,89.71377459749553
2020/2021,Campeche,Total,,4,90.86799276672691
2019/2020,Campeche,Total,,4,85.7918552036199
2018/2019,Campeche,Total,,4,85.36585365853662
2021/2022,Coahuila de Zaragoza,Total,,5,94.39290036304963
2020/2021,Coahuila de Zaragoza,Total,,5,96.72727272727272
2019/2020,Coahuila de Zaragoza,Total,,5,96.35479951397332
2018/2019,Coahuila de Zaragoza,Total,,5,96.26471782379213
2021/2022,Colima,Total,,6,98.32317073170726
2020/2021,Colima,Total,,6,98.4756097560976
2019/2020,Colima,Total,,6,94.23368740515932
2018/2019,Colima,Total,,6,94.4024205748865
2021/2022,Chiapas,Total,,7,90.75934473708028
2020/2021,Chiapas,Total,,7,91.15540044085228
2019/2020,Chiapas,Total,,7,73.22409373855729
2018/2019,Chiapas,Total,,7,73.1607375675172
2021/2022,Chihuahua,Total,,8,84.2898704046548
2020/2021,Chihuahua,Total,,8,91.78157749586325
2019/2020,Chihuahua,Total,,8,87.0533260032985
2018/2019,Chihuahua,Total,,8,82.6086956521739
2021/2022,Ciudad de México,Total,,9,99.62599345488547
2020/2021,Ciudad de México,Total,,9,99.81494332639367
2019/2020,Ciudad de México,Total,,9,99.72527472527467
2018/2019,Ciudad de México,Total,,9,99.61407491486948
2021/2022,Durango,Total,,10,72.67258665138931
2020/2021,Durango,Total,,10,78.2279218886622
2019/2020,Durango,Total,,10,72.0943613348677
2018/2019,Durango,Total,,10,72.355838887279
2021/2022,Guanajuato,Total,,11,96.49094696362756
2020/2021,Guanajuato,Total,,11,97.459398617141
2019/2020,Guanajuato,Total,,11,92.29662777688988
2018/2019,Guanajuato,Total,,11,91.83477425552351
2021/2022,Guerrero,Total,,12,93.77437977843664
2020/2021,Guerrero,Total,,12,94.99060738885412
2019/2020,Guerrero,Total,,12,85.65824572414883
2018/2019,Guerrero,Total,,12,85.1332177203216
2021/2022,Hidalgo,Total,,13,94.35818937240316
2020/2021,Hidalgo,Total,,13,95.273851590106
2019/2020,Hidalgo,Total,,13,86.07847483928182
2018/2019,Hidalgo,Total,,13,85.78691423519011
2021/2022,Jalisco,Total,,14,94.52723535457352
2020/2021,Jalisco,Total,,14,94.72538727435672
2019/2020,Jalisco,Total,,14,89.82725527831091
2018/2019,Jalisco,Total,,14,89.65958535961097
2021/2022,México,Total,,15,95.0156819530389
2020/2021,México,Total,,15,97.15402259791011
2019/2020,México,Total,,15,95.20728696688523
2018/2019,México,Total,,15,94.56020495303164
2021/2022,Michoacán de Ocampo,Total,,16,87.08070894975829
2020/2021,Michoacán de Ocampo,Total,,16,87.01544739143107
2019/2020,Michoacán de Ocampo,Total,,16,87.06510755016599
2018/2019,Michoacán de Ocampo,Total,,16,64.5797598627787
2021/2022,Morelos,Total,,17,97.96610169491532
2020/2021,Morelos,Total,,17,97.17354437535327
2019/2020,Morelos,Total,,17,97.25336322869958
2018/2019,Morelos,Total,,17,96.21254946297336
2021/2022,Nayarit,Total,,18,85.45653362493167
2020/2021,Nayarit,Total,,18,86.56061437191441
2019/2020,Nayarit,Total,,18,80.72423398328691
2018/2019,Nayarit,Total,,18,79.9445983379501
2021/2022,Nuevo León,Total,,19,88.28184835333157
2020/2021,Nuevo León,Total,,19,2.51346499102334
2019/2020,Nuevo León,Total,,19,93.39815762538382
2018/2019,Nuevo León,Total,,19,93.49279835390954
2021/2022,Oaxaca,Total,,20,60.56545789797168
2020/2021,Oaxaca,Total,,20,55.10129362948499
2019/2020,Oaxaca,Total,,20,43.75762009266031
2018/2019,Oaxaca,Total,,20,82.3742309084329
2021/2022,Puebla,Total,,21,93.67159971811137
2020/2021,Puebla,Total,,21,94.59650112866822
2019/2020,Puebla,Total,,21,89.44980147475893
2018/2019,Puebla,Total,,21,89.4833948339483
2021/2022,Querétaro,Total,,22,94.131455399061
2020/2021,Querétaro,Total,,22,95.26768642447422
2019/2020,Querétaro,Total,,22,84.6340281143965
2018/2019,Querétaro,Total,,22,81.5623483745754
2021/2022,Quintana Roo,Total,,23,87.6251788268956
2020/2021,Quintana Roo,Total,,23,94.2773294203962
2019/2020,Quintana Roo,Total,,23,92.1225382932166
2018/2019,Quintana Roo,Total,,23,89.97071742313322
2021/2022,San Luis Potosí,Total,,24,93.18040917544953
2020/2021,San Luis Potosí,Total,,24,93.14499376817614
2019/2020,San Luis Potosí,Total,,24,84.1723637870313
2018/2019,San Luis Potosí,Total,,24,83.2443531827515
2021/2022,Sinaloa,Total,,25,92.98096050014212
2020/2021,Sinaloa,Total,,25,94.95702005730662
2019/2020,Sinaloa,Total,,25,85.72237960339938
2018/2019,Sinaloa,Total,,25,84.95877168040941
2021/2022,Sonora,Total,,26,94.51892744479504
2020/2021,Sonora,Total,,26,97.32914375490968
2019/2020,Sonora,Total,,26,95.74717128365202
2018/2019,Sonora,Total,,26,95.20440251572332
2021/2022,Tabasco,Total,,27,95.0017235436056
2020/2021,Tabasco,Total,,27,96.65747760165398
2019/2020,Tabasco,Total,,27,89.88569449255282
2018/2019,Tabasco,Total,,27,89.57395219951512
2021/2022,Tamaulipas,Total,,28,97.32994278448815
2020/2021,Tamaulipas,Total,,28,97.9611341191462
2019/2020,Tamaulipas,Total,,28,94.91850431447752
2018/2019,Tamaulipas,Total,,28,94.38451776649752
2021/2022,Tlaxcala,Total,,29,96.4406779661017
2020/2021,Tlaxcala,Total,,29,96.6609589041096
2019/2020,Tlaxcala,Total,,29,91.3793103448276
2018/2019,Tlaxcala,Total,,29,91.6379310344828
2021/2022,Veracruz de Ignacio de la Llave,Total,,30,95.6771439658518
2020/2021,Veracruz de Ignacio de la Llave,Total,,30,97.40824086288512
2019/2020,Veracruz de Ignacio de la Llave,Total,,30,90.56968385251596
2018/2019,Veracruz de Ignacio de la Llave,Total,,30,90.1812572310066
2021/2022,Yucatán,Total,,31,92.0596727622714
2020/2021,Yucatán,Total,,31,97.89936492427938
2019/2020,Yucatán,Total,,31,90.26763990267638
2018/2019,Yucatán,Total,,31,90.9046214355949
2021/2022,Zacatecas,Total,,32,96.41528576259722
2020/2021,Zacatecas,Total,,32,97.167902899528
2019/2020,Zacatecas,Total,,32,90.0778868946834
2018/2019,Zacatecas,Total,,32,89.84873949579831
2021/2022,Estados Unidos Mexicanos,Primaria,,0,90.9227479004747
2020/2021,Estados Unidos Mexicanos,Primaria,,0,89.42413191360409
2019/2020,Estados Unidos Mexicanos,Primaria,,0,85.81145833333333
2018/2019,Estados Unidos Mexicanos,Primaria,,0,86.3586438429975
2021/2022,Aguascalientes,Primaria,,1,99.163179916318
2020/2021,Aguascalientes,Primaria,,1,99.01823281907429
2019/2020,Aguascalientes,Primaria,,1,94.35028248587568
2018/2019,Aguascalientes,Primaria,,1,94.19263456090653
2021/2022,Baja California,Primaria,,2,97.83013019218852
2020/2021,Baja California,Primaria,,2,98.63945578231288
2019/2020,Baja California,Primaria,,2,98.2716049382716
2018/2019,Baja California,Primaria,,2,97.52933909820878
2021/2022,Baja California Sur,Primaria,,3,86.6071428571429
2020/2021,Baja California Sur,Primaria,,3,89.41441441441437
2019/2020,Baja California Sur,Primaria,,3,86.59090909090908
2018/2019,Baja California Sur,Primaria,,3,86.0411899313501
2021/2022,Campeche,Primaria,,4,89.7368421052632
2020/2021,Campeche,Primaria,,4,92.6958831341301
2019/2020,Campeche,Primaria,,4,89.50863213811417
2018/2019,Campeche,Primaria,,4,88.65435356200531
2021/2022,Coahuila de Zaragoza,Primaria,,5,93.2786885245902
2020/2021,Coahuila de Zaragoza,Primaria,,5,96.61016949152538
2019/2020,Coahuila de Zaragoza,Primaria,,5,96.38554216867468
2018/2019,Coahuila de Zaragoza,Primaria,,5,96.32876712328768
2021/2022,Colima,Primaria,,6,97.90794979079504
2020/2021,Colima,Primaria,,6,98.1210855949896
2019/2020,Colima,Primaria,,6,94.32773109243702
2018/2019,Colima,Primaria,,6,94.39834024896273
2021/2022,Chiapas,Primaria,,7,90.09148152548411
2020/2021,Chiapas,Primaria,,7,90.62199807877045
