Year,Entidad federativa,Educación Básica,Educación Media,GeoCode,Value
2021/2022,Estados Unidos Mexicanos,Total,,0,24.361560613369598
2020/2021,Estados Unidos Mexicanos,Total,,0,23.35096898229341
2019/2020,Estados Unidos Mexicanos,Total,,0,23.699095851467597
2018/2019,Estados Unidos Mexicanos,Total,,0,23.144898333028
2021/2022,Aguascalientes,Total,,1,54.0219378427788
2020/2021,Aguascalientes,Total,,1,51.0599078341014
2019/2020,Aguascalientes,Total,,1,47.16279069767439
2018/2019,Aguascalientes,Total,,1,45.53072625698319
2021/2022,Baja California,Total,,2,51.22591943957969
2020/2021,Baja California,Total,,2,52.65002190100742
2019/2020,Baja California,Total,,2,52.730449978156415
2018/2019,Baja California,Total,,2,50.02190100744632
2021/2022,Baja California Sur,Total,,3,54.20560747663549
2020/2021,Baja California Sur,Total,,3,55.01567398119119
2019/2020,Baja California Sur,Total,,3,53.23854660347548
2018/2019,Baja California Sur,Total,,3,54.6899841017488
2021/2022,Campeche,Total,,4,35.688729874776406
2020/2021,Campeche,Total,,4,34.44846292947561
2019/2020,Campeche,Total,,4,35.38461538461541
2018/2019,Campeche,Total,,4,33.514001806684696
2021/2022,Coahuila de Zaragoza,Total,,5,55.0221863654699
2020/2021,Coahuila de Zaragoza,Total,,5,57.373737373737406
2019/2020,Coahuila de Zaragoza,Total,,5,54.02997164844069
2018/2019,Coahuila de Zaragoza,Total,,5,52.86236297198539
2021/2022,Colima,Total,,6,61.737804878048806
2020/2021,Colima,Total,,6,60.9756097560976
2019/2020,Colima,Total,,6,61.15326251896808
2018/2019,Colima,Total,,6,60.66565809379731
2021/2022,Chiapas,Total,,7,5.27649561046249
2020/2021,Chiapas,Total,,7,5.45554739162381
2019/2020,Chiapas,Total,,7,4.9890150128158215
2018/2019,Chiapas,Total,,7,4.64704786738685
2021/2022,Chihuahua,Total,,8,25.072732081459893
2020/2021,Chihuahua,Total,,8,27.523441809156107
2019/2020,Chihuahua,Total,,8,25.316107751511804
2018/2019,Chihuahua,Total,,8,30.758844180394306
2021/2022,Ciudad de México,Total,,9,41.467975689574594
2020/2021,Ciudad de México,Total,,9,40.59680777238031
2019/2020,Ciudad de México,Total,,9,38.09523809523809
2018/2019,Ciudad de México,Total,,9,38.45629965947789
2021/2022,Durango,Total,,10,21.168719564594703
2020/2021,Durango,Total,,10,22.063538327018403
2019/2020,Durango,Total,,10,21.3176064441887
2018/2019,Durango,Total,,10,20.22602144306
2021/2022,Guanajuato,Total,,11,40.105752283287885
2020/2021,Guanajuato,Total,,11,39.5561987457791
