Year,Entidad federativa,Población con acceso al agua entubada y al saneamiento,GeoCode,Value
2020,Estados Unidos Mexicanos,Total,0,58.49836719
2018,Estados Unidos Mexicanos,Total,0,57.61100353
2016,Estados Unidos Mexicanos,Total,0,58.81560041
2020,Estados Unidos Mexicanos,Hombres,0,58.32249255
2018,Estados Unidos Mexicanos,Hombres,0,57.58465329
2016,Estados Unidos Mexicanos,Hombres,0,58.86384401
2020,Estados Unidos Mexicanos,Mujeres,0,58.66296766
2018,Estados Unidos Mexicanos,Mujeres,0,57.63587249
2016,Estados Unidos Mexicanos,Mujeres,0,58.7703633
2020,Estados Unidos Mexicanos,Hablantes de lengua indígena,0,37.11268723
2018,Estados Unidos Mexicanos,Hablantes de lengua indígena,0,38.35764017
2016,Estados Unidos Mexicanos,Hablantes de lengua indígena,0,36.09050083
2020,Estados Unidos Mexicanos,Población con alguna discapacidad,0,55.50729533
2018,Estados Unidos Mexicanos,Población con alguna discapacidad,0,55.99844685
2016,Estados Unidos Mexicanos,Población con alguna discapacidad,0,56.31031389
2020,Estados Unidos Mexicanos,Cambio de residencia,0,63.4732131
2018,Estados Unidos Mexicanos,Cambio de residencia,0,
2016,Estados Unidos Mexicanos,Cambio de residencia,0,66.79757671
2020,Aguascalientes,Total,1,81.34266855
2018,Aguascalientes,Total,1,85.04235616
2016,Aguascalientes,Total,1,86.90850717
2020,Aguascalientes,Hombres,1,81.98688
2018,Aguascalientes,Hombres,1,84.91976344
2016,Aguascalientes,Hombres,1,86.69090328
2020,Aguascalientes,Mujeres,1,80.75226438
2018,Aguascalientes,Mujeres,1,85.15761036
2016,Aguascalientes,Mujeres,1,87.11307644
2020,Aguascalientes,Hablantes de lengua indígena,1,98.58712716
2018,Aguascalientes,Hablantes de lengua indígena,1,
2016,Aguascalientes,Hablantes de lengua indígena,1,77.84184514
2020,Aguascalientes,Población con alguna discapacidad,1,80.02805912
2018,Aguascalientes,Población con alguna discapacidad,1,86.00450594
2016,Aguascalientes,Población con alguna discapacidad,1,84.68746268
2020,Aguascalientes,Cambio de residencia,1,
2018,Aguascalientes,Cambio de residencia,1,
2016,Aguascalientes,Cambio de residencia,1,
2020,Baja California,Total,2,84.00482789
2018,Baja California,Total,2,81.53880193
2016,Baja California,Total,2,83.3341057
2020,Baja California,Hombres,2,83.85913531
2018,Baja California,Hombres,2,81.22799317
2016,Baja California,Hombres,2,83.05446792
2020,Baja California,Mujeres,2,84.14911328
2018,Baja California,Mujeres,2,81.85089815
2016,Baja California,Mujeres,2,83.61246778
2020,Baja California,Hablantes de lengua indígena,2,55.97189081
2018,Baja California,Hablantes de lengua indígena,2,46.6522309
2016,Baja California,Hablantes de lengua indígena,2,49.70166617
2020,Baja California,Población con alguna discapacidad,2,84.72895359
2018,Baja California,Población con alguna discapacidad,2,84.73891126
2016,Baja California,Población con alguna discapacidad,2,80.58840722
2020,Baja California,Cambio de residencia,2,
2018,Baja California,Cambio de residencia,2,
2016,Baja California,Cambio de residencia,2,
2020,Baja California Sur,Total,3,18.77324821
2018,Baja California Sur,Total,3,21.08173513
2016,Baja California Sur,Total,3,25.97867774
2020,Baja California Sur,Hombres,3,19.12524665
2018,Baja California Sur,Hombres,3,21.34433842
2016,Baja California Sur,Hombres,3,25.34984933
2020,Baja California Sur,Mujeres,3,18.41737843
2018,Baja California Sur,Mujeres,3,20.80047887
2016,Baja California Sur,Mujeres,3,26.63560133
2020,Baja California Sur,Hablantes de lengua indígena,3,
2018,Baja California Sur,Hablantes de lengua indígena,3,
2016,Baja California Sur,Hablantes de lengua indígena,3,13.87453345
2020,Baja California Sur,Población con alguna discapacidad,3,19.99235166
2018,Baja California Sur,Población con alguna discapacidad,3,25.90153718
2016,Baja California Sur,Población con alguna discapacidad,3,26.9284119
2020,Baja California Sur,Cambio de residencia,3,
2018,Baja California Sur,Cambio de residencia,3,
2016,Baja California Sur,Cambio de residencia,3,
2020,Campeche,Total,4,67.4986171
2018,Campeche,Total,4,63.13014741
2016,Campeche,Total,4,68.93480081
2020,Campeche,Hombres,4,66.52250559
2018,Campeche,Hombres,4,62.20076734
2016,Campeche,Hombres,4,68.36495386
2020,Campeche,Mujeres,4,68.42662203
2018,Campeche,Mujeres,4,64.01437952
2016,Campeche,Mujeres,4,69.47664232
2020,Campeche,Hablantes de lengua indígena,4,55.85935575
2018,Campeche,Hablantes de lengua indígena,4,65.31195314
2016,Campeche,Hablantes de lengua indígena,4,61.11803124
2020,Campeche,Población con alguna discapacidad,4,67.15515609
2018,Campeche,Población con alguna discapacidad,4,62.00357572
2016,Campeche,Población con alguna discapacidad,4,66.77617948
2020,Campeche,Cambio de residencia,4,
2018,Campeche,Cambio de residencia,4,
2016,Campeche,Cambio de residencia,4,
2020,Coahuila de Zaragoza,Total,5,75.60910832
2018,Coahuila de Zaragoza,Total,5,73.313556
2016,Coahuila de Zaragoza,Total,5,70.20340449
2020,Coahuila de Zaragoza,Hombres,5,75.43624428
