Year,Value
2019,0.318613664760237
2018,0.319097697929215
2017,0.323934399980038
2016,0.343202371698913
2015,0.334401635943903
2014,0.340420840905139
2013,0.350338805713687
2012,0.348781447443565
2011,0.369228807180276
2010,0.37332348647835
2009,0.393525371196296
2008,0.380237715774783
2007,0.359081165403622
2006,0.349061832538259
2005,0.355623905597236
2004,0.358056351669081
2003,0.360250327779736
2002,0.365194068241619
2001,0.351550678178676
2000,0.352416437217944
1999,0.358086554538276
1998,0.373562632645627
1997,0.375281852045048
1996,0.378969771105714
1995,0.390580687246314
1994,0.37356506619921
1993,0.36891066493267
1992,0.379074774280071
1991,0.390865044125343
1990,0.398738794055705
