Year,Entidad federativa,GeoCode,Value
2020,Estados Unidos Mexicanos,0,10.9964055
2018,Estados Unidos Mexicanos,0,10.2597881
2016,Estados Unidos Mexicanos,0,9.2618072
2020,Aguascalientes,1,13.393508
2018,Aguascalientes,1,12.4084879
2016,Aguascalientes,1,13.1681121
2020,Baja California,2,12.3792372
2018,Baja California,2,13.7628092
2016,Baja California,2,12.0677566
2020,Baja California Sur,3,12.7882704
2018,Baja California Sur,3,13.3184216
2016,Baja California Sur,3,13.1738461
2020,Campeche,4,10.1159502
2018,Campeche,4,9.6637483
2016,Campeche,4,10.7440677
2020,Coahuila de Zaragoza,5,13.2540387
2018,Coahuila de Zaragoza,5,12.5497981
2016,Coahuila de Zaragoza,5,13.0960277
2020,Colima,6,13.852144
2018,Colima,6,12.6143986
2016,Colima,6,12.3697894
2020,Chiapas,7,12.0010708
2018,Chiapas,7,10.480399
2016,Chiapas,7,9.7844463
2020,Chihuahua,8,10.9494326
2018,Chihuahua,8,11.2631584
2016,Chihuahua,8,9.5702348
2020,Ciudad de México,9,12.4568791
2018,Ciudad de México,9,9.8681001
2016,Ciudad de México,9,10.7757928
2020,Durango,10,11.3854982
2018,Durango,10,12.5831839
2016,Durango,10,13.2148576
2020,Guanajuato,11,13.9236257
2018,Guanajuato,11,12.8751716
2016,Guanajuato,11,7.2650126
2020,Guerrero,12,11.9081035
2018,Guerrero,12,9.4211204
2016,Guerrero,12,10.8938662
2020,Hidalgo,13,13.8596311
2018,Hidalgo,13,11.4861486
2016,Hidalgo,13,12.0458551
2020,Jalisco,14,15.3173479
2018,Jalisco,14,12.1997971
2016,Jalisco,14,12.6493257
2020,México,15,11.9159939
2018,México,15,14.7594601
2016,México,15,13.3566066
2020,Michoacán de Ocampo,16,13.6808437
2018,Michoacán de Ocampo,16,12.9905113
2016,Michoacán de Ocampo,16,12.7288531
2020,Morelos,17,12.7201238
2018,Morelos,17,12.5140585
2016,Morelos,17,11.8582043
2020,Nayarit,18,13.0182877
2018,Nayarit,18,11.3393362
2016,Nayarit,18,9.9203836
2020,Nuevo León,19,10.2248862
2018,Nuevo León,19,11.9978224
2016,Nuevo León,19,6.6708457
2020,Oaxaca,20,10.7462035
2018,Oaxaca,20,8.6600539
2016,Oaxaca,20,9.0030411
2020,Puebla,21,11.8456838
2018,Puebla,21,13.6298972
2016,Puebla,21,12.7626646
2020,Querétaro,22,13.425055
2018,Querétaro,22,12.1818486
2016,Querétaro,22,10.8725933
2020,Quintana Roo,23,11.13552
2018,Quintana Roo,23,13.1034288
2016,Quintana Roo,23,12.7637686
2020,San Luis Potosí,24,10.3024343
2018,San Luis Potosí,24,9.9170895
2016,San Luis Potosí,24,10.7989713
2020,Sinaloa,25,14.2834385
2018,Sinaloa,25,12.1690382
2016,Sinaloa,25,13.1517885
2020,Sonora,26,11.0333558
2018,Sonora,26,11.5376509
2016,Sonora,26,9.8224955
2020,Tabasco,27,11.1271767
2018,Tabasco,27,10.9911582
2016,Tabasco,27,11.8595449
2020,Tamaulipas,28,12.2280375
2018,Tamaulipas,28,10.812126
2016,Tamaulipas,28,10.4107509
2020,Tlaxcala,29,13.9244631
2018,Tlaxcala,29,15.3421091
2016,Tlaxcala,29,15.07472
2020,Veracruz de Ignacio de la Llave,30,12.8968576
2018,Veracruz de Ignacio de la Llave,30,11.2817258
2016,Veracruz de Ignacio de la Llave,30,10.100939
2020,Yucatán,31,9.8468491
2018,Yucatán,31,10.7791415
2016,Yucatán,31,11.1939011
2020,Zacatecas,32,11.2581369
2018,Zacatecas,32,12.2956555
2016,Zacatecas,32,9.3260962
