Year,Entidad federativa,Sexo,Grupo de edad,GeoCode,Value
2021,Estados Unidos Mexicanos,Total,Total,0,27.68033254
2020,Estados Unidos Mexicanos,Total,Total,0,29.09553661
2019,Estados Unidos Mexicanos,Total,Total,0,28.963239659664804
2018,Estados Unidos Mexicanos,Total,Total,0,29.2712398032497
2017,Estados Unidos Mexicanos,Total,Total,0,25.861457866949603
2016,Estados Unidos Mexicanos,Total,Total,0,20.0130114317982
2015,Estados Unidos Mexicanos,Total,Total,0,17.1094984828732
2014,Estados Unidos Mexicanos,Total,Total,0,16.6838409063283
2013,Estados Unidos Mexicanos,Total,Total,0,19.4700169042092
2012,Estados Unidos Mexicanos,Total,Total,0,22.2062267227784
2011,Estados Unidos Mexicanos,Total,Total,0,23.588108715446
2010,Estados Unidos Mexicanos,Total,Total,0,22.6437810425055
2021,Estados Unidos Mexicanos,Total,De 0 a 14 años,0,1.349939108
2020,Estados Unidos Mexicanos,Total,De 0 a 14 años,0,1.428522782
2019,Estados Unidos Mexicanos,Total,De 0 a 14 años,0,1.3927983082425195
2018,Estados Unidos Mexicanos,Total,De 0 a 14 años,0,1.4057471942174
2017,Estados Unidos Mexicanos,Total,De 0 a 14 años,0,1.36541992124258
2016,Estados Unidos Mexicanos,Total,De 0 a 14 años,0,1.17643385659295
2015,Estados Unidos Mexicanos,Total,De 0 a 14 años,0,1.15619353006648
2014,Estados Unidos Mexicanos,Total,De 0 a 14 años,0,1.22301182052856
2013,Estados Unidos Mexicanos,Total,De 0 a 14 años,0,1.3914782534593997
2012,Estados Unidos Mexicanos,Total,De 0 a 14 años,0,1.53899951278907
2011,Estados Unidos Mexicanos,Total,De 0 a 14 años,0,1.47543260442501
2010,Estados Unidos Mexicanos,Total,De 0 a 14 años,0,1.31417019473297
2021,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,33.04591862
2020,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,34.8893957
2019,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,34.8804368786124
2018,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,34.7911101806329
2017,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,32.0286113147802
2016,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,23.8728789243209
2015,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,20.0908474744446
2014,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,19.1837852322691
2013,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,23.4171970206903
2012,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,28.9789765204796
2011,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,29.487153569514003
2010,Estados Unidos Mexicanos,Total,De 15 a 24 años,0,28.3747309832867
2021,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,37.63030423
2020,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,39.43944235
2019,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,41.3768897857332
2018,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,41.2708555687509
2017,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,36.7773372804487
2016,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,28.379685545951
2015,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,24.2112151842544
2014,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,23.2697894475508
2013,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,27.4707608574162
2012,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,30.4999854876127
2011,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,33.3841831931225
2010,Estados Unidos Mexicanos,Total,De 25 a 64 años,0,34.121784026195
2021,Estados Unidos Mexicanos,Total,De 65 años y más,0,9.797613664
2020,Estados Unidos Mexicanos,Total,De 65 años y más,0,10.09380685
2019,Estados Unidos Mexicanos,Total,De 65 años y más,0,10.7198353501285
2018,Estados Unidos Mexicanos,Total,De 65 años y más,0,11.011119138217
2017,Estados Unidos Mexicanos,Total,De 65 años y más,0,12.484293447706898
2016,Estados Unidos Mexicanos,Total,De 65 años y más,0,11.0149523850969
2015,Estados Unidos Mexicanos,Total,De 65 años y más,0,11.0748231622434
2014,Estados Unidos Mexicanos,Total,De 65 años y más,0,12.094966505375302
2013,Estados Unidos Mexicanos,Total,De 65 años y más,0,13.4820733971363
2012,Estados Unidos Mexicanos,Total,De 65 años y más,0,13.0522866529739
2011,Estados Unidos Mexicanos,Total,De 65 años y más,0,12.852496047927
2010,Estados Unidos Mexicanos,Total,De 65 años y más,0,12.1586418193467
2021,Estados Unidos Mexicanos,Hombres,Total,0,49.51436
2020,Estados Unidos Mexicanos,Hombres,Total,0,52.44790576
2019,Estados Unidos Mexicanos,Hombres,Total,0,52.4866777743299
2018,Estados Unidos Mexicanos,Hombres,Total,0,53.3902664386944
2017,Estados Unidos Mexicanos,Hombres,Total,0,46.9569517921579
2016,Estados Unidos Mexicanos,Hombres,Total,0,36.0674188642003
2015,Estados Unidos Mexicanos,Hombres,Total,0,30.7878451882863
2014,Estados Unidos Mexicanos,Hombres,Total,0,29.8067872045217
2013,Estados Unidos Mexicanos,Hombres,Total,0,34.9698498851944
2012,Estados Unidos Mexicanos,Hombres,Total,0,40.1523707882262
2011,Estados Unidos Mexicanos,Hombres,Total,0,42.9533777093414
2010,Estados Unidos Mexicanos,Hombres,Total,0,41.8256383708784
2021,Estados Unidos Mexicanos,Hombres,De 0 a 14 años,0,1.610410267
2020,Estados Unidos Mexicanos,Hombres,De 0 a 14 años,0,1.744098022
2019,Estados Unidos Mexicanos,Hombres,De 0 a 14 años,0,1.70959755005173
2018,Estados Unidos Mexicanos,Hombres,De 0 a 14 años,0,1.65020981619324
2017,Estados Unidos Mexicanos,Hombres,De 0 a 14 años,0,1.6099487995001
2016,Estados Unidos Mexicanos,Hombres,De 0 a 14 años,0,1.3473902815386698
2015,Estados Unidos Mexicanos,Hombres,De 0 a 14 años,0,1.39215757109035
2014,Estados Unidos Mexicanos,Hombres,De 0 a 14 años,0,1.43731516566964
2013,Estados Unidos Mexicanos,Hombres,De 0 a 14 años,0,1.68212591175474
2012,Estados Unidos Mexicanos,Hombres,De 0 a 14 años,0,1.98538196640663
2011,Estados Unidos Mexicanos,Hombres,De 0 a 14 años,0,1.88482722280543
2010,Estados Unidos Mexicanos,Hombres,De 0 a 14 años,0,1.52143630609309
2021,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,57.24855193
2020,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,61.28333691
2019,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,60.2194314888715
2018,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,60.69638206627119
2017,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,56.0319797202478
2016,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,41.3452280512887
2015,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,34.8689790876553
2014,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,32.9041695553854
2013,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,40.8464188340319
2012,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,51.0776426150502
2011,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,52.9020043568652
2010,Estados Unidos Mexicanos,Hombres,De 15 a 24 años,0,50.829338377723
2021,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,70.20706667
2020,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,74.15399103
2019,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,78.1827164683333
2018,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,78.2440030267329
2017,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,69.427417826618
2016,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,53.2953612312318
2015,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,45.4153553574153
2014,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,43.6964765281109
2013,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,51.6372987079578
2012,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,57.7664725845851
2011,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,63.4697367622234
2010,Estados Unidos Mexicanos,Hombres,De 25 a 64 años,0,65.6148692631592
2021,Estados Unidos Mexicanos,Hombres,De 65 años y más,0,17.83092
2020,Estados Unidos Mexicanos,Hombres,De 65 años y más,0,17.90552341
2019,Estados Unidos Mexicanos,Hombres,De 65 años y más,0,19.5106842766479
2018,Estados Unidos Mexicanos,Hombres,De 65 años y más,0,20.064430470044
2017,Estados Unidos Mexicanos,Hombres,De 65 años y más,0,22.505088874917096
2016,Estados Unidos Mexicanos,Hombres,De 65 años y más,0,19.3016909063735
2015,Estados Unidos Mexicanos,Hombres,De 65 años y más,0,19.9018855892035
