Year,Sexo,Value
2021,Total,13.630713759999988
2020,Total,12.937400051105284
2019,Total,13.392514436173784
2018,Total,12.183316208406282
2017,Total,13.816150364138124
2016,Total,12.761396793878989
2015,Total,11.48691992716082
2021,Hombres,13.881060209999989
2020,Hombres,12.957432753188115
2019,Hombres,13.736127336256756
2018,Hombres,12.73055628665958
2017,Hombres,15.03631870500318
2016,Hombres,13.028528457041316
2015,Hombres,10.910004124039771
2021,Mujeres,13.337037150000013
2020,Mujeres,12.914179215463491
2019,Mujeres,13.004486566406216
2018,Mujeres,11.574576919387091
2017,Mujeres,12.383791297223734
2016,Mujeres,12.433200677089811
2015,Mujeres,12.197708514059077
