Year,Entidad_federativa,Grupo,Clasificación,GeoCode,Value
2021,Estados Unidos Mexicanos,Sexo,Total,0,71.25527004
2021,Estados Unidos Mexicanos,Sexo,Hombres,0,71.39652943
2021,Estados Unidos Mexicanos,Sexo,Mujeres,0,71.14969735
2019,Estados Unidos Mexicanos,Sexo,Total,0,68.17105598
2019,Estados Unidos Mexicanos,Sexo,Hombres,0,68.28294711
2019,Estados Unidos Mexicanos,Sexo,Mujeres,0,68.0851845
2017,Estados Unidos Mexicanos,Sexo,Total,0,66.74826646
2017,Estados Unidos Mexicanos,Sexo,Hombres,0,66.40743621
2017,Estados Unidos Mexicanos,Sexo,Mujeres,0,67.00311652
2015,Estados Unidos Mexicanos,Sexo,Total,0,61.01191074
2015,Estados Unidos Mexicanos,Sexo,Hombres,0,60.33248111
2015,Estados Unidos Mexicanos,Sexo,Mujeres,0,61.18979111
2013,Estados Unidos Mexicanos,Sexo,Total,0,62.00299885
2013,Estados Unidos Mexicanos,Sexo,Hombres,0,62.61441471
2013,Estados Unidos Mexicanos,Sexo,Mujeres,0,61.55190411
2021,Aguascalientes,Sexo,Total,1,74.07643534
2021,Aguascalientes,Sexo,Hombres,1,71.28009015
2021,Aguascalientes,Sexo,Mujeres,1,76.06407908
2019,Aguascalientes,Sexo,Total,1,75.6367139
2019,Aguascalientes,Sexo,Hombres,1,74.5541855
2019,Aguascalientes,Sexo,Mujeres,1,76.49806512
2017,Aguascalientes,Sexo,Total,1,68.01632125
2017,Aguascalientes,Sexo,Hombres,1,68.26324082
2017,Aguascalientes,Sexo,Mujeres,1,67.84432907
2015,Aguascalientes,Sexo,Total,1,67.85773162
2015,Aguascalientes,Sexo,Hombres,1,73.45345895
2015,Aguascalientes,Sexo,Mujeres,1,66.71997917
2013,Aguascalientes,Sexo,Total,1,68.41669379
2013,Aguascalientes,Sexo,Hombres,1,70.69371526
2013,Aguascalientes,Sexo,Mujeres,1,66.72035086
2021,Baja California,Sexo,Total,2,56.26523265
2021,Baja California,Sexo,Hombres,2,55.21143617
2021,Baja California,Sexo,Mujeres,2,57.33790552
2019,Baja California,Sexo,Total,2,70.34005375
2019,Baja California,Sexo,Hombres,2,68.27026452
2019,Baja California,Sexo,Mujeres,2,71.89723091
2017,Baja California,Sexo,Total,2,76.88448683
2017,Baja California,Sexo,Hombres,2,75.39276864
2017,Baja California,Sexo,Mujeres,2,78.10842497
2015,Baja California,Sexo,Total,2,67.77768471
2015,Baja California,Sexo,Hombres,2,74.28596634
2015,Baja California,Sexo,Mujeres,2,66.55424174
2013,Baja California,Sexo,Total,2,73.25129371
2013,Baja California,Sexo,Hombres,2,70.37756378
2013,Baja California,Sexo,Mujeres,2,75.6364499
2021,Baja California_Sur,Sexo,Total,3,73.39198581
2021,Baja California_Sur,Sexo,Hombres,3,72.17626203
2021,Baja California_Sur,Sexo,Mujeres,3,74.33907668
2019,Baja California_Sur,Sexo,Total,3,84.22444572
2019,Baja California_Sur,Sexo,Hombres,3,84.84567185
2019,Baja California_Sur,Sexo,Mujeres,3,83.73001214
2017,Baja California_Sur,Sexo,Total,3,78.5684825
2017,Baja California_Sur,Sexo,Hombres,3,80.01580715
2017,Baja California_Sur,Sexo,Mujeres,3,77.59785864
2015,Baja California_Sur,Sexo,Total,3,72.42041391
2015,Baja California_Sur,Sexo,Hombres,3,75.61566638
2015,Baja California_Sur,Sexo,Mujeres,3,71.29726839
2013,Baja California_Sur,Sexo,Total,3,74.62453905
2013,Baja California_Sur,Sexo,Hombres,3,70.54220851
2013,Baja California_Sur,Sexo,Mujeres,3,78.05043468
2021,Campeche,Sexo,Total,4,72.29944093
2021,Campeche,Sexo,Hombres,4,68.87856814
2021,Campeche,Sexo,Mujeres,4,74.72575282
2019,Campeche,Sexo,Total,4,77.82798005
2019,Campeche,Sexo,Hombres,4,83.10480569
2019,Campeche,Sexo,Mujeres,4,74.0986239
2017,Campeche,Sexo,Total,4,79.46594394
2017,Campeche,Sexo,Hombres,4,77.17457704
2017,Campeche,Sexo,Mujeres,4,81.03564346
2015,Campeche,Sexo,Total,4,67.89305094
2015,Campeche,Sexo,Hombres,4,71.48889961
2015,Campeche,Sexo,Mujeres,4,66.68646001
2013,Campeche,Sexo,Total,4,66.22904781
2013,Campeche,Sexo,Hombres,4,71.01213801
2013,Campeche,Sexo,Mujeres,4,62.89195992
2021,Coahuila de Zaragoza,Sexo,Total,5,72.87798383
2021,Coahuila de Zaragoza,Sexo,Hombres,5,72.70768138
2021,Coahuila de Zaragoza,Sexo,Mujeres,5,73.02663822
2019,Coahuila de Zaragoza,Sexo,Total,5,73.84819254
2019,Coahuila de Zaragoza,Sexo,Hombres,5,75.04089422
2019,Coahuila de Zaragoza,Sexo,Mujeres,5,73.02115206
2017,Coahuila de Zaragoza,Sexo,Total,5,71.91689571
2017,Coahuila de Zaragoza,Sexo,Hombres,5,70.97243056
2017,Coahuila de Zaragoza,Sexo,Mujeres,5,72.69299381
2015,Coahuila de Zaragoza,Sexo,Total,5,70.61814897
2015,Coahuila de Zaragoza,Sexo,Hombres,5,58.32220813
2015,Coahuila de Zaragoza,Sexo,Mujeres,5,72.2344332
2013,Coahuila de Zaragoza,Sexo,Total,5,77.32886709
2013,Coahuila de Zaragoza,Sexo,Hombres,5,83.04115749
2013,Coahuila de Zaragoza,Sexo,Mujeres,5,73.73919171
2021,Colima,Sexo,Total,6,79.18822882
2021,Colima,Sexo,Hombres,6,79.36614657
2021,Colima,Sexo,Mujeres,6,79.05305432
2019,Colima,Sexo,Total,6,80.57000706
2019,Colima,Sexo,Hombres,6,77.90754398
2019,Colima,Sexo,Mujeres,6,82.47272578
2017,Colima,Sexo,Total,6,78.66859191
2017,Colima,Sexo,Hombres,6,79.47129982
2017,Colima,Sexo,Mujeres,6,78.10325515
2015,Colima,Sexo,Total,6,72.80643635
2015,Colima,Sexo,Hombres,6,72.92839123
2015,Colima,Sexo,Mujeres,6,72.7827594
