Year,Entidad federativa,Hijos sobrevivientes menores de 5,GeoCode,Value
2018,Estados Unidos Mexicanos,Total,0,94.120985263
2014,Estados Unidos Mexicanos,Total,0,92.954043007
2018,Estados Unidos Mexicanos,Menos de 1 año,0,78.877477273
2014,Estados Unidos Mexicanos,Menos de 1 año,0,77.736665303
2018,Estados Unidos Mexicanos,1 año,0,96.111423834
2014,Estados Unidos Mexicanos,1 año,0,94.381038873
2018,Estados Unidos Mexicanos,2 años,0,97.13784869299998
2014,Estados Unidos Mexicanos,2 años,0,96.290018056
2018,Estados Unidos Mexicanos,3 años,0,98.060921202
2014,Estados Unidos Mexicanos,3 años,0,97.263389007
2018,Estados Unidos Mexicanos,4 años,0,98.70147656
2014,Estados Unidos Mexicanos,4 años,0,97.851514364
2018,Aguascalientes,Total,1,96.234991131
2014,Aguascalientes,Total,1,95.584951347
2018,Aguascalientes,Menos de 1 año,1,85.458840969
2014,Aguascalientes,Menos de 1 año,1,83.698751352
2018,Aguascalientes,1 año,1,98.903132617
2014,Aguascalientes,1 año,1,98.076540162
2018,Aguascalientes,2 años,1,97.380920673
2014,Aguascalientes,2 años,1,98.335638543
2018,Aguascalientes,3 años,1,99.553885889
2014,Aguascalientes,3 años,1,98.812243033
2018,Aguascalientes,4 años,1,98.706862668
2014,Aguascalientes,4 años,1,97.761658953
2018,Baja California,Total,2,94.298176323
2014,Baja California,Total,2,90.555231994
2018,Baja California,Menos de 1 año,2,87.466372976
2014,Baja California,Menos de 1 año,2,75.190926707
2018,Baja California,1 año,2,95.187119979
2014,Baja California,1 año,2,92.611963428
2018,Baja California,2 años,2,96.157416001
2014,Baja California,2 años,2,93.331129659
2018,Baja California,3 años,2,94.915722127
2014,Baja California,3 años,2,94.458219688
2018,Baja California,4 años,2,97.338004068
2014,Baja California,4 años,2,96.075537989
2018,Baja California Sur,Total,3,97.04366566699998
2014,Baja California Sur,Total,3,93.009832291
2018,Baja California Sur,Menos de 1 año,3,90.864346775
2014,Baja California Sur,Menos de 1 año,3,79.026331904
2018,Baja California Sur,1 año,3,97.521246459
2014,Baja California Sur,1 año,3,93.993660856
2018,Baja California Sur,2 años,3,98.171063896
2014,Baja California Sur,2 años,3,96.23532998
2018,Baja California Sur,3 años,3,99.53596287700002
2014,Baja California Sur,3 años,3,98.378002088
2018,Baja California Sur,4 años,3,98.313234621
2014,Baja California Sur,4 años,3,96.969460891
2018,Campeche,Total,4,90.54293012
2014,Campeche,Total,4,92.870673766
