Year,Entidad federativa,Sexo,GeoCode,Value
2022,Estados Unidos Mexicanos,Total,0,55.941187649999904
2021,Estados Unidos Mexicanos,Total,0,57.66990506000001
2020,Estados Unidos Mexicanos,Total,0,56.013548746894166
2019,Estados Unidos Mexicanos,Total,0,54.78836105093861
2018,Estados Unidos Mexicanos,Total,0,53.10695553280244
2017,Estados Unidos Mexicanos,Total,0,53.36790226175071
2016,Estados Unidos Mexicanos,Total,0,49.925438531210354
2022,Estados Unidos Mexicanos,Hombres,0,54.97793034000005
2021,Estados Unidos Mexicanos,Hombres,0,57.61704767999988
2020,Estados Unidos Mexicanos,Hombres,0,55.87860180807483
2019,Estados Unidos Mexicanos,Hombres,0,53.6772457450179
2018,Estados Unidos Mexicanos,Hombres,0,51.34606551272305
2017,Estados Unidos Mexicanos,Hombres,0,53.16391040412328
2016,Estados Unidos Mexicanos,Hombres,0,50.0141817846946
2022,Estados Unidos Mexicanos,Mujeres,0,57.00031079000012
2021,Estados Unidos Mexicanos,Mujeres,0,57.72770514999983
2020,Estados Unidos Mexicanos,Mujeres,0,56.14498561337495
2019,Estados Unidos Mexicanos,Mujeres,0,56.00083061724855
2018,Estados Unidos Mexicanos,Mujeres,0,55.02730590749524
2017,Estados Unidos Mexicanos,Mujeres,0,53.59316315145014
2016,Estados Unidos Mexicanos,Mujeres,0,49.83047604995044
2022,Aguascalientes,Total,1,63.09150084999987
2021,Aguascalientes,Total,1,65.17155227999979
2020,Aguascalientes,Total,1,65.78233772237873
2019,Aguascalientes,Total,1,65.1776235448615
2018,Aguascalientes,Total,1,62.42956227619111
2017,Aguascalientes,Total,1,57.106680666668645
2016,Aguascalientes,Total,1,62.459452314677954
2022,Aguascalientes,Hombres,1,59.20219501999989
2021,Aguascalientes,Hombres,1,62.04316789000016
2020,Aguascalientes,Hombres,1,63.89100264521499
2019,Aguascalientes,Hombres,1,64.81123792800713
2018,Aguascalientes,Hombres,1,60.58263899774532
2017,Aguascalientes,Hombres,1,55.098742127473024
2016,Aguascalientes,Hombres,1,61.2301178135849
2022,Aguascalientes,Mujeres,1,67.13091921999985
2021,Aguascalientes,Mujeres,1,68.9001182700001
2020,Aguascalientes,Mujeres,1,67.60469947453858
2019,Aguascalientes,Mujeres,1,65.58130836299843
2018,Aguascalientes,Mujeres,1,64.85630089673306
2017,Aguascalientes,Mujeres,1,59.69491777662025
2016,Aguascalientes,Mujeres,1,63.73769285424265
2022,Baja California,Total,2,62.48485655999981
2021,Baja California,Total,2,64.7598146299999
2020,Baja California,Total,2,54.911288167088905
2019,Baja California,Total,2,60.090119999449584
2018,Baja California,Total,2,64.42291519220724
2017,Baja California,Total,2,60.30211821652507
2016,Baja California,Total,2,56.84198662962419
