Year,Entidad federativa,GeoCode,Value
2021,Estados Unidos Mexicanos,0,100.0
2020,Estados Unidos Mexicanos,0,100.0
2019,Estados Unidos Mexicanos,0,100.0
2018,Estados Unidos Mexicanos,0,100.0
2017,Estados Unidos Mexicanos,0,100.0
2016,Estados Unidos Mexicanos,0,100.0
2015,Estados Unidos Mexicanos,0,100.0
2014,Estados Unidos Mexicanos,0,100.0
2013,Estados Unidos Mexicanos,0,100.0
2012,Estados Unidos Mexicanos,0,100.0
2011,Estados Unidos Mexicanos,0,100.0
2010,Estados Unidos Mexicanos,0,100.0
2009,Estados Unidos Mexicanos,0,100.0
2008,Estados Unidos Mexicanos,0,100.0
2007,Estados Unidos Mexicanos,0,100.0
2006,Estados Unidos Mexicanos,0,100.0
2005,Estados Unidos Mexicanos,0,100.0
2004,Estados Unidos Mexicanos,0,100.0
2003,Estados Unidos Mexicanos,0,100.0
2002,Estados Unidos Mexicanos,0,100.0
2001,Estados Unidos Mexicanos,0,100.0
2000,Estados Unidos Mexicanos,0,100.0
1999,Estados Unidos Mexicanos,0,100.0
1998,Estados Unidos Mexicanos,0,100.0
1997,Estados Unidos Mexicanos,0,100.0
1996,Estados Unidos Mexicanos,0,100.0
1995,Estados Unidos Mexicanos,0,100.0
1994,Estados Unidos Mexicanos,0,100.0
1993,Estados Unidos Mexicanos,0,95.00412
1992,Estados Unidos Mexicanos,0,90.0
1991,Estados Unidos Mexicanos,0,79.00621
1990,Estados Unidos Mexicanos,0,76.00476
2021,Aguascalientes,1,
2020,Aguascalientes,1,
2019,Aguascalientes,1,
2018,Aguascalientes,1,
2017,Aguascalientes,1,
2016,Aguascalientes,1,
2015,Aguascalientes,1,
2014,Aguascalientes,1,
2013,Aguascalientes,1,
2012,Aguascalientes,1,
2011,Aguascalientes,1,
2010,Aguascalientes,1,
2009,Aguascalientes,1,
2008,Aguascalientes,1,
2007,Aguascalientes,1,
2006,Aguascalientes,1,
2005,Aguascalientes,1,
2004,Aguascalientes,1,
2003,Aguascalientes,1,
2002,Aguascalientes,1,
2001,Aguascalientes,1,
2000,Aguascalientes,1,
1999,Aguascalientes,1,
1998,Aguascalientes,1,
1997,Aguascalientes,1,
1996,Aguascalientes,1,100.0
1995,Aguascalientes,1,
1994,Aguascalientes,1,
1993,Aguascalientes,1,
1992,Aguascalientes,1,
1991,Aguascalientes,1,
1990,Aguascalientes,1,100.0
2021,Baja California,2,
2020,Baja California,2,
2019,Baja California,2,
2018,Baja California,2,
2017,Baja California,2,
2016,Baja California,2,
2015,Baja California,2,
2014,Baja California,2,
2013,Baja California,2,
2012,Baja California,2,
2011,Baja California,2,
2010,Baja California,2,
2009,Baja California,2,
2008,Baja California,2,
2007,Baja California,2,
2006,Baja California,2,
2005,Baja California,2,
2004,Baja California,2,
2003,Baja California,2,
2002,Baja California,2,
2001,Baja California,2,
2000,Baja California,2,
1999,Baja California,2,
1998,Baja California,2,
1997,Baja California,2,
1996,Baja California,2,
1995,Baja California,2,
1994,Baja California,2,
1993,Baja California,2,
1992,Baja California,2,
1991,Baja California,2,
1990,Baja California,2,100.0
2021,Baja California Sur,3,
2020,Baja California Sur,3,
2019,Baja California Sur,3,
2018,Baja California Sur,3,
2017,Baja California Sur,3,
2016,Baja California Sur,3,
2015,Baja California Sur,3,
2014,Baja California Sur,3,
2013,Baja California Sur,3,
2012,Baja California Sur,3,
2011,Baja California Sur,3,
2010,Baja California Sur,3,
2009,Baja California Sur,3,
2008,Baja California Sur,3,
2007,Baja California Sur,3,
2006,Baja California Sur,3,
2005,Baja California Sur,3,
2004,Baja California Sur,3,
2003,Baja California Sur,3,
2002,Baja California Sur,3,
2001,Baja California Sur,3,
2000,Baja California Sur,3,
1999,Baja California Sur,3,
1998,Baja California Sur,3,
1997,Baja California Sur,3,
1996,Baja California Sur,3,100.0
1995,Baja California Sur,3,100.0
1994,Baja California Sur,3,100.0
1993,Baja California Sur,3,100.0
1992,Baja California Sur,3,89.28571
1991,Baja California Sur,3,100.0
1990,Baja California Sur,3,100.0
2021,Campeche,4,100.0
2020,Campeche,4,100.0
2019,Campeche,4,100.0
2018,Campeche,4,100.0
2017,Campeche,4,100.0
2016,Campeche,4,100.0
2015,Campeche,4,100.0
2014,Campeche,4,100.0
2013,Campeche,4,
2012,Campeche,4,
2011,Campeche,4,
2010,Campeche,4,100.0
2009,Campeche,4,
2008,Campeche,4,
2007,Campeche,4,
2006,Campeche,4,
2005,Campeche,4,100.0
2004,Campeche,4,100.0
2003,Campeche,4,100.0
2002,Campeche,4,100.0
2001,Campeche,4,100.0
2000,Campeche,4,100.0
1999,Campeche,4,100.0
1998,Campeche,4,100.0
1997,Campeche,4,100.0
1996,Campeche,4,100.0
1995,Campeche,4,100.0
1994,Campeche,4,100.0
1993,Campeche,4,94.92754
1992,Campeche,4,90.97473
1991,Campeche,4,75.99502
1990,Campeche,4,73.98022
2021,Coahuila de Zaragoza,5,
2020,Coahuila de Zaragoza,5,
2019,Coahuila de Zaragoza,5,
2018,Coahuila de Zaragoza,5,
2017,Coahuila de Zaragoza,5,
2016,Coahuila de Zaragoza,5,
2015,Coahuila de Zaragoza,5,
2014,Coahuila de Zaragoza,5,
2013,Coahuila de Zaragoza,5,
2012,Coahuila de Zaragoza,5,
2011,Coahuila de Zaragoza,5,
2010,Coahuila de Zaragoza,5,
2009,Coahuila de Zaragoza,5,
2008,Coahuila de Zaragoza,5,
2007,Coahuila de Zaragoza,5,
2006,Coahuila de Zaragoza,5,
2005,Coahuila de Zaragoza,5,
2004,Coahuila de Zaragoza,5,
2003,Coahuila de Zaragoza,5,
2002,Coahuila de Zaragoza,5,
2001,Coahuila de Zaragoza,5,
2000,Coahuila de Zaragoza,5,
1999,Coahuila de Zaragoza,5,
1998,Coahuila de Zaragoza,5,
1997,Coahuila de Zaragoza,5,
1996,Coahuila de Zaragoza,5,
