Year,Entidad federativa,GeoCode,Value
2020,Estados Unidos Mexicanos,0,8.15620435806274
2019,Estados Unidos Mexicanos,0,8.06698235631427
2018,Estados Unidos Mexicanos,0,8.00460890571626
2017,Estados Unidos Mexicanos,0,8.57453367850857
2016,Estados Unidos Mexicanos,0,9.12927102367503
2015,Estados Unidos Mexicanos,0,8.85553755403889
2014,Estados Unidos Mexicanos,0,8.89221205727092
2013,Estados Unidos Mexicanos,0,10.0022009400803
2012,Estados Unidos Mexicanos,0,9.40773674961626
2011,Estados Unidos Mexicanos,0,9.78872273264733
2010,Estados Unidos Mexicanos,0,10.3939675919378
2009,Estados Unidos Mexicanos,0,10.3670634513527
2008,Estados Unidos Mexicanos,0,10.7132388586528
2007,Estados Unidos Mexicanos,0,11.4037589551946
2006,Estados Unidos Mexicanos,0,11.0344424948251
2005,Estados Unidos Mexicanos,0,11.9703563290891
2004,Estados Unidos Mexicanos,0,11.9456296622337
2003,Estados Unidos Mexicanos,0,13.1615682905689
2002,Estados Unidos Mexicanos,0,13.3121186775331
2001,Estados Unidos Mexicanos,0,13.4168721677761
2000,Estados Unidos Mexicanos,0,14.143808376299
1999,Estados Unidos Mexicanos,0,15.674594756331
1998,Estados Unidos Mexicanos,0,17.6815829381204
2020,Aguascalientes,1,12.7558577617303
2019,Aguascalientes,1,12.9290154660698
2018,Aguascalientes,1,13.6123238816043
2017,Aguascalientes,1,12.5746666259625
2016,Aguascalientes,1,11.2888385851027
2015,Aguascalientes,1,10.5118915773469
2014,Aguascalientes,1,10.0362146462847
2013,Aguascalientes,1,9.93583173864538
2012,Aguascalientes,1,9.03304816613135
2011,Aguascalientes,1,7.84682346690643
2010,Aguascalientes,1,11.3474230502874
2009,Aguascalientes,1,9.35240543867883
2008,Aguascalientes,1,11.1836652598945
2007,Aguascalientes,1,11.0495674757307
2006,Aguascalientes,1,11.5314172562254
2005,Aguascalientes,1,14.2620799817445
2004,Aguascalientes,1,12.8113221943911
2003,Aguascalientes,1,15.0475009091198
2002,Aguascalientes,1,14.7240476308118
2001,Aguascalientes,1,15.99967595593
2000,Aguascalientes,1,15.6637379280298
1999,Aguascalientes,1,14.1036245254608
1998,Aguascalientes,1,18.8368769757069
2020,Baja California,2,6.13502333509773
2019,Baja California,2,6.14772250633704
2018,Baja California,2,5.22542898216027
2017,Baja California,2,5.68891948648405
2016,Baja California,2,6.43486462543358
2015,Baja California,2,5.1224107256133
2014,Baja California,2,4.96058887300832
2013,Baja California,2,5.07172389413642
2012,Baja California,2,5.18661693243219
2011,Baja California,2,5.9268802950159
2010,Baja California,2,5.65388250541124
2009,Baja California,2,5.81390520012292
2008,Baja California,2,5.90552208730515
2007,Baja California,2,6.09810348981467
2006,Baja California,2,6.3953278728119
2005,Baja California,2,6.96760204401574
2004,Baja California,2,7.44742138405314
2003,Baja California,2,8.02470135595367
2002,Baja California,2,9.05052084043364
2001,Baja California,2,8.65192487790848
2000,Baja California,2,11.3888136986576
1999,Baja California,2,11.8273553495831
1998,Baja California,2,9.49810230483004
2020,Baja California Sur,3,7.45612072950685
2019,Baja California Sur,3,9.38944499498172
2018,Baja California Sur,3,6.87156907742054
2017,Baja California Sur,3,6.76150450104074
2016,Baja California Sur,3,7.05567880379107
2015,Baja California Sur,3,4.58431386713269
2014,Baja California Sur,3,6.54410227009217
2013,Baja California Sur,3,6.70765138877547
2012,Baja California Sur,3,8.22571358065312
2011,Baja California Sur,3,7.06150726337427
2010,Baja California Sur,3,6.44466625274095
2009,Baja California Sur,3,6.97913724879163
2008,Baja California Sur,3,8.65452657194203
2007,Baja California Sur,3,7.99129126835999
2006,Baja California Sur,3,10.0408887302181
2005,Baja California Sur,3,9.48252506095909
2004,Baja California Sur,3,10.8060730130333
2003,Baja California Sur,3,13.0439103572789
2002,Baja California Sur,3,7.71879569634258
2001,Baja California Sur,3,11.9975471681345
2000,Baja California Sur,3,16.5777149461915
1999,Baja California Sur,3,12.5953264209548
1998,Baja California Sur,3,12.221323275999
2020,Campeche,4,8.79457374799749
2019,Campeche,4,10.4669903642716
2018,Campeche,4,8.16690254197426
2017,Campeche,4,10.3108185737823
2016,Campeche,4,8.89187903616316
2015,Campeche,4,11.3434086070294
2014,Campeche,4,7.55061409810691
2013,Campeche,4,10.4082877122244
2012,Campeche,4,10.9565153206684
2011,Campeche,4,10.9419359696732
2010,Campeche,4,10.1925553575668
2009,Campeche,4,8.04093567251462
2008,Campeche,4,8.52861597867104
2007,Campeche,4,9.15306558735723
2006,Campeche,4,7.11930169820772
2005,Campeche,4,9.56095821473654
2004,Campeche,4,11.5845872332583
2003,Campeche,4,12.8767626745573
2002,Campeche,4,13.808283603005
2001,Campeche,4,11.2879400206249
2000,Campeche,4,11.215855528423
1999,Campeche,4,11.2667104816519
1998,Campeche,4,17.920910029687
2020,Coahuila de Zaragoza,5,8.108813441368
2019,Coahuila de Zaragoza,5,6.04601965649161
2018,Coahuila de Zaragoza,5,7.08808413236582
2017,Coahuila de Zaragoza,5,7.8371631801006
2016,Coahuila de Zaragoza,5,6.67091239021748
2015,Coahuila de Zaragoza,5,6.86539428026006
2014,Coahuila de Zaragoza,5,8.27662158441563
