Year,Entidad federativa,Sexo,GeoCode,Value
2021,Estados Unidos Mexicanos,Total,0,99.1346074280996
2020,Estados Unidos Mexicanos,Total,0,99.10600812371372
2019,Estados Unidos Mexicanos,Total,0,99.0820993426514
2018,Estados Unidos Mexicanos,Total,0,99.05839825476691
2017,Estados Unidos Mexicanos,Total,0,99.03444490922452
2016,Estados Unidos Mexicanos,Total,0,99.01022811822936
2015,Estados Unidos Mexicanos,Total,0,98.9857510221614
2014,Estados Unidos Mexicanos,Total,0,98.96102581061072
2013,Estados Unidos Mexicanos,Total,0,98.849819670852
2012,Estados Unidos Mexicanos,Total,0,98.737799651934
2011,Estados Unidos Mexicanos,Total,0,98.62601651705891
2010,Estados Unidos Mexicanos,Total,0,98.51448868392389
2009,Estados Unidos Mexicanos,Total,0,98.40270488592247
2008,Estados Unidos Mexicanos,Total,0,98.24800301070296
2007,Estados Unidos Mexicanos,Total,0,98.09399697501492
2006,Estados Unidos Mexicanos,Total,0,97.940578425567
2005,Estados Unidos Mexicanos,Total,0,97.78787656361358
2004,Estados Unidos Mexicanos,Total,0,97.63331847486371
2003,Estados Unidos Mexicanos,Total,0,97.42837669446683
2002,Estados Unidos Mexicanos,Total,0,97.22316938394349
2001,Estados Unidos Mexicanos,Total,0,97.01745452085376
2000,Estados Unidos Mexicanos,Total,0,96.81144236986204
1999,Estados Unidos Mexicanos,Total,0,96.60529788679182
1998,Estados Unidos Mexicanos,Total,0,96.47428615314308
1997,Estados Unidos Mexicanos,Total,0,96.34506720599909
1996,Estados Unidos Mexicanos,Total,0,96.2174807750054
1995,Estados Unidos Mexicanos,Total,0,96.09220759912142
1994,Estados Unidos Mexicanos,Total,0,95.96730481172196
1993,Estados Unidos Mexicanos,Total,0,95.844239200084
1992,Estados Unidos Mexicanos,Total,0,95.72299648746224
1991,Estados Unidos Mexicanos,Total,0,95.60236834881472
1990,Estados Unidos Mexicanos,Total,0,95.4820301576959
2021,Estados Unidos Mexicanos,Hombres,0,99.05089411055644
2020,Estados Unidos Mexicanos,Hombres,0,99.01941485548564
2019,Estados Unidos Mexicanos,Hombres,0,98.99301704937766
2018,Estados Unidos Mexicanos,Hombres,0,98.97444466058607
2017,Estados Unidos Mexicanos,Hombres,0,98.95563720712512
2016,Estados Unidos Mexicanos,Hombres,0,98.9366337410594
2015,Estados Unidos Mexicanos,Hombres,0,98.91741706601664
2014,Estados Unidos Mexicanos,Hombres,0,98.89800722240771
2013,Estados Unidos Mexicanos,Hombres,0,98.78597411388849
2012,Estados Unidos Mexicanos,Hombres,0,98.67440107469936
2011,Estados Unidos Mexicanos,Hombres,0,98.56303203205908
2010,Estados Unidos Mexicanos,Hombres,0,98.45191014049426
2009,Estados Unidos Mexicanos,Hombres,0,98.34047039146702
2008,Estados Unidos Mexicanos,Hombres,0,98.1981284530399
2007,Estados Unidos Mexicanos,Hombres,0,98.05656990535074
2006,Estados Unidos Mexicanos,Hombres,0,97.91578322216994
2005,Estados Unidos Mexicanos,Hombres,0,97.77582483495448
2004,Estados Unidos Mexicanos,Hombres,0,97.6316022648675
2003,Estados Unidos Mexicanos,Hombres,0,97.45407698383843
2002,Estados Unidos Mexicanos,Hombres,0,97.27578587512834
2001,Estados Unidos Mexicanos,Hombres,0,97.09654726541642
2000,Estados Unidos Mexicanos,Hombres,0,96.91644860479512
1999,Estados Unidos Mexicanos,Hombres,0,96.7356272487432
1998,Estados Unidos Mexicanos,Hombres,0,96.64639654215416
1997,Estados Unidos Mexicanos,Hombres,0,96.5582552402072
1996,Estados Unidos Mexicanos,Hombres,0,96.470686048815
1995,Estados Unidos Mexicanos,Hombres,0,96.38454486433864
1994,Estados Unidos Mexicanos,Hombres,0,96.3010320479169
1993,Estados Unidos Mexicanos,Hombres,0,96.2185108059736
1992,Estados Unidos Mexicanos,Hombres,0,96.13684256327548
1991,Estados Unidos Mexicanos,Hombres,0,96.05539911115868
1990,Estados Unidos Mexicanos,Hombres,0,95.9737865671724
2021,Estados Unidos Mexicanos,Mujeres,0,99.21853936304991
2020,Estados Unidos Mexicanos,Mujeres,0,99.19282558120857
2019,Estados Unidos Mexicanos,Mujeres,0,99.17141020302128
2018,Estados Unidos Mexicanos,Mujeres,0,99.14229491587626
2017,Estados Unidos Mexicanos,Mujeres,0,99.11294616726444
2016,Estados Unidos Mexicanos,Mujeres,0,99.08330270126376
2015,Estados Unidos Mexicanos,Mujeres,0,99.05338768854322
2014,Estados Unidos Mexicanos,Mujeres,0,99.02320569859512
2013,Estados Unidos Mexicanos,Mujeres,0,98.914488609725
