Year,Entidad federativa,Educación Básica,Educación Media,GeoCode,Value
2021/2022,Estados Unidos Mexicanos,Total,,0,15.157362335365203
2020/2021,Estados Unidos Mexicanos,Total,,0,12.1950145659209
2019/2020,Estados Unidos Mexicanos,Total,,0,12.1224776893656
2018/2019,Estados Unidos Mexicanos,Total,,0,12.079135372778897
2021/2022,Aguascalientes,Total,,1,25.594149908592293
2020/2021,Aguascalientes,Total,,1,20.6451612903226
2019/2020,Aguascalientes,Total,,1,18.4186046511628
2018/2019,Aguascalientes,Total,,1,20.391061452514
2021/2022,Baja California,Total,,2,24.2556917688266
2020/2021,Baja California,Total,,2,30.179588261060008
2019/2020,Baja California,Total,,2,29.619921363040596
2018/2019,Baja California,Total,,2,28.427507665352604
2021/2022,Baja California Sur,Total,,3,29.1277258566978
2020/2021,Baja California Sur,Total,,3,32.1316614420063
2019/2020,Baja California Sur,Total,,3,30.489731437598707
2018/2019,Baja California Sur,Total,,3,29.570747217806
2021/2022,Campeche,Total,,4,19.9463327370304
2020/2021,Campeche,Total,,4,17.179023508137398
2019/2020,Campeche,Total,,4,12.036199095022598
2018/2019,Campeche,Total,,4,14.543812104787696
2021/2022,Coahuila de Zaragoza,Total,,5,26.26058894715611
2020/2021,Coahuila de Zaragoza,Total,,5,28.0
2019/2020,Coahuila de Zaragoza,Total,,5,26.083434588902392
2018/2019,Coahuila de Zaragoza,Total,,5,24.6447421843281
2021/2022,Colima,Total,,6,26.829268292682908
2020/2021,Colima,Total,,6,28.35365853658539
2019/2020,Colima,Total,,6,26.85887708649471
2018/2019,Colima,Total,,6,24.65960665658089
2021/2022,Chiapas,Total,,7,10.9512173047335
2020/2021,Chiapas,Total,,7,3.55437178545187
2019/2020,Chiapas,Total,,7,2.86525082387404
2018/2019,Chiapas,Total,,7,2.7751909107841306
2021/2022,Chihuahua,Total,,8,8.59560962708278
2020/2021,Chihuahua,Total,,8,9.790402647545507
2019/2020,Chihuahua,Total,,8,9.675645959318306
2018/2019,Chihuahua,Total,,8,12.260329462597896
2021/2022,Ciudad de México,Total,,9,31.6970546984572
2020/2021,Ciudad de México,Total,,9,31.41337034466811
2019/2020,Ciudad de México,Total,,9,30.0595238095238
2018/2019,Ciudad de México,Total,,9,26.311010215664
2021/2022,Durango,Total,,10,9.9112002291607
2020/2021,Durango,Total,,10,10.900612066452904
2019/2020,Durango,Total,,10,9.49367088607595
2018/2019,Durango,Total,,10,9.475514343668497
2021/2022,Guanajuato,Total,,11,20.253164556962
2020/2021,Guanajuato,Total,,11,16.8998231226885
2019/2020,Guanajuato,Total,,11,14.367907943103695
2018/2019,Guanajuato,Total,,11,13.704771053474197
2021/2022,Guerrero,Total,,12,6.053986581369951
2020/2021,Guerrero,Total,,12,6.71571696931747
2019/2020,Guerrero,Total,,12,5.852816569904278
2018/2019,Guerrero,Total,,12,5.28141258079773
2021/2022,Hidalgo,Total,,13,16.947299365843005
2020/2021,Hidalgo,Total,,13,10.0265017667845
2019/2020,Hidalgo,Total,,13,8.468188871647076
2018/2019,Hidalgo,Total,,13,8.863837312113166
2021/2022,Jalisco,Total,,14,14.093011305241502
2020/2021,Jalisco,Total,,14,11.278965561387796
2019/2020,Jalisco,Total,,14,11.7594369801663
2018/2019,Jalisco,Total,,14,11.7225492705401
2021/2022,México,Total,,15,14.207001780113604
2020/2021,México,Total,,15,15.580664344575696
2019/2020,México,Total,,15,13.339576061973302
2018/2019,México,Total,,15,14.090520922288595
2021/2022,Michoacán de Ocampo,Total,,16,9.315951369562033
2020/2021,Michoacán de Ocampo,Total,,16,6.44127076654037
2019/2020,Michoacán de Ocampo,Total,,16,5.788941821856498
2018/2019,Michoacán de Ocampo,Total,,16,4.93138936535163
2021/2022,Morelos,Total,,17,21.4124293785311
2020/2021,Morelos,Total,,17,20.520067834934995
2019/2020,Morelos,Total,,17,20.011210762331807
2018/2019,Morelos,Total,,17,18.258903335217603
2021/2022,Nayarit,Total,,18,15.910333515582298
2020/2021,Nayarit,Total,,18,11.684037301151902
2019/2020,Nayarit,Total,,18,10.974930362116996
2018/2019,Nayarit,Total,,18,9.80609418282548
2021/2022,Nuevo León,Total,,19,29.665560377840208
2020/2021,Nuevo León,Total,,19,0.3847140292382658
2019/2020,Nuevo León,Total,,19,32.7533265097236
2018/2019,Nuevo León,Total,,19,33.17901234567899
2021/2022,Oaxaca,Total,,20,8.19913952059004
2020/2021,Oaxaca,Total,,20,2.45301440078106
2019/2020,Oaxaca,Total,,20,2.194586686174099
2018/2019,Oaxaca,Total,,20,3.172879720110991
2021/2022,Puebla,Total,,21,15.193798449612396
2020/2021,Puebla,Total,,21,11.836907449209898
2019/2020,Puebla,Total,,21,10.819625638116802
2018/2019,Puebla,Total,,21,10.701107011070096
2021/2022,Querétaro,Total,,22,20.0
2020/2021,Querétaro,Total,,22,14.531548757170192
2019/2020,Querétaro,Total,,22,13.9117789626757
2018/2019,Querétaro,Total,,22,12.2755943716642
2021/2022,Quintana Roo,Total,,23,20.815450643776792
2020/2021,Quintana Roo,Total,,23,18.635363169479096
2019/2020,Quintana Roo,Total,,23,19.474835886214404
2018/2019,Quintana Roo,Total,,23,20.1317715959004
2021/2022,San Luis Potosí,Total,,24,11.944616656334004
2020/2021,San Luis Potosí,Total,,24,8.703780639800582
