Year,Entidad federativa,Municipio,GeoCode,Value
2021,Estados Unidos Mexicanos,,0,38.7555873995489
2020,Estados Unidos Mexicanos,,0,38.1202527298245
2019,Estados Unidos Mexicanos,,0,35.199348304346
2018,Estados Unidos Mexicanos,,0,36.5983072188309
2017,Estados Unidos Mexicanos,,0,36.5396933279784
2016,Estados Unidos Mexicanos,,0,35.1135162390365
2021,Aguascalientes,,1,32.935582271667
2020,Aguascalientes,,1,41.1315280464217
2019,Aguascalientes,,1,35.7715752325954
2018,Aguascalientes,,1,32.5843916205362
2017,Aguascalientes,,1,36.2147259163153
2016,Aguascalientes,,1,34.6536460710048
2021,Aguascalientes,Aguascalientes,10010001,29.8196166854566
2020,Aguascalientes,Aguascalientes,10010001,38.9840733590734
2019,Aguascalientes,Aguascalientes,10010001,34.3533041913088
2018,Aguascalientes,Aguascalientes,10010001,31.104343220339
2017,Aguascalientes,Aguascalientes,10010001,34.2017738359202
2016,Aguascalientes,Aguascalientes,10010001,35.3110244303018
2021,Baja California,,2,34.9648961770324
2020,Baja California,,2,41.7615084083574
2019,Baja California,,2,37.0470966721165
2018,Baja California,,2,31.6457965990257
2017,Baja California,,2,29.4213073028837
2016,Baja California,,2,29.1091116461792
2021,Baja California,Ensenada,20010001,
2020,Baja California,Ensenada,20010001,
2019,Baja California,Ensenada,20010001,
2018,Baja California,Ensenada,20010001,
2017,Baja California,Ensenada,20010001,
2016,Baja California,Ensenada,20010001,
2021,Baja California,Mexicali,20020001,29.1780821917808
2020,Baja California,Mexicali,20020001,30.6771824857221
2019,Baja California,Mexicali,20020001,38.9757107889286
2018,Baja California,Mexicali,20020001,
2017,Baja California,Mexicali,20020001,
2016,Baja California,Mexicali,20020001,
2021,Baja California,Tijuana,20040001,37.9254536537518
2020,Baja California,Tijuana,20040001,50.3497273778708
2019,Baja California,Tijuana,20040001,36.5685730149917
2018,Baja California,Tijuana,20040001,27.1298638394058
2017,Baja California,Tijuana,20040001,31.876709206928
2016,Baja California,Tijuana,20040001,33.2472896231286
2021,Baja California Sur,,3,35.0536770193467
2020,Baja California Sur,,3,43.0994465274058
2019,Baja California Sur,,3,44.7088702850155
2018,Baja California Sur,,3,42.5066863414184
2017,Baja California Sur,,3,43.8123659423669
2016,Baja California Sur,,3,33.8973437943095
2021,Baja California Sur,La Paz,30030001,40.6825153374233
2020,Baja California Sur,La Paz,30030001,42.4111014744146
2019,Baja California Sur,La Paz,30030001,41.9537401574803
2018,Baja California Sur,La Paz,30030001,38.5340560923875
2017,Baja California Sur,La Paz,30030001,41.5246832678025
2016,Baja California Sur,La Paz,30030001,38.2406982085439
2021,Campeche,,4,37.6943166272852
2020,Campeche,,4,41.7345984230923
2019,Campeche,,4,35.8276107032915
2018,Campeche,,4,39.4857916102842
2017,Campeche,,4,38.6976291003573
2016,Campeche,,4,31.6729898421246
