Year,Serie de tiempo,Entidad federativa,Municipios,Sexo,Poblaciones,GeoCode,Value
2020,Censo de Población y Vivienda,Estados Unidos Mexicanos,,Total,,0,99.11500993
2020,Censo de Población y Vivienda,Estados Unidos Mexicanos,,Hombres,,0,99.04531447
2020,Censo de Población y Vivienda,Estados Unidos Mexicanos,,Mujeres,,0,99.18112662
2020,Censo de Población y Vivienda,Estados Unidos Mexicanos,,,Hablantes de lengua indigena,0,96.25257406
2020,Censo de Población y Vivienda,Estados Unidos Mexicanos,,,Discapacidad,0,99.10048204
2020,Censo de Población y Vivienda,Estados Unidos Mexicanos,,,Afromexicana o afrodescendiente,0,99.30522211
2020,Censo de Población y Vivienda,Estados Unidos Mexicanos,,,Residentes en otra entidad 5 años atrás,0,99.43591673
2020,Censo de Población y Vivienda,Aguascalientes,,Total,,1,99.11500993
2020,Censo de Población y Vivienda,Aguascalientes,,Hombres,,1,99.04531447
2020,Censo de Población y Vivienda,Aguascalientes,,Mujeres,,1,99.18112662
2020,Censo de Población y Vivienda,Aguascalientes,,,Hablantes de lengua indigena,1,96.25257406
2020,Censo de Población y Vivienda,Aguascalientes,,,Discapacidad,1,99.10048204
2020,Censo de Población y Vivienda,Aguascalientes,,,Afromexicana o afrodescendiente,1,99.30522211
2020,Censo de Población y Vivienda,Aguascalientes,,,Residentes en otra entidad 5 años atrás,1,99.43591673
2020,Censo de Población y Vivienda,Aguascalientes,Aguascalientes,Total,,1001,99.77951512
2020,Censo de Población y Vivienda,Aguascalientes,Aguascalientes,Hombres,,1001,99.74653801
2020,Censo de Población y Vivienda,Aguascalientes,Aguascalientes,Mujeres,,1001,99.81076106
2020,Censo de Población y Vivienda,Aguascalientes,Aguascalientes,,Hablantes de lengua indigena,1001,98.98190045
2020,Censo de Población y Vivienda,Aguascalientes,Aguascalientes,,Discapacidad,1001,99.78785243
2020,Censo de Población y Vivienda,Aguascalientes,Aguascalientes,,Afromexicana o afrodescendiente,1001,99.89398357
2020,Censo de Población y Vivienda,Aguascalientes,Aguascalientes,,Residentes en otra entidad 5 años atrás,1001,99.8567301
2020,Censo de Población y Vivienda,Aguascalientes,Asientos,Total,,1002,99.46903688
2020,Censo de Población y Vivienda,Aguascalientes,Asientos,Hombres,,1002,99.38901012
2020,Censo de Población y Vivienda,Aguascalientes,Asientos,Mujeres,,1002,99.54599214
2020,Censo de Población y Vivienda,Aguascalientes,Asientos,,Hablantes de lengua indigena,1002,100.0
2020,Censo de Población y Vivienda,Aguascalientes,Asientos,,Discapacidad,1002,99.29651776
2020,Censo de Población y Vivienda,Aguascalientes,Asientos,,Afromexicana o afrodescendiente,1002,99.55555556
2020,Censo de Población y Vivienda,Aguascalientes,Asientos,,Residentes en otra entidad 5 años atrás,1002,99.56427015
2020,Censo de Población y Vivienda,Aguascalientes,Calvillo,Total,,1003,99.41816429
2020,Censo de Población y Vivienda,Aguascalientes,Calvillo,Hombres,,1003,99.32933038
2020,Censo de Población y Vivienda,Aguascalientes,Calvillo,Mujeres,,1003,99.50359639
2020,Censo de Población y Vivienda,Aguascalientes,Calvillo,,Hablantes de lengua indigena,1003,94.52054795
2020,Censo de Población y Vivienda,Aguascalientes,Calvillo,,Discapacidad,1003,99.16090819
2020,Censo de Población y Vivienda,Aguascalientes,Calvillo,,Afromexicana o afrodescendiente,1003,100.0
2020,Censo de Población y Vivienda,Aguascalientes,Calvillo,,Residentes en otra entidad 5 años atrás,1003,98.36065574
2020,Censo de Población y Vivienda,Aguascalientes,Cosío,Total,,1004,99.4226464
2020,Censo de Población y Vivienda,Aguascalientes,Cosío,Hombres,,1004,99.35959401
2020,Censo de Población y Vivienda,Aguascalientes,Cosío,Mujeres,,1004,99.48263969
2020,Censo de Población y Vivienda,Aguascalientes,Cosío,,Hablantes de lengua indigena,1004,100.0
2020,Censo de Población y Vivienda,Aguascalientes,Cosío,,Discapacidad,1004,99.50310559
2020,Censo de Población y Vivienda,Aguascalientes,Cosío,,Afromexicana o afrodescendiente,1004,99.76798144
2020,Censo de Población y Vivienda,Aguascalientes,Cosío,,Residentes en otra entidad 5 años atrás,1004,97.63513514
2020,Censo de Población y Vivienda,Aguascalientes,Jesús María,Total,,1005,99.52523719
2020,Censo de Población y Vivienda,Aguascalientes,Jesús María,Hombres,,1005,99.48524365
2020,Censo de Población y Vivienda,Aguascalientes,Jesús María,Mujeres,,1005,99.5642967
2020,Censo de Población y Vivienda,Aguascalientes,Jesús María,,Hablantes de lengua indigena,1005,99.35897436
2020,Censo de Población y Vivienda,Aguascalientes,Jesús María,,Discapacidad,1005,99.42265578
2020,Censo de Población y Vivienda,Aguascalientes,Jesús María,,Afromexicana o afrodescendiente,1005,99.72419228
2020,Censo de Población y Vivienda,Aguascalientes,Jesús María,,Residentes en otra entidad 5 años atrás,1005,99.58906557
2020,Censo de Población y Vivienda,Aguascalientes,Pabellón de Arteaga,Total,,1006,99.49487509
2020,Censo de Población y Vivienda,Aguascalientes,Pabellón de Arteaga,Hombres,,1006,99.46755979
2020,Censo de Población y Vivienda,Aguascalientes,Pabellón de Arteaga,Mujeres,,1006,99.52113606
2020,Censo de Población y Vivienda,Aguascalientes,Pabellón de Arteaga,,Hablantes de lengua indigena,1006,98.03921569
2020,Censo de Población y Vivienda,Aguascalientes,Pabellón de Arteaga,,Discapacidad,1006,99.50191571
2020,Censo de Población y Vivienda,Aguascalientes,Pabellón de Arteaga,,Afromexicana o afrodescendiente,1006,98.54771784
2020,Censo de Población y Vivienda,Aguascalientes,Pabellón de Arteaga,,Residentes en otra entidad 5 años atrás,1006,98.83570505
2020,Censo de Población y Vivienda,Aguascalientes,Rincón de Romos,Total,,1007,99.21864075
2020,Censo de Población y Vivienda,Aguascalientes,Rincón de Romos,Hombres,,1007,99.18530694
2020,Censo de Población y Vivienda,Aguascalientes,Rincón de Romos,Mujeres,,1007,99.25056464
2020,Censo de Población y Vivienda,Aguascalientes,Rincón de Romos,,Hablantes de lengua indigena,1007,98.96373057
2020,Censo de Población y Vivienda,Aguascalientes,Rincón de Romos,,Discapacidad,1007,99.1563724
2020,Censo de Población y Vivienda,Aguascalientes,Rincón de Romos,,Afromexicana o afrodescendiente,1007,100.0
2020,Censo de Población y Vivienda,Aguascalientes,Rincón de Romos,,Residentes en otra entidad 5 años atrás,1007,98.28711256
2020,Censo de Población y Vivienda,Aguascalientes,San José de Gracia,Total,,1008,99.07747143
2020,Censo de Población y Vivienda,Aguascalientes,San José de Gracia,Hombres,,1008,98.93969516
2020,Censo de Población y Vivienda,Aguascalientes,San José de Gracia,Mujeres,,1008,99.2019154
2020,Censo de Población y Vivienda,Aguascalientes,San José de Gracia,,Hablantes de lengua indigena,1008,95.23809524
2020,Censo de Población y Vivienda,Aguascalientes,San José de Gracia,,Discapacidad,1008,98.41827768
2020,Censo de Población y Vivienda,Aguascalientes,San José de Gracia,,Afromexicana o afrodescendiente,1008,98.47457627
2020,Censo de Población y Vivienda,Aguascalientes,San José de Gracia,,Residentes en otra entidad 5 años atrás,1008,100.0
2020,Censo de Población y Vivienda,Aguascalientes,Tepezalá,Total,,1009,99.17543234
2020,Censo de Población y Vivienda,Aguascalientes,Tepezalá,Hombres,,1009,99.14352687
2020,Censo de Población y Vivienda,Aguascalientes,Tepezalá,Mujeres,,1009,99.20662906
2020,Censo de Población y Vivienda,Aguascalientes,Tepezalá,,Hablantes de lengua indigena,1009,100.0
2020,Censo de Población y Vivienda,Aguascalientes,Tepezalá,,Discapacidad,1009,99.62121212
2020,Censo de Población y Vivienda,Aguascalientes,Tepezalá,,Afromexicana o afrodescendiente,1009,100.0
2020,Censo de Población y Vivienda,Aguascalientes,Tepezalá,,Residentes en otra entidad 5 años atrás,1009,98.5915493
2020,Censo de Población y Vivienda,Aguascalientes,El Llano,Total,,1010,98.96462044
2020,Censo de Población y Vivienda,Aguascalientes,El Llano,Hombres,,1010,98.7868458
2020,Censo de Población y Vivienda,Aguascalientes,El Llano,Mujeres,,1010,99.13503123
2020,Censo de Población y Vivienda,Aguascalientes,El Llano,,Hablantes de lengua indigena,1010,100.0
2020,Censo de Población y Vivienda,Aguascalientes,El Llano,,Discapacidad,1010,98.48349688
2020,Censo de Población y Vivienda,Aguascalientes,El Llano,,Afromexicana o afrodescendiente,1010,100.0
2020,Censo de Población y Vivienda,Aguascalientes,El Llano,,Residentes en otra entidad 5 años atrás,1010,99.35064935
2020,Censo de Población y Vivienda,Aguascalientes,San Francisco de los Romo,Total,,1011,99.46889226
2020,Censo de Población y Vivienda,Aguascalientes,San Francisco de los Romo,Hombres,,1011,99.43919139
