Year,Sexo,Value
2020,Total,49.92391011509273
2019,Total,52.14097315724941
2018,Total,52.06262129998344
2017,Total,52.17727087739724
2016,Total,52.53414449100908
2015,Total,52.978384032766655
2014,Total,52.71355112101536
2013,Total,53.81172349396269
2012,Total,54.65649336643584
2011,Total,54.51258963071357
2010,Total,54.49989962158025
2009,Total,54.484892463506206
2008,Total,52.98585823930717
2007,Total,52.68434254756016
2006,Total,52.96881142112005
2005,Total,53.93697107860045
2004,Total,53.73537092027793
2003,Total,53.67146862451597
2002,Total,52.704062859941565
2001,Total,51.59469604919355
2000,Total,51.336461391706486
1999,Total,52.59006002129696
1998,Total,52.92221791457453
1997,Total,54.21348632782043
1996,Total,53.68226624560276
1995,Total,53.237500024808455
2020,Hombres,47.83809306439949
2019,Hombres,48.82402244614574
2018,Hombres,49.106329603696416
2017,Hombres,49.32867410884289
2016,Hombres,49.40438295326505
2015,Hombres,49.65141237067843
2014,Hombres,49.41702720450599
2013,Hombres,50.50636729497758
2012,Hombres,51.32446827980794
2011,Hombres,51.393422050573406
2010,Hombres,51.41825602930837
2009,Hombres,51.49978368098282
2008,Hombres,49.97228727675314
2007,Hombres,49.67776604620668
2006,Hombres,50.13782149535102
2005,Hombres,51.097840029523766
2004,Hombres,51.84505321483714
2003,Hombres,52.02164430972608
2002,Hombres,51.25113561454935
2001,Hombres,50.07708198369279
2000,Hombres,49.91368880115716
1999,Hombres,50.86350744052281
1998,Hombres,51.20469704249105
1997,Hombres,51.75246547318573
1996,Hombres,52.99741529997096
1995,Hombres,51.83523743892601
2020,Mujeres,52.71453264844416
2019,Mujeres,56.542615411875865
2018,Mujeres,56.09758194686011
2017,Mujeres,56.10033566929628
2016,Mujeres,56.80678313715459
2015,Mujeres,57.53564536844176
2014,Mujeres,57.24078642758918
2013,Mujeres,58.28323816747818
2012,Mujeres,59.19762379597529
2011,Mujeres,58.84705165626818
2010,Mujeres,58.7832423349739
2009,Mujeres,58.62068567002546
2008,Mujeres,57.25762392122581
2007,Mujeres,56.928617523932886
2006,Mujeres,56.99141820733141
2005,Mujeres,58.05601957595516
2004,Mujeres,56.5991540484065
2003,Mujeres,56.228361740564
2002,Mujeres,54.96401581728235
2001,Mujeres,53.96728664407778
2000,Mujeres,53.57216102721571
1999,Mujeres,55.36794041584197
1998,Mujeres,55.68886789817686
1997,Mujeres,58.1207572250057
1996,Mujeres,54.81618430422896
1995,Mujeres,55.52901162991677
