Year,Sexo,Value
2021,Total,1.7752956549916517
2020,Total,2.0973385468704446
2019,Total,2.043940206186812
2018,Total,2.115366908534675
2017,Total,2.1433240896095334
2016,Total,2.3719232310555944
2015,Total,2.4644953702309573
2014,Total,2.465764837468708
2013,Total,2.5935421948855137
2012,Total,2.7679582175356194
2011,Total,2.868499348715033
2010,Total,2.827997745940876
2009,Total,2.8956800890423957
2008 P/,Total,2.913345005357184
2021,Hombres,1.7723783654074974
2020,Hombres,1.9790660656208567
2019,Hombres,2.185367589427435
2018,Hombres,2.286736853907997
2017,Hombres,2.330953174044914
2016,Hombres,2.5989219709310696
2015,Hombres,2.6978039114152867
2014,Hombres,2.735858556024006
2013,Hombres,2.888198469257992
2012,Hombres,3.079184096803034
2011,Hombres,3.199921906530296
2010,Hombres,3.141621297931525
2009,Hombres,3.555488303449805
2008 P/,Hombres,3.2194165352364577
2021,Mujeres,1.7798967323514316
2020,Mujeres,2.2876544009491857
2019,Mujeres,1.8146589706425624
2018,Mujeres,1.8317994884977284
2017,Mujeres,1.8261840617019736
2016,Mujeres,1.9829718003045171
2015,Mujeres,2.058080519796535
2014,Mujeres,1.990392793050853
2013,Mujeres,2.076623403962025
2012,Mujeres,2.1779238306575066
2011,Mujeres,2.210124376208646
2010,Mujeres,2.1311636600730703
2009,Mujeres,1.6576454335845483
2008 P/,Mujeres,1.4490781891031193
