Value,Disaggregation combinations using this value,Number of indicators
Aguascalientes,465,69
Baja California Sur,447,69
Baja California,496,69
Campeche,484,69
Chiapas,827,69
Chihuahua,656,69
Ciudad de México,480,69
Coahuila de Zaragoza,569,69
Colima,462,69
Durango,549,69
Estados Unidos Mexicanos,409,69
Guanajuato,616,69
Guerrero,698,69
Hidalgo,684,69
Jalisco,807,69
Michoacán de Ocampo,794,69
Morelos,540,69
México,807,69
Nayarit,492,69
Nuevo León,585,69
Oaxaca,2142,69
Puebla,1106,69
Querétaro,486,69
Quintana Roo,465,69
San Luis Potosí,606,69
Sinaloa,509,69
Sonora,671,69
Tabasco,483,69
Tamaulipas,630,69
Tlaxcala,612,69
Veracruz de Ignacio de la Llave,1114,69
Yucatán,750,69
Zacatecas,606,69
