Value,Disaggregation combinations using this value,Number of indicators
Aguascalientes,3,1
Baja California,3,1
Baja California_Sur,3,1
Campeche,3,1
Chiapas,3,1
Chihuahua,3,1
Ciudad de México,3,1
Coahuila de Zaragoza,3,1
Colima,3,1
Durango,3,1
Estados Unidos Mexicanos,3,1
Guanajuato,3,1
Guerrero,3,1
Hidalgo,3,1
Jalisco,3,1
Michoacán de Ocampo,3,1
Morelos,3,1
México,3,1
Nayarit,3,1
Nuevo León,3,1
Oaxaca,3,1
Puebla,3,1
Querétaro,3,1
Quintana Roo,3,1
San Luis Potosí,3,1
Sinaloa,3,1
Sonora,3,1
Tabasco,3,1
Tamaulipas,3,1
Tlaxcala,3,1
Veracruz de Ignacio de la Llave,3,1
Yucatán,3,1
Zacatecas,3,1
