Value,Disaggregation combinations using this value,Number of indicators
Antes de los 15 años,1,1
Antes de los 18 años,1,1
De 0 a 11 años y de 30 años o más,5,5
De 0 a 14 años,99,1
De 15 a 17 años,116,3
De 15 a 24 años,297,3
De 18 a 19 años,17,2
De 18 años o más,5,5
De 20 a 24 años,17,2
De 25 a 29 años,17,2
De 25 a 64 años,297,3
De 30 a 34 años,17,2
De 35 a 39 años,17,2
De 40 a 44 años,17,2
De 45 a 49 años,17,2
De 5 a 14 años,99,1
De 50 a 54 años,17,2
De 55 a 59 años,17,2
De 60 años y más,17,2
De 65 años o más,5,5
De 65 años y más,297,3
De_0_a_11_años_y_de_30_años_o_más,1,1
De_18_años_o_más,1,1
De_65_años_o_más,1,1
Entre 12 y 29 años de edad,5,5
Entre_12_y_29_años_de_edad,1,1
Hablantes de lengua indígena antes de los 15 años,1,1
Hablantes de lengua indígena antes de los 18 años,1,1
Menores de 18 años,5,5
Menores de 65 años,5,5
Menores_de_18_años,1,1
Menores_de_65_años,1,1
No especificado,17,2
Total de 15 a 49 años de edad,17,2
Total,396,4
