Value,Disaggregation combinations using this value,Number of indicators
De 0 a 4 años,132,1
De 10 a 14 años,132,1
De 15 a 19 años,132,1
De 20 a 24 años,132,1
De 25 a 29 años,132,1
De 30 a 34 años,132,1
De 35 a 39 años,132,1
De 40 a 44 años,132,1
De 45 a 49 años,132,1
De 5 a 9 años,132,1
De 50 a 54 años,132,1
De 55 a 59 años,132,1
De 60 a 64 años,132,1
De 65 a 69 años,132,1
De 70 a 74 años,132,1
De 75 a 79 años,132,1
De 80 a 84 años,132,1
De 85 años y más,132,1
Edad no especificada,132,1
Total,132,1
