Value,Disaggregation combinations using this value,Number of indicators
Abalá,3,3
Abasolo,12,3
Abejones,3,3
Acacoyagua,3,3
Acajete,6,3
Acala,3,3
Acambay de Ruíz Castañeda,3,3
Acanceh,3,3
Acapetahua,3,3
Acaponeta,3,3
Acapulco de Juárez,3,3
Acateno,3,3
Acatepec,3,3
Acatic,3,3
Acatlán de Juárez,3,3
Acatlán de Pérez Figueroa,3,3
Acatlán,9,3
Acatzingo,3,3
Acaxochitlán,3,3
Acayucan,3,3
Acolman,3,3
Aconchi,3,3
Acteopan,3,3
Actopan,6,3
Acuamanala de Miguel Hidalgo,3,3
Acuitzio,3,3
Acula,3,3
Aculco,3,3
Acultzingo,3,3
Acuña,3,3
Acámbaro,3,3
Agua Blanca de Iturbide,3,3
Agua Dulce,3,3
Agua Prieta,3,3
Agualeguas,3,3
Aguascalientes,3,3
Aguililla,3,3
Ahome,3,3
Ahuacatlán,6,3
Ahuacuotzingo,3,3
Ahualulco de Mercado,3,3
Ahualulco,3,3
Ahuatlán,3,3
Ahuazotepec,3,3
Ahuehuetitla,3,3
Ahumada,3,3
Ajacuba,3,3
Ajalpan,3,3
Ajuchitlán del Progreso,3,3
Akil,3,3
Alamos,3,3
Alaquines,3,3
Albino Zertuche,3,3
Alcozauca de Guerrero,3,3
Aldama,9,3
Alfajayucan,3,3
Aljojuca,3,3
Allende,9,3
Almoloya de Alquisiras,3,3
Almoloya de Juárez,3,3
Almoloya del Río,3,3
Almoloya,3,3
Alpatláhuac,3,3
Alpoyeca,3,3
Altamira,3,3
Altamirano,3,3
Altar,3,3
Altepexi,3,3
Alto Lucero de Gutiérrez Barrios,3,3
Altotonga,3,3
Alvarado,3,3
Amacueca,3,3
Amacuzac,3,3
Amanalco,3,3
Amatenango de la Frontera,3,3
Amatenango del Valle,3,3
Amatepec,3,3
Amatitlán,3,3
Amatitán,3,3
Amatlán de Cañas,3,3
Amatlán de los Reyes,3,3
Amatán,3,3
Amaxac de Guerrero,3,3
Amealco de Bonfil,3,3
Ameca,3,3
Amecameca,3,3
Amixtlán,3,3
Amozoc,3,3
Angamacutiro,3,3
Angangueo,3,3
Angel Albino Corzo,3,3
Angel R. Cabada,3,3
Angostura,3,3
Antiguo Morelos,3,3
Anáhuac,3,3
Apan,3,3
Apaseo el Alto,3,3
Apaseo el Grande,3,3
Apatzingán,3,3
Apaxco,3,3
Apaxtla,3,3
Apazapan,3,3
Apetatitlán de Antonio Carvajal,3,3
Apizaco,3,3
Apodaca,3,3
Aporo,3,3
Apozol,3,3
Apulco,3,3
Aquila,6,3
Aquiles Serdán,3,3
Aquismón,3,3
Aquixtla,3,3
Aramberri,3,3
Arandas,3,3
Arcelia,3,3
Ario,3,3
Arivechi,3,3
Arizpe,3,3
Armadillo de los Infante,3,3
Armería,3,3
Arriaga,3,3
Arroyo Seco,3,3
Arteaga,6,3
Ascensión,3,3
Asientos,3,3
Astacinga,3,3
Asunción Cacalotepec,3,3
Asunción Cuyotepeji,3,3
Asunción Ixtaltepec,3,3
Asunción Nochixtlán,3,3
Asunción Ocotlán,3,3
Asunción Tlacolulita,3,3
Atarjea,3,3
Atemajac de Brizuela,3,3
Atempan,3,3
Atenango del Río,3,3
Atenco,3,3
Atengo,3,3
Atenguillo,3,3
Atexcal,3,3
Atil,3,3
Atitalaquia,3,3
Atizapán de Zaragoza,3,3
Atizapán,3,3
Atlacomulco,3,3
Atlahuilco,3,3
Atlamajalcingo del Monte,3,3
Atlangatepec,3,3
Atlapexco,3,3
Atlatlahucan,3,3
Atlautla,3,3
Atlequizayan,3,3
Atlixco,3,3
Atlixtac,3,3
Atltzayanca,3,3
Atolinga,3,3
Atotonilco de Tula,3,3
Atotonilco el Alto,3,3
Atotonilco el Grande,3,3
Atoyac de Álvarez,3,3
Atoyac,6,3
Atoyatempan,3,3
Atzacan,3,3
Atzala,3,3
Atzalan,3,3
Atzitzihuacán,3,3
Atzitzintla,3,3
Autlán de Navarro,3,3
Axapusco,3,3
Axochiapan,3,3
Axtla de Terrazas,3,3
Axutla,3,3
Ayahualulco,3,3
Ayala,3,3
