Value,Disaggregation combinations using this value,Number of indicators
Abalá,8,2
Abasolo,32,2
Abejones,8,2
Acacoyagua,8,2
Acajete,16,2
Acala,8,2
Acambay de Ruíz Castañeda,8,2
Acanceh,8,2
Acapetahua,8,2
Acaponeta,8,2
Acapulco de Juárez,8,2
Acateno,8,2
Acatepec,8,2
Acatic,8,2
Acatlán de Juárez,8,2
Acatlán de Pérez Figueroa,8,2
Acatlán,24,2
Acatzingo,8,2
Acaxochitlán,8,2
Acayucan,8,2
Acolman,8,2
Aconchi,8,2
Acteopan,8,2
Actopan,16,2
Acuamanala de Miguel Hidalgo,8,2
Acuitzio,8,2
Acula,8,2
Aculco,8,2
Acultzingo,8,2
Acuña,8,2
Acámbaro,8,2
Agua Blanca de Iturbide,8,2
Agua Dulce,8,2
Agua Prieta,8,2
Agualeguas,8,2
Aguascalientes,8,2
Aguililla,8,2
Ahome,8,2
Ahuacatlán,16,2
Ahuacuotzingo,8,2
Ahualulco de Mercado,8,2
Ahualulco,8,2
Ahuatlán,8,2
Ahuazotepec,8,2
Ahuehuetitla,8,2
Ahumada,8,2
Ajacuba,8,2
Ajalpan,8,2
Ajuchitlán del Progreso,8,2
Akil,8,2
Alamos,8,2
Alaquines,8,2
Albino Zertuche,8,2
Alcozauca de Guerrero,8,2
Aldama,24,2
Alfajayucan,8,2
Aljojuca,8,2
Allende,24,2
Almoloya de Alquisiras,8,2
Almoloya de Juárez,8,2
Almoloya del Río,8,2
Almoloya,8,2
Alpatláhuac,8,2
Alpoyeca,8,2
Altamira,8,2
Altamirano,8,2
Altar,8,2
Altepexi,8,2
Alto Lucero de Gutiérrez Barrios,8,2
Altotonga,8,2
Alvarado,8,2
Amacueca,8,2
Amacuzac,8,2
Amanalco,8,2
Amatenango de la Frontera,8,2
Amatenango del Valle,8,2
Amatepec,8,2
Amatitlán,8,2
Amatitán,8,2
Amatlán de Cañas,8,2
Amatlán de los Reyes,8,2
Amatán,8,2
Amaxac de Guerrero,8,2
Amealco de Bonfil,8,2
Ameca,8,2
Amecameca,8,2
Amixtlán,8,2
Amozoc,8,2
Angamacutiro,8,2
Angangueo,8,2
Angel Albino Corzo,8,2
Angel R. Cabada,8,2
Angostura,8,2
